N	3gram	Bakhtin_KF	SlovoVZh
1	по отношению к	22	11
2	не может быть	11	7
3	в том что	2	4
4	дело в том	1	4
5	как если бы	1	4
6	и по отношению	1	3
7	то ни было	2	3
8	до сих пор	1	3
9	и не в	1	3
10	бы то ни	2	3
11	тем не менее	2	3
12	может быть и	1	3
13	формы и содержания	1	2
14	имеем в виду	2	2
15	ни на один	1	2
16	на самом деле	3	2
17	то же самое	1	2
18	конечно не может	1	2
19	мы никогда не	1	2
20	в зависимости от	1	2
21	отношение к предмету	1	2
22	контекста в котором	1	2
23	но отнюдь не	1	2
24	зависит от того	1	2
25	с точки зрения	10	2
26	в настоящее время	1	2
27	со всех сторон	1	1
28	и менее всего	1	1
29	сих пор не	1	1
30	и в своем	1	1
31	оно ни было	1	1
32	как одно из	1	1
33	на один миг	1	1
34	включает в себя	2	1
35	в противном случае	1	1
36	все эти моменты	2	1
37	один и тот	3	1
38	если бы эта	1	1
39	случае мы имеем	1	1
40	прежде всего определяется	1	1
41	каково бы оно	1	1
42	хотя бы только	1	1
43	мы не найдем	1	1
44	в свою очередь	1	1
45	и должна быть	1	1
46	и тот же	3	1
47	в виду и	1	1
48	и та же	2	1
49	только в нем	1	1
50	может быть понято	1	1
51	в том же	1	1
52	один миг не	1	1
53	но прежде всего	1	1
54	и для него	2	1
55	во всяком случае	1	1
56	его в отношении	1	1
57	о том кто	1	1
58	в нем и	3	1
59	но в то	1	1
60	в лучшем случае	1	1
61	ли кто-нибудь стал	1	1
62	равно как и	1	1
63	в процессе ее	1	1
64	а эта последняя	1	1
65	в конечном счете	1	1
66	кто-нибудь стал бы	1	1
67	и в нем	2	1
68	одна и та	2	1
69	то что я	2	1
70	тогда когда он	1	1
71	а не к	1	1
72	с ним в	1	1
73	в основе своей	1	1
74	не нужно думать	1	1
75	если бы оно	1	1
76	к нему в	4	1
77	то же время	2	1
78	между тем как	3	1
79	бы оно ни	1	1
80	не совпадает с	1	1
81	но для теоретической	1	1
82	не должно быть	1	1
83	в то же	2	1
84	в чем не	4	1
85	в значительной степени	1	1
86	позицию по отношению	1	1
87	едва ли кто-нибудь	1	1
88	и в этом	3	1
89	ни в чем	4	1
90	в этом смысле	3	1
91	но все это	1	1
92	к содержанию как	1	1
93	здесь вовсе не	1	1
94	нужно думать что	1	1
95	ровно ничего не	1	1
96	бы не было	1	1
97	уже не может	2	1
98	к ним извне	1	1
99	не может стать	1	1
100	включая сюда и	2	1
101	себя и другого	1	1
102	слова и его	1	1
103	если бы не	1	1
104	может быть только	7	1
