N	2gram	Berdyaev_O	KFilosof
1	может быть	11	45
2	в его	7	42
3	в нем	10	32
4	не может	4	29
5	и не	13	28
6	и в	19	28
7	в котором	1	24
8	не есть	2	22
9	в себе	3	21
10	и его	4	18
11	в своем	2	17
12	в ее	2	17
13	а не	11	17
14	в этом	12	15
15	для него	5	13
16	не в	11	13
17	к нему	3	12
18	мир в	1	12
19	но не	1	12
20	и это	1	12
21	в своей	2	11
22	все эти	4	11
23	все это	6	10
24	это не	3	10
25	и есть	3	10
26	и для	2	10
27	и все	10	9
28	но и	13	9
29	как бы	3	9
30	в единстве	2	8
31	не было	9	8
32	если бы	1	8
33	в мире	1	8
34	со стороны	1	8
35	было бы	3	8
36	лишь в	7	8
37	жизни и	1	8
38	во всем	1	7
39	и здесь	1	7
40	что и	2	7
41	вовсе не	1	7
42	уже не	1	7
43	совершенно не	1	7
44	то что	5	7
45	момент в	2	7
46	ее и	1	6
47	должно быть	2	6
48	не имеет	2	6
49	и я	1	6
50	в том	5	6
51	и действительно	1	6
52	отношение к	5	6
53	он не	7	6
54	но это	1	6
55	мира в	1	6
56	ко всему	1	5
57	не только	11	5
58	с ним	3	5
59	его в	2	5
60	есть лишь	4	5
61	но в	2	5
62	как и	6	5
63	все же	2	5
64	жизни в	2	5
65	бытия но	1	5
66	еще не	3	5
67	бытия как	1	5
68	хотя бы	3	5
69	в одном	1	5
70	а в	5	5
71	его как	1	5
72	жизни как	1	5
73	никогда не	9	5
74	что в	4	4
75	бытие не	1	4
76	должна быть	1	4
77	и весь	1	4
78	что это	1	4
79	о нем	1	4
80	прежде всего	9	4
81	в своих	3	4
82	места в	1	4
83	с ними	1	4
84	том что	2	4
85	но можно	1	4
86	нисколько не	1	4
87	не по	1	4
88	из него	1	4
89	ближе к	1	3
90	от него	7	3
91	та же	1	3
92	и на	2	3
93	этого мира	2	3
94	и пр	1	3
95	мы не	1	3
96	был бы	1	3
97	того что	3	3
98	и этим	2	3
99	бытие и	1	3
100	на самом	1	3
101	в виду	1	3
102	я имею	1	3
103	самом деле	1	3
104	тем что	2	3
105	людей и	1	3
106	в корне	1	3
107	его жизни	1	3
108	себе и	1	3
109	в каждом	1	3
110	бы и	1	3
111	что не	4	3
112	не могу	1	3
113	и ни	2	3
114	в другом	2	3
115	для того	3	3
116	в ней	1	3
117	к чему	1	3
118	от того	1	3
119	человека и	10	3
120	на своем	1	3
121	не быть	1	3
122	могут быть	3	3
123	до конца	7	3
124	о том	3	3
125	человека вообще	1	3
126	есть момент	1	3
127	ничего не	2	3
128	как к	2	2
129	которой все	1	2
130	один из	1	2
131	бы он	1	2
132	чего не	1	2
133	можно ли	2	2
134	его с	1	2
135	еще более	1	2
136	а это	1	2
137	так и	2	2
138	и то	2	2
139	это есть	1	2
140	и когда	1	2
141	по себе	2	2
142	со всеми	1	2
143	не потому	1	2
144	в сознании	1	2
145	дело в	1	2
146	в мир	1	2
147	и эта	1	2
148	мысли этой	1	2
149	в процессе	1	2
150	в жизни	1	2
151	с тем	2	2
152	человек и	4	2
153	и как	1	2
154	лишь с	1	2
155	что он	3	2
156	как в	1	2
157	от этого	1	2
158	есть на	1	2
159	это было	3	2
160	в это	1	2
161	можно и	1	2
162	и мир	1	2
163	этого слова	1	2
164	к этому	2	2
165	и потому	2	2
166	ни к	1	2
167	было и	1	2
168	его и	1	2
169	ведь это	2	2
170	а с	1	2
171	и других	1	2
172	он ни	1	2
173	вопрос о	10	2
174	ни у	2	2
175	ты хочешь	1	2
176	она не	1	2
177	потому что	9	2
178	того чтобы	4	2
179	совсем не	2	2
180	этом мире	2	2
181	но всегда	1	2
182	быть не	1	2
183	кажется что	1	2
184	на нем	1	2
185	отношении к	1	2
186	к которой	1	2
187	думать что	1	2
188	и всех	1	2
189	в этой	5	2
190	он и	1	2
191	и ценности	1	2
192	его изнутри	1	2
193	него и	4	2
194	но есть	1	2
195	что есть	2	2
196	ее как	1	2
197	но нет	1	2
198	было дано	1	2
199	что только	1	2
200	с его	4	2
201	человек не	7	2
202	ни был	1	2
203	чтобы не	1	2
204	сознания в	1	2
205	и ее	3	2
206	все в	4	1
207	всего в	2	1
208	в самом	5	1
209	и к	2	1
210	смерть и	1	1
211	все что	3	1
212	как это	1	1
213	своем я	1	1
214	в душе	2	1
215	и он	8	1
216	и всякий	1	1
217	не нужна	1	1
218	сказать в	1	1
219	так как	2	1
220	и очень	2	1
221	же и	1	1
222	есть единственное	1	1
223	христа в	1	1
224	вот наша	1	1
225	смысле слова	1	1
226	отношения к	1	1
227	всякого человека	1	1
228	это лишь	1	1
229	есть для	1	1
230	и менее	1	1
231	людей но	1	1
232	была бы	1	1
233	есть просто	1	1
234	из всех	1	1
235	художественного творчества	1	1
236	хотя и	2	1
237	уже с	1	1
238	и из	2	1
239	его он	1	1
240	творчества но	1	1
241	с чем	2	1
242	ее в	2	1
243	и тут	1	1
244	и через	1	1
245	видеть в	1	1
246	измерении в	1	1
247	в человеке	9	1
248	одно из	2	1
249	притом не	1	1
250	в отношении	1	1
251	же не	1	1
252	гибели и	1	1
253	смысле этого	1	1
254	нет никакого	1	1
255	знания в	1	1
256	мира он	1	1
257	связанная с	1	1
258	связь с	1	1
259	чем в	2	1
260	люди а	1	1
261	их не	2	1
262	него в	5	1
263	и даже	1	1
264	к его	1	1
265	вместо того	2	1
266	но он	7	1
267	в которой	2	1
268	и с	2	1
269	остается и	1	1
270	всегда в	1	1
271	не любит	1	1
272	человек а	1	1
273	и можно	1	1
274	уходят в	1	1
275	мысль о	2	1
276	не растворяется	1	1
277	месте и	1	1
278	вложена в	1	1
279	никогда и	2	1
280	не делает	1	1
281	всю жизнь	1	1
282	бы признать	1	1
283	тем же	1	1
284	характер и	1	1
285	всегда дана	1	1
286	а именно	1	1
287	есть выход	2	1
288	и вопрос	1	1
289	в этих	3	1
290	никто не	3	1
291	вокруг этой	1	1
292	отличается от	1	1
293	возможности для	1	1
294	была лишь	1	1
295	мир и	1	1
296	к человеку	9	1
297	она и	1	1
298	нем нет	3	1
299	но к	1	1
300	в одной	1	1
301	особенно в	1	1
302	мысли в	1	1
303	где оно	1	1
304	бы ни	1	1
305	но оно	1	1
306	только одно	3	1
307	нет ничего	7	1
308	должен был	2	1
309	во всяком	1	1
310	все и	1	1
311	том случае	1	1
312	этого она	1	1
313	нуждается в	1	1
314	но может	1	1
315	не существует	1	1
316	жизни а	1	1
317	и переживает	1	1
318	она должна	1	1
319	не имеют	1	1
320	между добром	2	1
321	и мысли	4	1
322	ее ни	1	1
323	границы и	1	1
324	жизнь всего	1	1
325	всяком случае	1	1
326	его не	2	1
327	и вложена	1	1
328	также и	1	1
329	ту же	1	1
330	из жизни	1	1
331	возможны лишь	1	1
332	в этот	2	1
333	человека все	2	1
334	к любви	1	1
335	умирает в	2	1
336	растворяется в	1	1
337	с которой	2	1
338	когда он	3	1
339	но о	1	1
340	отношении ко	1	1
341	в которую	1	1
342	он должен	1	1
343	не с	1	1
344	может служить	1	1
345	и человеческого	1	1
346	за собой	1	1
347	но сам	1	1
348	он за	1	1
349	всего что	1	1
350	в форме	1	1
351	и до	1	1
352	линий и	1	1
353	в истории	2	1
354	по своей	1	1
355	рационализма и	2	1
356	цели и	1	1
357	это единственная	1	1
358	любви к	1	1
359	не совпадает	1	1
360	светом и	1	1
361	или тебе	1	1
362	вообще и	1	1
363	человека его	3	1
364	к ней	2	1
365	и никогда	2	1
366	своей жизни	2	1
367	только этому	1	1
368	и каждый	1	1
369	о его	5	1
370	человека как	1	1
371	находится в	1	1
372	лишь путем	1	1
373	и от	3	1
374	что все	2	1
375	уверенность что	1	1
