N	3gram	Bakhtin_Fr	UchenyiS
1	в конечном счете	1	4
2	не может быть	2	4
3	то ни было	1	3
4	с другой стороны	5	3
5	бы то ни	1	3
6	в то же	13	3
7	то же время	13	3
8	и то что	1	2
9	в художественном произведении	1	2
10	в том что	2	2
11	до сих пор	6	2
12	хотя бы и	1	2
13	тех или иных	2	2
14	и в частности	1	2
15	в конце концов	3	2
16	в этом отношении	4	2
17	в художественном творчестве	1	2
18	но даже и	2	2
19	и в этой	1	2
20	имеем в виду	2	1
21	тем что он	1	1
22	так много в	2	1
23	только к этому	1	1
24	в этой же	2	1
25	не входит в	1	1
26	но в то	7	1
27	может быть в	2	1
28	же время не	1	1
29	большей или меньшей	3	1
30	одно из первых	1	1
31	которых так много	2	1
32	с одной стороны	4	1
33	но прежде всего	1	1
34	и с другой	1	1
35	можно сказать что	2	1
36	в значительной мере	1	1
37	на первый план	1	1
38	но это же	1	1
39	в той же	5	1
40	или меньшей степени	2	1
41	из первых мест	1	1
42	не только в	3	1
43	и прежде всего	3	1
44	более или менее	1	1
45	и в то	2	1
46	но это не	1	1
47	в данном случае	3	1
48	само по себе	1	1
49	о котором говорил	1	1
50	мы имеем в	2	1
51	теории и истории	1	1
52	в точном смысле	1	1
53	в этом случае	1	1
54	в большей или	2	1
55	все же не	1	1
56	но именно этот	1	1
57	но конечно не	2	1
