N	4gram	Vinokur_Ku	Dialekti
1	не что иное как	2	18
2	в то же время	4	14
3	и т д и	3	14
4	одно и то же	1	12
5	т д и т	3	12
6	д и т д	2	12
7	есть не что иное	1	11
8	не говоря уже о	1	7
9	и в то же	1	6
10	по крайней мере в	1	6
11	одной и той же	1	5
12	и тем не менее	4	5
13	не в том что	1	5
14	с этой точки зрения	3	4
15	и т д все	1	4
16	в том смысле что	1	4
17	вовсе не в том	1	3
18	не потому что она	1	3
19	несмотря на то что	1	3
20	т д все это	1	3
21	и т д не	2	3
22	да и то не	1	3
23	что с точки зрения	1	2
24	поскольку речь идет о	1	2
25	и с другой стороны	1	2
26	свой смысл и свое	1	2
27	в этом смысле есть	1	2
28	говоря уже о том	1	2
29	дело в том что	1	2
30	не может и не	1	2
31	уже о том что	1	2
32	и с этой точки	2	2
33	само по себе не	1	1
34	до сих пор я	1	1
35	в том и в	1	1
36	уже не может быть	2	1
37	ни то ни другое	1	1
38	том и в другом	1	1
39	в том смысле как	1	1
40	до тех пор пока	1	1
41	и не только потому	1	1
42	а с другой стороны	2	1
43	только потому и возможно	1	1
44	о том как должно	1	1
45	все более и более	1	1
46	потому что он есть	1	1
47	не говорю уже о	1	1
48	как идея как принцип	1	1
49	и вместе с тем	1	1
50	этой точки зрения в	1	1
51	заключается не в том	1	1
52	во всяком случае гораздо	1	1
53	не хочу сказать что	1	1
54	со своей точки зрения	1	1
55	и в другом случае	1	1
56	заключается в том что	2	1
57	бы то ни было	1	1
58	мы имеем в виду	1	1
59	о том что если	1	1
60	и пр но для	1	1
61	то это значит только	1	1
62	может и не должен	1	1
63	что мы имеем в	1	1
64	ни в каком отношении	1	1
65	с точки зрения законов	1	1
66	точно так же как	3	1
67	это-то как раз и	1	1
68	и в том что	1	1
69	потому и возможно что	1	1
70	и в том и	1	1
71	в том случае если	3	1
72	в том что она	1	1
73	я думаю что это	1	1
74	можно ли сказать что	1	1
75	уже само по себе	1	1
76	я имею в виду	2	1
77	а в том что	2	1
78	всяком случае гораздо более	1	1
79	только в том чтобы	2	1
80	зависит прежде всего от	1	1
81	для того чтобы дать	2	1
82	о том что в	1	1
83	но дело не в	1	1
84	с тех пор как	1	1
85	как это делается в	1	1
86	в том что он	3	1
87	и т д словом	1	1
88	лишь в том случае	1	1
89	и с точки зрения	1	1
90	только для того чтобы	2	1
91	и пр и пр	2	1
92	и т д это	2	1
93	не может уже быть	1	1
94	ни в какой мере	1	1
95	в одно и то	1	1
96	по мере того как	3	1
