N	2gram	Savitsky_E	Marksizm
1	точки зрения	23	69
2	может быть	6	64
3	и в	37	63
4	и не	14	55
5	как бы	6	53
6	не может	9	47
7	с точки	17	46
8	и его	1	41
9	в этом	12	39
10	таким образом	2	38
11	в процессе	4	33
12	как мы	5	32
13	в пределах	25	31
14	лишь в	1	30
15	не только	18	29
16	то же	15	28
17	в нем	1	28
18	но и	14	27
19	связи с	1	25
20	в самом	4	24
21	как и	7	24
22	прежде всего	9	24
23	только в	9	23
24	так и	10	23
25	в том	11	22
26	то что	6	22
27	а не	2	22
28	при этом	1	20
29	для него	1	20
30	если мы	1	20
31	не в	5	19
32	если бы	2	19
33	том что	6	19
34	в его	2	19
35	в ее	8	18
36	и для	3	18
37	но в	14	18
38	вовсе не	6	18
39	все же	1	17
40	по отношению	1	16
41	ни было	4	16
42	слова и	1	16
43	и как	2	16
44	в то	16	16
45	во всех	6	15
46	в связи	1	15
47	отнюдь не	9	15
48	же время	14	15
49	в русском	1	15
50	в данном	3	14
51	хотя бы	15	14
52	в смысле	9	14
53	в своей	8	13
54	так же	9	13
55	то ни	4	13
56	в направлении	4	13
57	что в	21	13
58	не является	3	13
59	того чтобы	6	13
60	было бы	8	13
61	мы не	4	13
62	для того	6	12
63	того же	3	12
64	бы то	4	12
65	в результате	3	12
66	между тем	8	12
67	он не	2	12
68	в основе	1	12
69	а в	2	12
70	и того	2	11
71	к нему	2	11
72	и что	2	11
73	и от	3	11
74	и на	6	11
75	и все	2	11
76	как в	3	11
77	так как	7	11
78	все эти	1	11
79	в ней	4	11
80	именно в	4	10
81	во всяком	3	10
82	с другой	7	10
83	сказать что	4	10
84	никогда не	3	10
85	в своем	14	10
86	в таком	3	10
87	одна из	1	10
88	в большинстве	2	10
89	конечно не	1	10
90	в отличие	1	10
91	с его	1	10
92	и потому	5	10
93	отличие от	1	10
94	более того	1	10
95	быть и	1	9
96	к тому	8	9
97	одного и	1	9
98	в нашем	1	9
99	точка зрения	2	9
100	в себе	9	9
101	лишь на	1	9
102	большинстве случаев	3	9
103	рядом с	1	9
104	и следовательно	1	9
105	и это	1	9
106	мы видели	3	9
107	что это	2	9
108	не имеет	4	9
109	и более	2	9
110	отношении к	15	9
111	в истории	2	9
112	одной из	5	9
113	и эта	2	9
114	кроме того	1	8
115	не как	1	8
116	другой стороны	2	8
117	и даже	6	8
118	и с	2	8
119	в данной	3	8
120	мы знаем	1	8
121	что и	3	8
122	не было	1	8
123	что не	1	8
124	тому что	1	8
125	мы можем	3	8
126	или же	1	8
127	не будет	3	8
128	за пределы	1	8
129	столь же	5	8
130	в отношении	32	8
131	сводится к	1	8
132	в каком	4	8
133	в свою	3	8
134	этого слова	1	8
135	с этим	2	8
136	у нас	1	8
137	смысле этого	1	8
138	в их	11	8
139	и их	1	8
140	и ее	1	8
141	или иной	4	8
142	на то	6	8
143	следует что	1	7
144	в этих	2	7
145	социальной группы	1	7
146	в котором	2	7
147	и те	1	7
148	свою очередь	2	7
149	он сам	2	7
150	те же	1	7
151	в качестве	14	7
152	бы в	2	7
153	в этой	2	7
154	могут быть	2	7
155	оно может	1	7
156	там где	3	7
