N	2gram	Trubetskoy	Komedia
1	и в	14	77
2	и не	19	47
3	в том	17	44
4	том что	9	42
5	о том	7	33
6	но и	10	32
7	может быть	9	30
8	из них	3	29
9	таким образом	11	29
10	в то	10	28
11	в этом	17	27
12	потому что	5	27
13	что он	6	26
14	к тому	7	26
15	тому же	1	25
16	не только	9	25
17	вместе с	4	25
18	так как	4	24
19	как и	4	23
20	ни в	2	23
21	что в	4	23
22	в самом	3	22
23	что и	3	22
24	если бы	6	22
25	то же	11	21
26	ясно что	2	21
27	в конце	3	21
28	так и	1	21
29	а в	5	21
30	в его	4	20
31	к этому	1	19
32	во время	2	19
33	со стороны	4	19
34	в этой	4	18
35	тем что	3	17
36	же время	10	17
37	в нем	5	17
38	и т	3	17
39	еще не	3	17
40	при этом	5	16
41	все же	4	16
42	не менее	1	16
43	у него	2	16
44	сих пор	5	16
45	он не	5	16
46	до сих	5	16
47	не в	4	15
48	в своем	6	15
49	точки зрения	11	15
50	его в	4	15
51	в которой	1	15
52	на себя	2	15
53	между тем	5	15
54	один из	1	15
55	и на	5	15
56	было бы	5	15
57	прежде всего	8	15
58	и с	7	14
59	столь же	1	14
60	к нему	2	14
61	в свою	1	14
62	все это	6	14
63	об этом	1	14
64	самом деле	7	13
65	того же	1	13
66	мы можем	2	13
67	так что	2	13
68	то что	13	13
69	того чтобы	8	13
70	но в	2	13
71	в котором	2	12
72	для того	6	12
73	так же	2	12
74	с другой	1	12
75	несмотря на	3	12
76	в качестве	3	12
77	как это	1	12
78	из которых	5	12
79	в истории	1	12
80	не по	1	12
81	в начале	2	12
82	не может	22	12
83	но не	4	12
84	и даже	2	11
85	с тем	6	11
86	по отношению	2	11
87	что его	1	11
88	с ним	2	11
89	должны были	1	11
90	речь идет	2	11
91	как мы	1	11
92	на этот	1	11
93	и для	6	11
94	в их	4	11
95	в частности	2	11
96	к ней	1	11
97	одного из	1	11
98	с этим	2	10
99	он был	1	10
100	свою очередь	1	10
101	на него	1	10
102	к себе	2	10
103	как бы	4	10
104	и что	2	10
105	и все	1	10
106	на основании	2	10
107	одной из	3	10
108	в глазах	2	10
109	хоть и	1	10
110	мы не	1	10
111	на его	1	10
112	тем более	1	10
113	что касается	1	10
114	все что	4	9
115	но все	1	9
116	в своей	5	9
117	больше чем	2	9
118	говорить о	3	9
119	тому что	2	9
120	только в	5	9
121	друг друга	3	9
122	даже не	2	9
123	и по	3	9
124	вовсе не	1	9
125	в ней	2	9
126	отношению к	1	9
127	с этой	1	8
128	что ни	1	8
129	то это	3	8
130	что у	1	8
131	не было	3	8
132	бы в	1	8
133	во всех	5	8
134	то ни	4	8
135	можно было	4	8
136	что для	3	8
137	если не	2	8
138	в которых	1	8
139	да и	3	8
140	в течение	2	8
141	связи с	3	8
142	по своему	1	8
143	и других	1	8
144	с самого	1	8
145	идет о	1	8
146	место в	2	8
147	и к	6	7
148	в результате	2	7
149	в этих	2	7
150	если в	6	7
151	во всяком	9	7
152	вопрос о	5	7
153	хотя бы	5	7
154	в другом	3	7
155	в руках	1	7
156	самого начала	1	7
157	бы то	4	7
158	что они	3	7
159	ни было	1	7
160	в связи	1	7
161	и это	1	7
162	в других	2	7
163	и тот	2	7
164	в себе	9	7
165	и у	1	7
166	к его	1	7
167	не является	1	7
168	из этих	3	7
169	мы знаем	1	7
170	целый ряд	2	7
171	и во	3	7
172	до конца	1	7
173	но если	3	7
174	всяком случае	6	7
175	и вот	2	7
176	для нас	2	7
177	само собой	1	7
178	отнюдь не	7	7
179	тех же	1	7
180	и о	2	7
181	конце концов	3	7
182	даже в	1	6
183	в своих	6	6
184	с точки	9	6
185	не хочет	1	6
186	за то	2	6
187	как видно	1	6
188	что не	1	6
189	о которых	3	6
190	и тем	2	6
191	могут быть	1	6
192	в силу	2	6
193	всего в	1	6
194	на ее	1	6
195	в сущности	1	6
196	тому назад	1	6
197	а не	2	6
198	нет и	1	6
199	главным образом	3	6
200	в области	2	6
201	тем не	1	6
202	том числе	1	6
203	когда же	1	6
204	или в	3	6
205	что к	1	6
206	и как	3	6
207	на то	5	6
208	человека в	1	6
209	когда он	1	6
210	а по	1	6
211	на это	2	6
212	как будто	2	6
213	надо было	1	6
214	не удалось	1	6
215	для всех	6	5
216	из всех	2	5
217	из двух	1	5
218	за ним	1	5
219	именно в	3	5
220	что по	1	5
221	роль в	1	5
222	со своей	1	5
223	любовь к	2	5
224	любви к	2	5
225	а на	1	5
226	к ним	1	5
227	от них	1	5
228	тем же	1	5
229	себя в	4	5
230	никогда не	5	5
231	представить себе	2	5
232	и мы	1	5
233	в ее	1	5
234	в мире	4	5
235	между собой	5	5
236	не могла	1	5
237	друг другу	2	5
238	даже если	2	5
239	и от	2	5
240	не так	2	5
241	представление о	1	5
242	что это	3	5
243	приводит к	4	5
244	признать что	6	5
245	конечно не	5	5
246	и если	7	5
247	и теперь	1	5
248	только один	1	5
249	у других	2	5
250	же самое	1	5
251	в сознании	3	5
252	этом отношении	1	5
253	это не	1	5
254	по существу	5	5
255	и без	1	5
256	участие в	2	5
257	отказаться от	4	5
258	от того	4	5
259	жизни и	4	5
260	чаще всего	1	5
261	для этого	3	5
262	что на	1	5
263	в принципе	1	4
264	не столько	1	4
265	собой разумеется	1	4
266	чтобы в	2	4
267	в духе	1	4
268	видно из	1	4
269	их в	2	4
270	не всегда	1	4
271	в политическом	1	4
272	с большим	1	4
273	одна из	3	4
274	под именем	1	4
275	от ее	1	4
276	ближе к	1	4
277	том чтобы	3	4
278	в состоянии	1	4
279	к которому	1	4
280	это обстоятельство	1	4
281	там и	2	4
282	не о	2	4
283	силу этого	1	4
284	в последние	5	4
285	же как	1	4
286	в себя	1	4
287	выражение в	1	4
288	здесь мы	1	4
289	что эта	1	4
290	по своей	1	4
291	с которым	1	4
292	образом в	1	4
293	из этого	3	4
294	не на	1	4
295	стороны и	1	4
296	бы не	1	4
297	внешней политики	1	4
298	то и	1	4
299	по сравнению	1	4
300	что же	4	4
301	в положение	2	4
302	ничем не	1	4
303	хотя в	1	4
304	многие из	1	4
305	что с	2	4
306	видеть в	2	4
307	все равно	1	4
308	в свои	1	4
309	а то	1	4
310	отрицать что	1	4
311	или менее	4	4
312	такой же	1	4
313	избавиться от	1	4
314	мог бы	1	4
315	материал для	1	4
316	и их	1	4
317	не следует	1	4
318	из которой	1	4
319	в основе	1	4
320	во всем	4	3
321	от него	2	3
322	к этой	4	3
323	до самого	1	3
324	всю свою	2	3
325	по себе	2	3
326	более или	4	3
327	уверен в	1	3
328	если он	1	3
329	похож на	1	3
330	только для	2	3
331	представления о	1	3
332	а после	1	3
333	только на	2	3
334	шла о	1	3
335	и когда	1	3
336	приходит к	3	3
337	людей и	2	3
338	от своего	1	3
339	всего этого	1	3
340	путь к	4	3
341	как на	8	3
342	друг с	14	3
343	разумеется что	2	3
344	время и	1	3
345	собой в	1	3
346	с другом	14	3
347	если у	1	3
348	и за	1	3
349	для них	3	3
350	противоречие между	1	3
351	отношения к	2	3
352	в таком	2	3
353	речь шла	2	3
354	от этого	1	3
355	должно было	1	3
356	на себе	1	3
357	не был	1	3
358	остается в	2	3
359	а с	2	3
360	бы к	1	3
361	для создания	1	3
362	ли это	4	3
363	было только	1	3
364	следует признать	1	3
365	могла бы	1	3
366	их к	2	3
367	и есть	2	3
368	если они	2	3
369	в один	1	3
370	для себя	2	3
371	о которой	1	3
372	мы в	1	3
373	не могут	4	3
374	и начало	1	3
375	с ними	1	3
376	друг от	2	3
