N	3gram	Losev_Prob	Literetu
1	в том что	13	21
2	в то же	2	21
3	то же время	1	21
4	по отношению к	2	12
5	с одной стороны	5	12
6	не может быть	2	11
7	в данном случае	5	11
8	состоит в том	1	11
9	так или иначе	3	10
10	о том что	14	10
11	в этом отношении	4	10
12	с точки зрения	13	8
13	не говоря уже	2	8
14	с другой стороны	7	7
15	говоря уже о	2	6
16	в том числе	2	6
17	к тому же	5	6
18	не только в	5	6
19	едва ли не	1	6
20	с этой точки	2	5
21	тем не менее	8	5
22	еще в году	1	5
23	в том чтобы	2	5
24	в русской литературе	3	5
25	этой точки зрения	2	5
26	в связи с	11	5
27	прежде всего в	1	5
28	может быть это	1	4
29	по аналогии с	1	4
30	и прежде всего	2	4
31	то ни было	2	4
32	бы то ни	4	4
33	в третьем лице	1	4
34	и то что	3	4
35	и т п	1	3
36	в самом деле	1	3
37	в том же	1	3
38	ничего общего с	2	3
39	все хотят увидеть	1	3
40	то же самое	2	3
41	той или иной	4	3
42	только в том	2	3
43	в свою очередь	2	3
44	на то что	2	3
45	на самом деле	2	3
46	по крайней мере	8	3
47	ту или иную	1	3
48	и подобные им	1	3
49	а то и	1	3
50	в одном из	1	3
51	во всяком случае	6	3
52	то что я	1	3
53	и в частности	4	3
54	том числе и	1	3
55	том что его	1	2
56	имеется в виду	1	2
57	для того чтобы	3	2
58	эти и подобные	1	2
59	все же в	1	2
60	между тем как	1	2
61	и вместе с	3	2
62	тех или иных	2	2
63	же самое можно	1	2
64	а с другой	3	2
65	не только не	1	2
66	потому что не	1	2
67	самое можно сказать	1	2
68	к тому что	1	2
69	мы имеем дело	1	2
70	в чистом виде	1	2
71	за то что	2	2
72	чуть ли не	1	2
73	вместе с тем	5	2
74	не удивительно что	1	2
75	но и в	2	2
76	которые могли бы	1	2
77	в виду не	1	2
78	о себе в	1	2
79	хотят увидеть всех	1	2
80	дело в том	4	2
81	в сравнении с	4	2
82	можно было бы	2	2
83	это уже не	2	2
84	уже в году	1	2
85	на первый взгляд	1	2
86	жизни и в	2	2
87	на эту тему	2	2
88	том что не	1	2
89	в конце этой	1	1
90	войне и мире	1	1
91	в той или	2	1
92	как и во	1	1
93	имеет ничего общего	2	1
94	в стихотворении с	2	1
95	в области художественного	1	1
96	как будто бы	3	1
97	все того же	2	1
98	и для всего	1	1
99	по себе но	1	1
100	в советской поэзии	2	1
101	для искусства в	2	1
102	уже в художественной	1	1
103	что в ней	1	1
104	на задний план	1	1
105	числе и в	1	1
106	в большинстве случаев	1	1
107	жизни но не	1	1
108	означает не что	1	1
109	на том что	1	1
110	мастер и маргарита	1	1
111	достоевского но не	1	1
112	уже не является	1	1
113	так и остается	1	1
114	это не только	1	1
115	того же автора	2	1
116	то что в	2	1
117	что слово это	1	1
118	или иной мере	2	1
119	он знает как	1	1
120	не в том	1	1
121	далеко не всегда	3	1
122	каковы бы ни	1	1
123	в другом стихотворении	1	1
124	точки зрения которого	1	1
125	более или менее	1	1
126	в русской и	1	1
127	только при условии	1	1
128	жизни человека и	1	1
129	в истинном смысле	1	1
130	но даже и	4	1
131	эти идеи и	1	1
132	но и он	1	1
133	говорит о себе	2	1
134	именно в этом	1	1
135	так и с	1	1
136	вновь и вновь	1	1
137	до сих пор	3	1
138	все более и	1	1
139	именно потому что	1	1
140	что когда-то он	1	1
141	в такой же	1	1
142	в конце концов	7	1
143	что перед нами	2	1
144	не имеет ничего	2	1
145	и не было	1	1
146	в европейской литературе	1	1
147	в последнее время	1	1
148	мы все время	1	1
149	том что в	1	1
150	все же остается	1	1
151	со всеми другими	1	1
152	человеческого я в	1	1
153	нет не только	1	1
154	виду не только	1	1
155	но в силу	1	1
156	на себя ее	1	1
157	и сам в	1	1
158	ни были его	1	1
159	в пути и	1	1
160	но еще и	1	1
161	людей а также	1	1
162	видит в том	1	1
163	как раз и	1	1
164	ни к какой	1	1
165	в наше время	1	1
166	сама по себе	2	1
167	по этому поводу	4	1
168	с тех пор	1	1
169	у него не	1	1
170	но все же	2	1
171	театр времен растущих	1	1
172	стало для меня	1	1
173	как будто на	1	1
174	о том как	1	1
175	не в силах	3	1
176	имея в виду	1	1
177	но это не	1	1
178	и в том	1	1
179	такой же мере	1	1
180	и в этом	1	1
181	а также и	3	1
182	может быть только	6	1
183	не только по	1	1
184	и только в	1	1
185	после того как	3	1
186	и тем не	1	1
187	с тем же	1	1
188	то есть в	5	1
189	вслед за ним	1	1
190	что едва ли	1	1
191	в россии в	1	1
192	по мнению автора	1	1
193	не только для	2	1
194	по своей воле	1	1
195	и тем же	1	1
196	при всем своем	2	1
197	никак не мог	2	1
198	в частности для	1	1
