N	2gram	Losev_Vesc	Otkroven
1	у него	3	22
2	человеческой природы	1	20
3	и в	44	19
4	и не	57	13
5	но и	19	13
6	в этом	17	12
7	человека в	1	11
8	а не	34	11
9	не только	48	11
10	не в	14	11
11	может быть	37	11
12	вопрос о	6	10
13	человека и	3	10
14	и все	6	10
15	в нем	6	10
16	к человеку	1	9
17	потому что	25	9
18	прежде всего	17	9
19	не было	4	9
20	в самой	3	9
21	никогда не	5	9
22	и он	1	8
23	нет ничего	2	7
24	ни с	8	7
25	в его	5	7
26	он не	4	7
27	но он	2	7
28	лишь в	1	7
29	все это	7	6
30	как и	15	6
31	в самом	13	5
32	в том	15	5
33	для него	8	5
34	в этой	4	5
35	а в	6	5
36	до самого	1	5
37	отношение к	4	5
38	в россии	2	5
39	то что	47	5
40	что в	11	4
41	только и	8	4
42	того чтобы	4	4
43	т е	79	4
44	есть лишь	2	4
45	не может	44	4
46	него и	1	4
47	всегда есть	5	4
48	что не	11	4
49	все эти	5	4
50	и его	4	4
51	он сам	2	4
52	с его	2	4
53	только одно	2	3
54	и от	4	3
55	все что	3	3
56	что человек	1	3
57	и вот	4	3
58	хотя бы	9	3
59	это не	9	3
60	для того	3	3
61	с ним	8	3
62	мысли и	5	3
63	когда он	2	3
64	быть может	3	3
65	в этих	1	3
66	не могут	1	3
67	в своих	3	3
68	всякой человеческой	1	3
69	о природе	1	3
70	как бы	19	3
71	было бы	24	3
72	могут быть	1	3
73	в себе	23	3
74	и есть	40	3
75	во имя	3	3
76	что он	7	3
77	никто не	1	3
78	различие между	3	3
79	это было	2	3
80	нем нет	2	3
81	и ее	19	3
82	о том	11	3
83	того что	16	3
84	к нему	3	3
85	еще не	12	3
86	и к	1	2
87	как к	5	2
88	и потому	8	2
89	так и	4	2
90	что они	12	2
91	тогда уже	1	2
92	самое главное	2	2
93	и то	14	2
94	и все-таки	1	2
95	всего и	1	2
96	все же	18	2
97	что у	5	2
98	не могли	1	2
99	так как	17	2
100	и очень	1	2
101	на западе	1	2
102	должно быть	8	2
103	к этой	1	2
104	раз уже	1	2
105	даже и	5	2
106	к ней	4	2
107	для всякого	6	2
108	и ни	3	2
109	уже в	2	2
110	ничто не	2	2
111	в другом	3	2
112	совсем не	2	2
113	личности и	1	2
114	ничего кроме	1	2
115	так что	9	2
116	в своем	9	2
117	с тем	8	2
118	этом он	1	2
119	с которой	3	2
120	в которой	5	2
121	ее в	1	2
122	о которой	3	2
123	не все	3	2
124	одно из	2	2
125	что и	11	2
126	для человека	1	2
127	с богом	1	2
128	от самого	1	2
129	у кого	1	2
130	можно ли	7	2
131	в истории	3	2
132	рационализма и	7	2
133	его в	8	2
134	должен был	1	2
135	ведь это	1	2
136	вместо того	1	2
137	и с	11	2
138	что же	17	2
139	и там	1	2
140	частью в	1	2
141	было для	1	2
142	и о	4	2
143	природы и	1	2
144	сказать что	21	2
145	что для	5	2
146	тем что	7	2
147	него не	1	2
148	что есть	8	2
149	из всего	1	2
150	и на	2	2
151	в других	1	2
152	движение в	1	2
153	с чем	7	2
154	учение о	2	2
155	что все	2	2
156	ничего не	12	2
157	хотя и	5	2
158	не есть	79	2
159	в своей	6	2
160	момент в	6	2
161	все еще	3	2
162	жизни в	3	2
163	по себе	22	2
164	не имеет	2	2
165	к этому	2	2
166	ни у	1	2
167	сразу же	1	2
168	же это	5	2
169	том что	13	2
170	и для	13	2
171	ли сказать	3	2
172	в ее	8	2
173	подойти к	1	2
174	всякий кто	2	2
175	но в	8	2
176	и нет	3	2
177	вопросом о	1	2
178	уже с	1	1
179	что было	1	1
180	ближе к	2	1
181	во всем	2	1
182	к одному	3	1
183	и весь	1	1
184	если вы	3	1
185	во всяком	4	1
186	связан с	1	1
187	кто хочет	1	1
188	не так	2	1
189	ни к	3	1
190	все есть	1	1
191	его и	4	1
192	но можно	3	1
193	совершенно не	11	1
194	смерть и	1	1
195	все и	1	1
196	а потому	2	1
197	то он	2	1
198	ее и	2	1
199	словом только	1	1
200	но оно	3	1
201	для его	2	1
202	а с	3	1
203	и самое	3	1
204	это конечно	1	1
205	не существует	4	1
206	и всякий	3	1
207	стремиться к	1	1
208	один из	5	1
209	в котором	4	1
210	и здесь	5	1
211	та же	1	1
212	даже когда	1	1
213	по природе	2	1
214	ум его	1	1
215	этому но	1	1
216	после этого	1	1
217	он ни	1	1
218	они и	1	1
219	же и	2	1
220	это потому	1	1
221	уверен что	1	1
222	ней не	1	1
223	от самой	4	1
224	бытия но	1	1
225	она должна	4	1
226	что природа	1	1
227	я имею	3	1
228	не имеют	1	1
229	бытие не	2	1
230	сам и	1	1
231	можно и	3	1
232	но о	2	1
233	жизни а	1	1
234	и пр	10	1
235	и заключается	1	1
236	ее ни	1	1
237	смерть ибо	1	1
238	его с	1	1
239	она не	9	1
240	том как	4	1
241	должна быть	8	1
242	мы не	8	1
243	не могу	1	1
244	бы даже	2	1
245	противоречие и	1	1
246	но еще	3	1
247	ней нужно	1	1
248	есть у	2	1
