N	4gram	Vinokur_St	Myshleni
1	заключается в том что	3	43
2	в то время как	1	20
3	так же как и	1	16
4	одно и то же	1	12
5	в том числе и	2	10
6	в том что в	3	8
7	только в том что	1	8
8	в том что он	3	8
9	одним и тем же	2	6
10	точно так же как	1	6
11	в той мере в	2	5
12	на вопрос о том	1	5
13	и вместе с тем	1	5
14	ответ на этот вопрос	1	5
15	в том смысле что	2	5
16	совершенно так же как	1	5
17	в пользу того что	1	5
18	той мере в какой	2	4
19	что с точки зрения	1	4
20	одни и те же	1	4
21	сомнений в том что	2	4
22	если принять во внимание	1	4
23	для того чтобы показать	1	4
24	в той же мере	1	3
25	принять во внимание что	1	3
26	в том что она	1	3
27	дело в том что	7	3
28	внимание на то что	1	3
29	в том и другом	1	3
30	бы то ни было	1	3
31	с нашей точки зрения	1	2
32	себе отчета в том	1	2
33	как раз в этой	1	2
34	сомневаться в том что	2	2
35	в то же время	5	2
36	том что он не	2	2
37	никаких сомнений в том	1	2
38	в той или иной	1	2
39	ответа на вопрос о	1	2
40	о том что в	1	2
41	в этом случае и	1	2
42	не давая себе труда	1	2
43	мы имеем дело с	1	2
44	на то что в	2	2
45	и по отношению к	1	2
46	само собой разумеется что	1	2
47	но в высшей степени	1	1
48	и в том что	1	1
49	ни в каком случае	1	1
50	в этой области это	1	1
51	ли можно сомневаться в	1	1
52	в том отношении что	2	1
53	вопрос о том в	1	1
54	том смысле как мы	1	1
55	во всяком случае не	2	1
56	потому что он не	1	1
57	вообще не существует все	1	1
58	для того чтобы убедиться	1	1
59	с их точки зрения	1	1
60	заключается вовсе не в	1	1
61	можно считать установленным что	1	1
62	когда речь идет о	2	1
63	не может не быть	1	1
64	надо сказать что в	1	1
65	о чем он думал	1	1
66	то что он не	1	1
67	в этой области не	1	1
68	до сих пор в	1	1
69	и что он не	1	1
70	и в самом деле	2	1
71	это не значит что	3	1
72	даже по отношению к	1	1
73	о том что он	3	1
74	не сказал бы что	1	1
75	и мн др но	1	1
76	он с самого начала	1	1
77	нас нет никаких оснований	1	1
78	дело только в том	1	1
79	вопрос о том что	1	1
80	того чтобы убедиться в	1	1
81	в ответ на вопрос	1	1
82	что он не сумел	1	1
83	в том что этот	1	1
84	и та и другая	1	1
85	не могу себе представить	1	1
86	по этому поводу в	1	1
87	того чтобы получить ответ	1	1
88	во всяком случае в	2	1
89	которой можно было бы	1	1
90	не может быть вообще	1	1
91	можно сомневаться в том	1	1
92	в прямом смысле этого	1	1
93	только потому что они	1	1
94	с точки зрения задач	1	1
95	той и другой стороны	1	1
96	и на этот раз	1	1
97	с точки зрения той	1	1
98	и я не могу	1	1
99	то же время не	1	1
100	собой разумеется что в	1	1
101	у нас нет никаких	1	1
102	не отделены друг от	1	1
103	как говорит об этом	1	1
104	в том смысле как	1	1
105	и в то же	1	1
106	невозможные с точки зрения	1	1
107	не дает ни малейшего	1	1
108	обратил внимание на то	1	1
109	чтобы получить ответ на	1	1
110	не говоря уже о	2	1
111	говорить о том что	1	1
112	в настоящем смысле этого	1	1
113	бы они ни были	1	1
114	на вопрос о чем	1	1
115	но и это не	1	1
116	и это самое важное	1	1
117	мы до сих пор	1	1
118	свидетельствуют о том что	1	1
119	в том что здесь	2	1
120	но с другой стороны	2	1
121	только потому что оно	1	1
122	в своем направлении и	1	1
123	одних и тех же	1	1
124	для того чтобы получить	1	1
125	оставляет никаких сомнений в	1	1
126	не оставляет никаких сомнений	1	1
127	только и могут быть	1	1
128	я не могу себе	1	1
129	настоящем смысле этого слова	1	1
130	отделены друг от друга	1	1
131	и в этом отношении	1	1
