N	3gram	Vinokur_Ku	VelikijI
1	к тому что	2	3
2	и т д	21	2
3	в том что	23	2
4	бы и не	1	2
5	это еще не	1	2
6	вместо того чтобы	1	2
7	том что он	4	2
8	не в силах	1	2
9	того что он	1	1
10	так и в	2	1
11	оно не имеет	1	1
12	между тем если	1	1
13	т д и	3	1
14	уже не с	1	1
15	в конце концов	3	1
16	но прежде всего	1	1
17	против того что	1	1
18	вместе с тем	3	1
19	и вместе с	1	1
20	да и то	1	1
21	потому что оно	2	1
22	по сравнению с	1	1
23	что я не	1	1
24	как и в	1	1
25	с тем чтобы	1	1
26	это не было	1	1
27	но в нем	1	1
28	по крайней мере	11	1
29	д и т	3	1
30	не могут быть	1	1
31	хотя бы и	4	1
32	имеет своим предметом	1	1
33	все это как	1	1
34	все равно не	1	1
35	но все же	3	1
36	с другой стороны	12	1
37	на этом пути	1	1
38	и все это	1	1
39	бы то ни	1	1
40	после того как	2	1
41	я думаю что	1	1
