N	4gram	Bakhtin_Pr	EvropaiE
1	в то же время	13	14
2	и в то же	2	8
3	с одной стороны и	1	6
4	бы то ни было	2	4
5	так же как и	1	3
6	в той или иной	1	3
7	само по себе не	1	2
8	заключается в том что	1	2
9	но в то же	7	2
10	и в этом смысле	2	2
11	каких бы то ни	1	2
12	то же время не	3	1
13	дело в том что	1	1
14	в том числе и	1	1
15	одну и ту же	1	1
16	в большей или меньшей	2	1
17	в то время как	2	1
18	и до настоящего времени	1	1
19	большей или меньшей степени	2	1
20	иначе обстоит дело в	1	1
21	нам кажется что в	1	1
