N	2gram	Propp_Isto	Tragedij
1	и в	41	18
2	в этом	19	9
3	не только	30	8
4	и на	12	7
5	и не	12	7
6	может быть	19	7
7	и с	4	7
8	как бы	8	7
9	что он	29	6
10	у него	16	6
11	в образе	4	6
12	но в	7	6
13	и его	11	6
14	это не	14	5
15	что это	6	5
16	так и	8	5
17	все же	14	5
18	в дальнейшем	3	5
19	то же	12	5
20	как и	8	5
21	не может	19	5
22	в то	6	5
23	а я	2	5
24	что в	21	4
25	в себе	3	4
26	и даже	3	4
27	все это	9	4
28	прежде всего	6	4
29	и все	6	4
30	я не	1	4
31	этот образ	2	4
32	об этом	7	4
33	еще не	13	4
34	но и	20	4
35	том что	18	4
36	и что	15	4
37	так же	6	4
38	то что	12	4
39	в этой	2	4
40	что я	2	4
41	в нем	12	4
42	но это	5	4
43	в целом	2	4
44	своего рода	7	3
45	и он	8	3
46	один из	7	3
47	должно быть	1	3
48	в основном	2	3
49	уже в	4	3
50	в его	4	3
51	в своем	3	3
52	с ним	9	3
53	о чем	2	3
54	что вы	2	3
55	и сам	3	3
56	что за	3	3
57	в конце	4	3
58	и как	3	3
59	как в	17	3
60	никто не	2	3
61	своего отца	4	3
62	то есть	1	3
63	при этом	7	3
64	жизнь и	1	3
65	как это	6	3
66	тем самым	3	3
67	с ее	1	3
68	мог бы	1	3
69	как будто	4	3
70	все эти	8	3
71	к нему	8	3
72	в самом	2	2
73	не так	4	2
74	вместе со	2	2
75	и то	3	2
76	ребенка и	1	2
77	раз он	2	2
78	еще раз	1	2
79	превратилось в	3	2
80	и здесь	13	2
81	со мной	1	2
82	данном случае	7	2
83	его дочь	1	2
84	и за	1	2
85	в том	14	2
86	он и	3	2
87	с тем	8	2
88	в ее	3	2
89	говорит о	2	2
90	как у	2	2
91	отцом и	1	2
92	ее за	4	2
93	что и	13	2
94	ни в	4	2
95	но при	2	2
96	я все	1	2
97	к области	1	2
98	что все	1	2
99	не могут	3	2
100	в виде	5	2
101	его в	7	2
102	этим объясняется	2	2
103	не в	12	2
104	но все	5	2
105	но эта	2	2
106	из самых	2	2
107	еще в	3	2
108	в силах	1	2
109	от всего	1	2
110	в таком	1	2
111	между этими	1	2
112	ничем не	2	2
113	этими двумя	1	2
114	вопрос о	6	2
115	вряд ли	1	2
116	имеет в	1	2
117	знает что	2	2
118	и это	9	2
119	нет в	2	2
120	отца и	2	2
121	во сне	2	2
122	под влиянием	2	2
123	уже не	8	2
124	к тому	4	2
125	о том	15	2
126	перед нами	4	2
127	а что	1	2
128	не имеет	6	2
129	что эти	4	2
130	в данном	8	2
131	ее к	2	2
132	что этот	4	2
133	отличие от	1	2
134	она должна	1	2
135	я тебе	1	2
136	он был	2	2
137	то и	6	2
138	потому что	13	2
139	так что	6	2
140	он не	8	2
141	в частности	3	2
142	на меня	1	2
143	но они	4	2
144	в это	3	2
145	точно так	2	2
146	в одном	2	2
147	и до	2	2
148	она все	1	2
149	его за	2	2
150	отношение к	6	2
151	в самую	1	2
152	о его	1	2
153	он вообще	1	2
154	что она	6	2
155	который в	1	2
156	одна из	7	2
157	с его	4	2
158	а как	2	2
159	тут же	2	2
160	не мог	1	2
161	тем что	11	2
162	не просто	3	2
163	не случайно	3	2
164	только о	2	2
165	и ее	6	2
166	никогда не	16	2
167	ничего не	7	2
168	жизнью и	1	2
169	друг друга	2	2
170	согласие на	1	1
171	в особенности	2	1
172	все в	2	1
173	во всем	2	1
174	то в	1	1
175	от нее	2	1
176	от него	6	1
177	близок к	4	1
178	этом случае	4	1
179	утверждать что	3	1
180	могут быть	3	1
181	взгляд на	1	1
182	мы видим	14	1
183	а теперь	1	1
184	что оно	1	1
185	этого мотива	10	1
186	мы встречаем	1	1
187	таким образом	15	1
188	мог быть	1	1
189	не знал	2	1
190	после того	6	1
191	на неудачу	1	1
192	с начала	1	1
193	только что	1	1
194	на вопрос	5	1
195	его самого	2	1
196	на брак	1	1
197	также что	1	1
198	известно что	3	1
199	одной детали	1	1
200	на западе	2	1
201	того как	5	1
202	к этой	2	1
203	если он	5	1
204	с одной	12	1
205	и вот	2	1
206	впадает в	1	1
207	его с	2	1
208	я знаю	2	1
209	должна быть	3	1
210	но еще	1	1
211	к себе	4	1
212	с такой	1	1
213	что уже	1	1
214	из авторов	1	1
215	с этой	7	1
216	и при	2	1
217	другие и	1	1
218	сколько угодно	1	1
219	она всегда	1	1
220	дело с	2	1
221	в стиле	1	1
222	и далее	1	1
223	что эта	1	1
224	облик в	1	1
225	с образом	1	1
226	т е	34	1
227	вот как	1	1
228	что при	3	1
229	того что	7	1
230	кто он	1	1
231	свою руку	1	1
232	тем не	4	1
233	нам еще	1	1
234	сам автор	1	1
235	не как	1	1
236	так можно	1	1
237	место где	1	1
238	а затем	1	1
239	для нас	8	1
240	видит что	1	1
241	где он	3	1
242	и холод	1	1
243	по-видимому не	1	1
244	на одной	1	1
245	смысл этой	1	1
246	как он	11	1
247	xix века	1	1
248	же не	2	1
249	в результате	1	1
250	точности соответствует	1	1
251	смысле этого	1	1
252	рот и	1	1
253	это значит?	1	1
254	с собой	7	1
255	только в	10	1
256	него нет	1	1
257	не столько	4	1
258	по себе	2	1
259	такой силой	1	1
260	видим уже	1	1
261	мы вновь	1	1
262	в самой	1	1
263	видит в	3	1
264	вопрос об	1	1
265	а на	2	1
266	за что	1	1
267	говорит он	1	1
268	а там	2	1
269	не было	3	1
270	в борьбе	1	1
271	но он	4	1
272	здесь мы	11	1
273	мы понимаем	1	1
274	до этого	1	1
275	с наступлением	1	1
276	исходит от	1	1
277	этого не	2	1
278	вот что	1	1
279	наших дней	1	1
280	необходимо отметить	1	1
281	а также	2	1
282	положение о	1	1
283	пришло на	1	1
284	героя с	1	1
285	что под	2	1
286	только сам	1	1
287	тот кто	5	1
288	на нее	1	1
289	одним из	1	1
290	и возвращается	2	1
291	мысль о	1	1
292	не исчерпываются	1	1
293	на себя	3	1
294	что не	3	1
295	как его	2	1
296	конфликт между	1	1
297	не есть	1	1
298	именно в	2	1
299	это право	1	1
300	быть понят	2	1
301	и пусть	1	1
302	представление о	9	1
303	обоих случаях	1	1
304	при которой	1	1
305	указывает на	1	1
306	да я	1	1
307	вообще не	4	1
308	ним она	1	1
309	но становится	1	1
310	тому что	2	1
311	случай не	1	1
312	эти черты	1	1
313	она стремится	1	1
314	когда его	1	1
315	золотом веке	1	1
316	в связи	3	1
317	с ними	2	1
318	с отцом	1	1
319	и она	3	1
320	так часто	3	1
321	приходит в	2	1
322	есть в	1	1
323	на земле	6	1
324	в своей	4	1
325	рядом с	1	1
326	вместе с	17	1
327	и вместе	3	1
328	личных качествах	2	1
329	ее сердце	1	1
330	оказалось что	1	1
331	не менее	5	1
332	и т	29	1
333	это происходит	4	1
334	перед собой	1	1
335	этого характера	1	1
336	и глаза	1	1
337	на все	1	1
338	на стол	1	1
339	со своей	2	1
340	между собой	1	1
341	незадолго до	2	1
342	показывает его	2	1
343	в иной	3	1
