1	в том числе и	4	7
2	в той или иной	10	5
3	в то же время	1	5
4	как мы уже сказали	2	4
5	на самом же деле	8	3
6	не подлежит никакому сомнению	1	2
7	и в то же	3	2
8	но в то же	3	2
9	содержит в себе и	2	2
10	всегда в той или	1	2
11	и ни на что	1	2
12	и не может быть	1	2
13	дело в том что	10	2
14	с точки зрения тех	1	1
15	он смотрит и на	1	1
16	все эти образы и	1	1
17	на то или иное	1	1
18	с одной стороны он	1	1
19	не чем иным как	7	1
20	мы имеем в виду	2	1
21	нас в том что	1	1
22	все эти и подобные	1	1
23	эти и подобные им	1	1
24	в литературе и в	1	1
25	и ни к какому	1	1
26	однако было бы нелепостью	1	1
27	в новое время это	1	1
28	в тех случаях когда	3	1
29	во всяком случае не	4	1
30	в искусстве и литературе	2	1
31	но это и не	1	1
32	он перестал бы быть	1	1
33	не может быть никакой	1	1
34	том числе и в	1	1
35	в том что он	3	1
36	искусства и литературы здесь	1	1
37	для того чтобы освободиться	1	1
38	и в литературе и	1	1
39	в этом отношении является	1	1
40	в силу того что	1	1
41	и до сих пор	1	1
42	литературе и в искусстве	1	1
43	здесь имеем в виду	1	1
44	то есть только в	1	1
45	одной и той же	2	1
46	все более и более	2	1
47	но даже и в	1	1
48	мы здесь имеем в	1	1
