N	2gram	Tiupa_Lite	Otkroven
1	у него	5	22
2	у достоевского	2	19
3	и в	26	19
4	и не	19	13
5	но и	25	13
6	в этом	19	12
7	человека в	5	11
8	а не	28	11
9	не только	29	11
10	не в	11	11
11	может быть	24	11
12	вопрос о	1	10
13	человека и	2	10
14	и все	1	10
15	в нем	4	10
16	потому что	5	9
17	прежде всего	14	9
18	не было	5	9
19	никогда не	5	9
20	и он	3	8
21	он был	1	8
22	нет ничего	2	7
23	от него	2	7
24	в его	9	7
25	он не	4	7
26	но он	1	7
27	лишь в	4	7
28	в глубине	1	7
29	до конца	3	7
30	человеческой личности	1	6
31	как и	13	6
32	в самом	4	5
33	в творчестве	2	5
34	в том	22	5
35	для него	6	5
36	него в	2	5
37	в этой	7	5
38	а в	5	5
39	отношение к	1	5
40	в россии	2	5
41	о его	1	5
42	то что	14	5
43	все в	1	4
44	что в	7	4
45	только и	1	4
46	того чтобы	1	4
47	есть лишь	2	4
48	не может	10	4
49	что не	3	4
50	все эти	2	4
51	на земле	1	4
52	и его	7	4
53	он сам	2	4
54	с его	5	4
55	в русской	13	3
56	и от	1	3
57	записки из	1	3
58	жизни все	1	3
59	все что	3	3
60	что человек	1	3
61	и вот	2	3
62	хотя бы	3	3
63	это не	4	3
64	для того	2	3
65	с ним	2	3
66	мысли и	1	3
67	когда он	1	3
68	он лишь	1	3
69	быть может	2	3
70	в этих	2	3
71	не могут	1	3
72	в своих	5	3
73	как бы	8	3
74	было бы	4	3
75	могут быть	4	3
76	в себе	8	3
77	достоевского в	1	3
78	человеке он	1	3
79	и есть	3	3
80	во имя	3	3
81	что он	8	3
82	никто не	1	3
83	человеческого духа	2	3
84	различие между	3	3
85	это было	1	3
86	о том	3	3
87	того что	7	3
88	к нему	1	3
89	еще не	4	3
90	всего в	4	2
91	и к	1	2
92	как к	4	2
93	и потому	1	2
94	так и	7	2
95	что они	1	2
96	и то	3	2
97	в душе	3	2
98	все же	6	2
99	никогда и	1	2
100	не могли	1	2
101	так как	2	2
102	должно быть	1	2
103	к этой	2	2
104	даже и	2	2
105	уже в	7	2
106	в другом	3	2
107	личности и	1	2
108	ничего кроме	2	2
109	так что	4	2
110	в своем	12	2
111	в этот	1	2
112	с тем	2	2
113	в которой	1	2
114	ее в	1	2
115	о которой	2	2
116	не все	1	2
117	русского народа	1	2
118	одно из	3	2
119	что и	3	2
120	которую он	1	2
121	россии в	1	2
122	от самого	2	2
123	у кого	2	2
124	и бесконечно	1	2
125	в истории	1	2
126	его в	4	2
127	должен был	1	2
128	их не	2	2
129	мысль о	2	2
130	художественном творчестве	1	2
131	и с	4	2
132	что же	1	2
133	он в	1	2
134	достоевского с	1	2
135	и о	1	2
136	сказать что	1	2
137	что для	2	2
138	тем что	6	2
139	него не	1	2
140	что есть	2	2
141	и на	5	2
142	с чем	3	2
143	ничего не	3	2
144	не есть	2	2
145	в своей	5	2
146	все еще	2	2
147	жизни в	5	2
148	достоевского но	1	2
149	не имеет	2	2
150	о любви	1	2
151	к этому	2	2
152	же это	3	2
153	том что	19	2
154	и для	1	2
155	в ее	1	2
156	своей жизни	1	2
157	человек всегда	1	2
158	но в	5	2
159	человека а	2	2
160	и нет	4	2
161	вокруг которого	2	1
162	было у	2	1
163	него из	1	1
164	ведет свое	1	1
165	во всем	1	1
166	к одному	1	1
167	этой и	1	1
168	в каждом	2	1
169	во всяком	3	1
170	не так	1	1
171	ко всему	4	1
172	быть он	1	1
173	лет назад	1	1
174	ни к	1	1
175	с образом	2	1
176	всегда является	1	1
177	во внешнем	1	1
178	совершенно не	1	1
179	смерть и	1	1
180	бытия как	1	1
181	а потому	4	1
182	то он	3	1
183	ее и	1	1
184	своем я	2	1
185	на человека	1	1
186	к победе	1	1
187	а с	2	1
188	это конечно	1	1
189	в центре	1	1
190	красоте если	1	1
191	самой жизни	1	1
192	и завершает	1	1
193	и других	4	1
194	один из	7	1
195	как глубоко	1	1
196	в котором	1	1
197	и здесь	1	1
198	та же	2	1
199	даже когда	1	1
200	виду не	2	1
201	из тьмы	1	1
202	с душой	1	1
203	и состоит	2	1
204	мир в	5	1
205	этому произведению	1	1
206	свободы в	1	1
207	природы это	1	1
208	же и	3	1
209	уверен что	1	1
210	которых в	1	1
211	ней не	1	1
212	от самой	1	1
213	толстого и	1	1
214	после того	1	1
215	границы и	1	1
216	можно и	2	1
217	в пределе	1	1
218	того как	1	1
219	жизни а	1	1
220	бог и	1	1
221	который всегда	1	1
222	в первый	2	1
223	достоевского всегда	1	1
224	собой в	1	1
225	и наказания	1	1
226	она не	1	1
227	должна быть	3	1
228	мы не	5	1
229	есть у	1	1
230	не идет	1	1
231	жизни человека	1	1
232	частности может	1	1
233	жизнь а	1	1
234	также и	3	1
235	ту же	4	1
236	но не	8	1
237	путь которым	1	1
238	это должно	1	1
239	души человеческой	1	1
240	и менее	1	1
241	это я	1	1
242	для многих	3	1
243	не по	2	1
244	к творчеству	1	1
245	и природой	1	1
246	представляет собой	5	1
247	с какой	1	1
248	быть не	2	1
249	преступления и	1	1
250	от которого	1	1
251	был бы	1	1
252	в ней	4	1
253	из всех	1	1
254	на два	2	1
255	самому себе	2	1
256	художественного творчества	3	1
257	его речь	1	1
258	лишь его	2	1
259	что это	1	1
260	в отношениях	1	1
261	его принадлежности	1	1
262	и нигде	1	1
263	этом отношении	5	1
264	для тех	1	1
265	может служить	1	1
266	есть путь	2	1
267	всяком случае	2	1
268	он и	5	1
269	сознания в	14	1
270	в свое	1	1
271	в сущности	5	1
272	для художника	1	1
273	кажется что	1	1
274	романы достоевского	1	1
275	но тем	4	1
276	в частности	18	1
277	говорит о	1	1
278	как это	9	1
279	ни был	2	1
280	о нем	1	1
281	между двумя	1	1
282	не оставляет	3	1
283	о границах	1	1
284	но может	1	1
285	люди с	1	1
286	проникновения в	1	1
287	со всей	2	1
288	не частное	1	1
289	со стороны	6	1
290	не с	2	1
291	отношении к	2	1
292	личной судьбы	1	1
293	за собой	2	1
294	и ему	1	1
295	ты не	1	1
296	с тобой	6	1
297	пределы искусства	1	1
298	в поэме	5	1
299	и что	2	1
300	но сам	1	1
301	в одном	2	1
302	на самом	1	1
303	у нас	5	1
304	человеческого достоинства	1	1
305	бытие и	1	1
306	в отношении	2	1
307	можно было	3	1
308	на свободу	1	1
309	свободы от	4	1
310	оказывается что	1	1
311	а те	1	1
312	ее с	1	1
313	кто бы	1	1
314	в строгом	1	1
315	и когда	1	1
316	и до	1	1
317	с их	3	1
318	природу и	1	1
319	не вполне	1	1
320	за это	1	1
321	по своей	3	1
322	человека с	1	1
323	в форму	2	1
324	существование в	2	1
325	же принадлежит	1	1
326	в них	1	1
327	было и	1	1
328	любви к	1	1
329	вл соловьева	2	1
330	художник не	1	1
331	перед ним	2	1
332	как например	1	1
333	не случайно	5	1
334	и вся-то	1	1
335	и даже	9	1
336	в чистом	1	1
337	все та	2	1
338	в борьбе	1	1
339	мотив в	1	1
340	особого рода	3	1
341	пути от	2	1
342	показывает нам	1	1
343	сила и	1	1
344	если бы	1	1
345	самом деле	2	1
346	у которых	1	1
347	от всех	2	1
348	дороги и	1	1
349	исходит от	1	1
350	и более	1	1
351	самим собой	2	1
352	была бы	1	1
353	и сам	6	1
354	как мыслитель	1	1
355	назад не	1	1
356	его собственная	1	1
357	его романов	1	1
358	в виду	4	1
359	в силу	4	1
360	самом начале	1	1
361	не иметь	1	1
362	права на	4	1
363	дело в	3	1
364	стремится к	1	1
365	места в	1	1
366	в мир	1	1
367	в силах	1	1
368	и эта	1	1
369	своего сознания	1	1
370	в эпоху	1	1
371	во внешней	1	1
372	отношения к	1	1
373	тем же	5	1
374	жизни как	3	1
375	своей глубине	2	1
376	не те	1	1
377	ключ к	1	1
378	он придет	1	1
379	духа и	1	1
380	и каждый	2	1
381	ведет к	5	1
382	не делает	1	1
383	связанным с	1	1
384	он знает	1	1
385	он говорит	2	1
386	строй жизни	1	1
387	в конце	6	1
388	русской и	1	1
389	например в	3	1
390	в жизни	7	1
391	придет и	1	1
392	между этими	1	1
393	путь он	1	1
394	достоевским в	1	1
395	в глазах	4	1
396	видят не	1	1
397	в сферу	2	1
398	с той	1	1
399	и без	1	1
400	как от	1	1
401	и как	2	1
402	то в	3	1
403	все время	1	1
404	к его	1	1
405	нам все	1	1
406	есть не	2	1
407	чего бы	2	1
408	человек в	2	1
409	в сознании	3	1
410	не читает	1	1
411	а именно	1	1
412	жизни и	6	1
413	всю жизнь	2	1
414	одна из	8	1
415	русской литературы	3	1
416	в мире	9	1
417	состоит из	1	1
418	одном из	3	1
419	и прежде	4	1
420	который в	2	1
421	как в	5	1
422	другом месте	1	1
423	как будто	2	1
424	на то	2	1
425	свободу в	1	1
426	в уме	4	1
427	говорят о	1	1
428	не стоит	1	1
429	лица в	1	1
430	быть назван	1	1
431	от этого	1	1
432	нет у	1	1
433	души он	1	1
434	и я	7	1
435	нуждается в	3	1
436	особый мир	3	1
437	отличается от	1	1
438	да и	3	1
439	его жизни	1	1
440	в новом	1	1
441	но это	2	1
442	лишь для	1	1
443	в эти	1	1
444	растворяется в	1	1
445	так любит	1	1
446	в это	1	1
447	мир и	2	1
448	себе и	2	1
449	чем и	1	1
450	внутренней свободы	4	1
451	с другом	1	1
452	чтобы не	2	1
453	пути пройденного	1	1
454	поставлен у	1	1
455	типа есть	1	1
456	она и	1	1
457	мысль его	1	1
458	к которой	1	1
459	жизни не	2	1
460	из них	5	1
461	враг и	2	1
462	вовсе не	3	1
463	вл соловьев	1	1
464	уже не	9	1
465	в одной	1	1
466	не таков	1	1
467	мира в	4	1
468	свое собственное	3	1
469	со всеми	2	1
470	имя свободы	1	1
471	с каким	1	1
472	лишь способ	1	1
473	бы ни	1	1
474	бы в	1	1
475	к другому	1	1
476	поэтому он	1	1
477	всеми и	1	1
478	людей в	1	1
479	есть их	1	1
