N	4gram	Vygotskiy_	Freidism
1	в то же время	1	6
2	одной и той же	5	3
3	внутренней и внешней речи	1	3
4	и не может быть	2	3
5	не чем иным как	2	2
6	заключается в том что	9	2
7	в зависимости от того	1	2
8	в том что она	2	2
9	в том что он	2	2
10	но мы знаем что	1	2
11	на самом же деле	1	2
12	нет и не может	2	2
13	на первый план выдвигается	1	1
14	и в высшей степени	1	1
15	чтобы ответить на этот	1	1
16	и связанное с ним	1	1
17	в самое последнее время	1	1
18	том что он не	1	1
19	все больше и больше	2	1
20	если мы обратимся к	1	1
21	одного плана в другой	1	1
22	на которой мы остановимся	1	1
23	т.е в конечном счете	1	1
24	на следующих ступенях развития	1	1
25	в собственном смысле этого	3	1
26	из одного плана в	1	1
27	что с точки зрения	1	1
28	и по отношению к	1	1
29	в свою очередь является	1	1
30	с точки зрения обоих	1	1
31	одна из основных особенностей	1	1
32	мы видим таким образом	1	1
33	и не могут быть	1	1
34	одно и то же	3	1
35	ответить на этот вопрос	1	1
36	была бы совершенно невозможна	1	1
37	случае не может быть	1	1
38	собственном смысле этого слова	3	1
39	мы остановимся только на	1	1
40	в то время когда	1	1
41	из того что мы	1	1
42	друг с другом и	1	1
43	для того чтобы получить	1	1
44	в том что в	2	1
45	как по отношению к	1	1
46	оказывается не чем иным	1	1
47	поэтому она не может	1	1
48	что на первой стадии	1	1
49	не что иное как	1	1
50	видим таким образом что	1	1
51	направлений в современной психологии	1	1
52	сам по себе является	1	1
53	в заключение этой главы	1	1
54	в собственном смысле слова	1	1
55	в самом деле если	1	1
56	по отношению ко всему	1	1
57	есть не что иное	1	1
