N	3gram	Berdyaev_N	Hudozhes
1	в том что	1	8
2	в отличие от	1	7
3	с другой стороны	2	6
4	не может быть	4	4
5	в этом смысле	2	3
6	в том числе	1	3
7	одного и того	1	3
8	подобно тому как	3	3
9	и того же	1	3
10	с одной стороны	2	3
11	в том и	2	2
12	по своей природе	1	2
13	том числе и	1	2
14	в известном смысле	1	2
15	в значительной степени	1	2
16	быть не может	1	1
17	и потому что	1	1
18	та или иная	1	1
19	заключает в себе	1	1
20	весь мир все	1	1
21	о том что	1	1
22	добро и зло	1	1
23	мы говорим о	1	1
24	как и в	1	1
25	для себя и	1	1
26	к одному из	1	1
27	содержанию а не	1	1
28	в то время	1	1
29	в том случае	1	1
30	в зависимости от	1	1
31	так же как	2	1
32	не было и	1	1
33	и в жизни	1	1
34	не могут быть	1	1
35	в новое время	1	1
36	том случае если	1	1
37	а не с	1	1
38	к вопросу о	1	1
39	нового времени в	1	1
40	я думаю что	1	1
41	имея в виду	1	1
42	это и есть	1	1
