N	2gram	Tiupa_Narr	Retstnzi
1	не может	10	4
2	и в	19	3
3	достоевского и	1	2
4	если в	3	2
5	один из	3	2
6	может и	1	1
7	этой проблемы	1	1
8	в особенности	4	1
9	несмотря на	2	1
10	может быть	25	1
11	не только	32	1
12	и лингвистики	1	1
13	точки зрения	10	1
14	с точки	2	1
15	может не	3	1
16	для него	2	1
17	подхода к	1	1
18	в ней	3	1
19	связи с	4	1
20	с другими	1	1
21	его от	1	1
22	если бы	1	1
23	исходя из	2	1
24	в его	9	1
25	не менее	3	1
26	именно с	1	1
27	но и	23	1
28	к тому	7	1
29	не смог	1	1
30	во второй	2	1
31	можно назвать	1	1
32	в то	3	1
33	из этих	3	1
34	и больше	1	1
35	ни один	1	1
36	же время	4	1
37	то же	4	1
38	при анализе	1	1
39	а не	12	1
40	нет и	2	1
41	в системе	1	1
42	и не	20	1
43	и все	2	1
44	истории но	1	1
45	и на	3	1
