N	4gram	Nazirov_Tv	StatiiOP
1	дело в том что	4	9
2	в то же время	18	9
3	заключается в том что	1	6
4	в начале xix века	1	5
5	в том что в	3	4
6	это не значит что	2	3
7	в одном из писем	1	3
8	и тем не менее	1	3
9	в том числе и	1	2
10	и в то же	2	2
11	но в то же	5	2
12	и т д и	1	2
13	это объясняется тем что	1	2
14	все более и более	1	2
15	бы то ни было	1	2
16	в том что этот	1	2
17	не может быть назван	1	2
18	каких бы то ни	1	1
19	а с другой стороны	1	1
20	в россии по мнению	1	1
21	не только потому что	1	1
22	и т д в	1	1
23	в конце х годов	1	1
24	что у него есть	1	1
25	но это еще не	1	1
26	на той же странице	1	1
27	но это не значит	1	1
28	то что в русской	1	1
29	т д и т	1	1
30	ответ на этот вопрос	1	1
31	дело не только в	1	1
32	молиться за царя ирода	1	1
33	нельзя молиться за царя	1	1
34	начале xix века в	1	1
35	то же время с	1	1
36	с другой стороны и	1	1
37	в том же году	2	1
38	на протяжении всего этого	1	1
39	в целом ряде случаев	1	1
40	о котором говорилось выше	1	1
41	то это означало бы	1	1
42	и т д все	1	1
43	говорить о том что	1	1
44	т д все это	1	1
45	так же как и	1	1
46	в связи с его	1	1
47	д и т д	1	1
