N	2gram	Berdyaev_N	slovoVRo
1	и в	16	92
2	может быть	7	59
3	и его	1	59
4	в нем	5	59
5	и не	11	51
6	не только	5	44
7	не может	16	41
8	но и	3	39
9	в этом	7	36
10	а не	17	34
11	во всех	3	32
12	так и	2	30
13	могут быть	2	29
14	в его	1	27
15	слова в	1	26
16	все это	5	25
17	и на	2	22
18	в сущности	1	21
19	как в	3	21
20	не в	6	21
21	в то	2	20
22	прежде всего	4	19
23	с ним	1	18
24	как и	7	18
25	себя в	2	18
26	оно не	1	17
27	и даже	2	17
28	в основе	3	17
29	в истории	3	17
30	все эти	2	17
31	в большинстве	1	17
32	в них	4	16
33	отличие от	1	16
34	но в	2	16
35	в той	1	15
36	и с	2	15
37	только в	1	14
38	в отличие	1	14
39	это не	4	13
40	с другой	3	13
41	с его	6	13
42	и для	4	13
43	и к	5	12
44	еще не	3	12
45	во всяком	1	12
46	никогда не	6	12
47	и потому	4	12
48	а в	2	12
49	в этих	1	11
50	большинстве случаев	1	11
51	с одной	2	11
52	одной стороны	2	11
53	и их	1	10
54	и все	4	10
55	уже не	2	10
56	все они	2	10
57	лишь в	6	10
58	в своем	1	10
59	в том	8	10
60	с другими	1	10
61	она не	3	10
62	в себе	2	10
63	в своей	3	9
64	конечно не	3	9
65	сказать что	3	9
66	так как	1	9
67	одна из	2	9
68	в смысле	2	9
69	и мир	1	9
70	он не	8	9
71	и от	2	9
72	но не	2	9
73	с ее	5	9
74	к нему	1	9
75	в самом	1	8
76	не на	1	8
77	не могут	1	8
78	зависимости от	1	8
79	в значительной	1	8
80	все время	2	8
81	с этим	2	8
82	в зависимости	1	8
83	человека в	1	8
84	всяком случае	1	8
85	человека и	3	8
86	в ней	5	8
87	во всем	1	7
88	же и	1	7
89	но все	1	7
90	том что	2	7
91	значительной степени	1	7
92	друг друга	1	7
93	того же	1	7
94	по преимуществу	1	7
95	у него	2	7
96	не было	4	7
97	мы уже	1	7
98	за пределы	3	7
99	жизни и	8	7
100	что в	9	6
101	ни в	6	6
102	другой стороны	2	6
103	по себе	1	6
104	роль в	2	6
105	себя и	1	6
106	можно сказать	1	6
107	в свою	1	6
108	говорить о	1	6
109	xix века	5	6
110	а также	1	6
111	мира и	2	6
112	хотя бы	2	6
113	в новое	3	6
114	он в	1	6
115	эпохи и	4	6
116	должна быть	3	5
117	они не	1	5
118	вместе с	2	5
119	не менее	4	5
120	о том	4	5
121	но оно	1	5
122	и более	1	5
123	слова все	1	5
124	мы не	2	5
125	для того	1	5
126	но он	1	5
127	уже в	1	5
128	на протяжении	2	5
129	хотя и	2	5
130	стремится к	3	5
131	с их	2	5
132	должен быть	5	5
133	эти формы	3	5
134	не знает	6	5
135	не с	1	5
136	оно может	1	5
137	для этого	2	5
138	до сих	1	4
139	по существу	2	4
140	всех сферах	3	4
141	не столько	1	4
142	в виду	1	4
143	для всех	1	4
144	что он	1	4
145	ли он	1	4
146	так же	2	4
147	к тому	3	4
148	в речах	1	4
149	того чтобы	2	4
150	все свои	1	4
151	от других	1	4
152	в чем	1	4
153	и формы	2	4
154	и во	1	4
155	новое время	4	4
156	он может	1	4
157	связано с	1	4
158	но это	6	4
159	из них	1	4
160	формы и	2	4
161	значение в	1	4
162	быть только	1	4
163	смысле в	1	4
164	а на	1	4
165	в которой	1	4
166	в атмосфере	1	4
167	же как	2	4
168	сих пор	1	4
169	всех своих	1	4
170	может иметь	1	4
171	характер и	1	4
172	эти слова	1	4
173	не были	1	4
174	вообще не	1	4
175	всех сторон	4	4
176	не всегда	1	4
177	все что	1	3
178	переходит в	1	3
179	смысле слова	3	3
180	от этой	1	3
181	или к	1	3
182	в более	1	3
183	в духе	3	3
184	тем что	1	3
185	жизни в	3	3
186	человеке и	1	3
187	мир и	2	3
188	от этого	1	3
189	и нет	1	3
190	со всех	4	3
191	было бы	1	3
192	силы и	2	3
193	связана с	2	3
194	как это	2	3
195	не должно	1	3
196	все слова	1	3
197	в этой	1	3
198	людей и	1	3
199	и до	1	3
200	формах и	1	3
201	в эту	1	3
202	движения и	1	3
203	выходит за	1	3
204	должно быть	4	3
205	такого рода	2	3
206	эпох и	1	3
207	xviii века	2	3
208	лишь на	1	3
209	не есть	3	3
210	того и	1	3
211	в новом	2	3
212	это было	3	3
213	и это	2	3
214	не был	1	3
215	на всех	1	3
216	в такой	1	3
217	потому что	4	3
218	из этих	1	3
219	на нем	1	3
220	но она	2	3
221	в нее	1	3
222	оно лишь	1	3
223	такой же	2	3
224	к новому	7	3
225	менее всего	1	3
226	нуждается в	1	3
227	ведь и	2	3
228	становится в	1	3
229	вступить в	1	2
230	он стремится	1	2
231	которая в	1	2
232	и вся	1	2
233	во власти	1	2
234	xix и	4	2
235	из всех	1	2
236	социальная жизнь	1	2
237	привело к	1	2
238	о формах	1	2
239	нашего времени	2	2
240	в последние	1	2
241	одному из	1	2
242	для них	1	2
243	том и	2	2
244	и которые	1	2
245	особого рода	1	2
246	вот что	1	2
247	и она	1	2
248	жизнь в	1	2
249	то время	1	2
250	в жизни	5	2
251	для сознания	1	2
252	возможности в	1	2
253	приводит к	1	2
254	в известном	1	2
255	ориентироваться в	1	2
256	по своему	4	2
257	и общества	2	2
258	перестает быть	4	2
259	это и	2	2
260	ни к	2	2
261	то что	4	2
262	в котором	1	2
263	отнести к	1	2
264	нас и	1	2
265	во все	1	2
266	но во	1	2
267	и т.п	2	2
268	когда она	1	2
269	значение для	1	2
270	вступает в	1	2
271	все категории	2	2
272	он есть	1	2
273	как например	1	2
274	например во	1	2
275	в прошлом	3	2
276	в средние	3	2
277	к ним	3	2
278	нет и	2	2
279	нем не	1	2
280	социальные и	1	2
281	и у	1	2
282	в основу	1	2
283	в образе	1	2
284	что все	2	2
285	есть только	1	2
286	во франции	1	2
287	в мировой	2	2
288	в ее	3	2
289	чтобы понять	1	2
290	на них	1	2
291	от всякого	2	2
292	известном смысле	1	2
293	ближе к	1	2
294	к себе	1	2
295	и правды	1	2
296	есть в	2	2
297	у нас	1	2
298	слова а	1	2
299	и есть	10	2
300	от всех	1	2
301	не для	1	2
302	этого не	1	2
303	что она	2	2
304	что не	1	2
305	время как	2	2
306	в области	1	2
307	нужно отнести	1	2
308	единству и	1	2
309	к единству	1	2
310	и оно	1	2
311	за его	1	2
312	ему не	1	2
313	к одному	1	2
314	стремиться к	2	2
315	как ни	1	2
316	средние века	7	2
317	он также	1	2
318	и что	2	2
319	нового времени	12	2
320	не могла	2	2
321	можно было	2	2
322	и жизни	1	2
323	сферах жизни	1	2
324	по своей	1	2
325	образ человека	1	2
326	значение и	1	2
327	к ней	1	2
328	явление в	1	2
329	и особенно	1	2
330	культуры и	7	2
331	и воля	1	2
332	не значит	3	2
333	них не	1	2
334	место в	2	2
335	героя но	1	2
336	и только	1	2
337	образа человека	1	2
338	и быстро	3	2
339	основе их	1	2
340	разложения и	1	2
341	не к	2	2
342	к подлинному	2	1
343	эпоху не	1	1
344	и вражды	1	1
345	общественным мнением	1	1
346	с кризисом	1	1
347	по-новому и	1	1
348	это привело	1	1
349	мир не	1	1
350	из сторон	1	1
351	по всем	1	1
352	в конце	1	1
353	протекающей в	1	1
354	она с	1	1
355	к этой	1	1
356	в судьбах	2	1
357	и имеет	1	1
358	для себя	1	1
359	и должно	2	1
360	с миром	1	1
361	жизни перед	1	1
362	групп и	1	1
363	на иной	1	1
364	не уходит	1	1
365	или нет	1	1
366	мысли и	2	1
367	истории в	5	1
368	если нет	2	1
369	событиях и	1	1
370	социальной жизни	1	1
371	уже нет	1	1
372	на заре	1	1
373	с собой	1	1
374	и такое	1	1
375	лежал в	1	1
376	вопрос об	1	1
377	часто не	1	1
378	и политические	1	1
379	на смену	1	1
380	действовать и	2	1
381	потребность в	1	1
382	сами по	1	1
383	xiv и	1	1
384	и еще	1	1
385	до этого	1	1
386	и этот	1	1
387	равно как	2	1
388	так называемый	1	1
389	о самом	1	1
390	мы говорим	2	1
391	людей в	1	1
392	и рождается	1	1
393	тему и	1	1
394	свои возможности	1	1
395	глубоком и	1	1
396	самая постановка	1	1
397	возможно лишь	1	1
398	воспринимаются как	1	1
399	и xv	1	1
400	отнесены к	1	1
401	и отдельных	1	1
402	только для	1	1
403	который не	1	1
404	от того	1	1
405	судьбах человеческого	1	1
406	была лишь	1	1
407	и русский	1	1
408	с большей	1	1
409	к своим	1	1
410	в это	1	1
411	нем нет	2	1
412	союзы и	1	1
413	обращение к	2	1
414	к той	1	1
415	лишь те	1	1
416	сознание должно	1	1
417	нет ничего	1	1
418	всего они	1	1
419	одного и	1	1
420	то он	1	1
421	замкнутой и	1	1
422	не существует	3	1
423	и было	2	1
424	стоят на	2	1
425	сам человек	1	1
426	что мы	1	1
427	и начала	2	1
428	россию и	1	1
429	и изнутри	1	1
430	не имеют	2	1
