N	3gram	Bakhtin_Fr	VrazhdaK
1	то же время	13	4
2	в то же	13	4
3	в связи с	5	3
4	в начале года	1	2
5	в том что	2	2
6	не может быть	2	2
7	но в то	7	2
8	в году и	1	2
9	как раз в	3	2
10	с точки зрения	4	2
11	все же в	2	1
12	и всего романа	1	1
13	войне и мире	1	1
14	и даже некоторые	1	1
15	узнает в нем	1	1
16	его отношения к	1	1
17	и все что	3	1
18	а также в	1	1
19	в свою очередь	2	1
20	и перед ними	1	1
21	в ту эпоху	8	1
22	в то время	1	1
23	в комментариях к	1	1
24	в конце концов	3	1
25	все в них	1	1
26	и во всей	2	1
27	о том как	1	1
28	в той же	5	1
29	что уже в	1	1
30	но это не	1	1
31	что в ней	1	1
32	прямое выражение в	1	1
33	и в то	2	1
34	что они не	1	1
35	он и не	1	1
36	заключается в том	1	1
37	что в нем	1	1
38	имеется в виду	1	1
39	и то что	1	1
40	о том что	3	1
41	в мировой литературе	3	1
42	к этому моменту	1	1
43	до сих пор	6	1
44	в высшей степени	1	1
45	ко всем чертям	1	1
46	раз в это	1	1
47	его отношение к	2	1
48	в году когда	1	1
49	в это время	1	1
50	на этот раз	1	1
51	в том же	3	1
52	с тех пор	1	1
53	во всяком случае	2	1
54	этим можно объяснить	1	1
55	и в самом	1	1
56	на первый план	1	1
57	с другой стороны	5	1
58	связи с этим	1	1
59	это и есть	2	1
60	между прочим и	1	1
61	тем что он	1	1
62	да и в	1	1
63	в этом отношении	4	1
64	все же не	1	1
65	и не может	1	1
66	и в этом	1	1
67	может быть и	2	1
