N	2gram	Potebnia_M	Russkaja
1	не может	30	22
2	и не	34	19
3	в этом	18	17
4	в том	38	17
5	и в	58	14
6	то что	24	13
7	таким образом	21	11
8	то же	13	11
9	точки зрения	8	11
10	но и	26	10
11	же время	4	10
12	в то	6	10
13	не только	32	9
14	с точки	4	9
15	том что	21	9
16	во всяком	9	9
17	может быть	47	9
18	в себе	22	9
19	прежде всего	8	8
20	того чтобы	4	8
21	как на	5	8
22	не будет	2	7
23	самом деле	2	7
24	стремление к	3	7
25	к тому	5	7
26	о том	6	7
27	самого себя	4	7
28	в данном	1	7
29	и если	6	7
30	мы должны	4	7
31	и с	3	7
32	для всех	6	6
33	если в	3	6
34	и при	6	6
35	для него	13	6
36	признать что	1	6
37	все это	3	6
38	на самом	2	6
39	в своих	4	6
40	если бы	23	6
41	и для	8	6
42	с тем	9	6
43	что он	5	6
44	для того	8	6
45	в своем	3	6
46	всяком случае	7	6
47	а потому	14	5
48	до сих	5	5
49	и на	8	5
50	только в	36	5
51	в своей	3	5
52	себя и	3	5
53	во всех	12	5
54	сих пор	5	5
55	и только	6	5
56	вопрос о	5	5
57	хотя бы	4	5
58	потому что	89	5
59	в нем	26	5
60	между тем	7	5
61	он не	4	5
62	а между	5	5
63	конечно не	1	5
64	а в	11	5
65	при этом	17	5
66	было бы	21	5
67	на то	5	5
68	он должен	2	5
69	никогда не	7	5
70	что в	34	4
71	во всем	5	4
72	бы то	2	4
73	и то	4	4
74	все что	5	4
75	так как	29	4
76	смотреть на	1	4
77	к этой	3	4
78	тогда когда	15	4
79	в его	7	4
80	при таких	3	4
81	не могут	10	4
82	его в	3	4
83	более или	6	4
84	отказаться от	1	4
85	не в	23	4
86	он будет	1	4
87	вместе с	12	4
88	как и	16	4
89	на земле	1	4
90	в мире	3	4
91	все же	11	4
92	приводит к	1	4
93	в их	3	4
94	со стороны	11	4
95	себе и	2	4
96	или менее	6	4
97	том случае	1	4
98	то ни	3	4
99	можно было	1	4
100	что же	3	4
101	от того	9	4
102	как бы	12	4
103	в этой	3	4
104	себя в	1	4
105	жизни и	3	4
106	но не	19	4
107	в самом	5	3
108	то в	6	3
109	что они	6	3
110	что оно	5	3
111	и этот	1	3
112	должно быть	9	3
113	несмотря на	5	3
114	что это	5	3
115	ни стало	1	3
116	для них	2	3
117	что и	16	3
118	что может	1	3
119	в виде	1	3
120	не было	7	3
121	связи с	6	3
122	или в	4	3
123	ни одна	2	3
124	во что	1	3
125	тем что	15	3
126	именно в	2	3
127	и как	11	3
128	вряд ли	2	3
129	может только	1	3
130	и т	10	3
131	да и	1	3
132	о которых	5	3
133	о котором	4	3
134	не есть	13	3
135	но если	4	3
136	в вопросах	1	3
137	но мы	3	3
138	еще не	9	3
139	все они	3	3
140	и потому	7	3
141	только к	1	3
142	то это	8	3
143	случае если	1	3
144	ко всем	4	3
145	одна из	4	3
146	на том	2	3
147	и ни	1	3
148	в другом	3	3
149	знаем что	1	3
150	что бы	2	3
151	в большинстве	1	3
152	точке зрения	4	3
153	лишь в	2	3
154	она может	3	3
155	что для	5	3
156	главным образом	4	3
157	и во	6	3
158	при котором	3	3
159	с нею	6	3
160	что все	4	3
161	в сознании	8	3
162	из этого	2	3
163	и по	8	3
164	а следовательно	1	3
165	друг друга	6	3
166	из этих	8	3
167	для этого	2	3
168	всех этих	2	3
169	таким же	3	3
170	из них	2	3
171	того что	15	3
172	были бы	4	2
173	представить себе	3	2
174	не так	6	2
175	от него	8	2
176	что с	3	2
177	это потому	1	2
178	на такую	1	2
179	что такое	3	2
180	зависит от	6	2
181	или нескольких	1	2
182	должна быть	4	2
183	к себе	1	2
184	сама по	4	2
185	для себя	4	2
186	и должно	2	2
187	проявляется в	2	2
