N	3gram	Losev_Vesc	EvropaiC
1	в том что	9	16
2	до сих пор	1	15
3	друг с другом	2	9
4	с точки зрения	6	8
5	более или менее	4	8
6	на то что	7	7
7	для того чтобы	2	7
8	а и в	9	7
9	по сравнению с	7	5
10	в самом деле	7	5
11	так или иначе	5	5
12	не может быть	22	4
13	о том что	4	4
14	тем не менее	11	4
15	с другой стороны	3	4
16	в конце концов	2	4
17	в этом случае	1	4
18	то ясно что	2	4
19	может быть и	1	4
20	вместе с тем	3	3
21	заключается в том	3	3
22	не в состоянии	1	3
23	которых идет речь	1	3
24	все же не	3	3
25	одного и того	1	3
26	о которых идет	1	3
27	так же как	2	3
28	то ни было	12	3
29	в данном случае	2	3
30	и то что	5	3
31	и того же	1	3
32	не может не	3	3
33	в связи с	1	3
34	бы то ни	12	3
35	мы все же	1	2
36	в свою очередь	5	2
37	во всяком случае	2	2
38	и может быть	1	2
39	а следовательно и	2	2
40	в то время	4	2
41	в то же	5	2
42	именно потому что	1	2
43	том что он	2	2
44	мы сказали что	1	2
45	то что у	2	2
46	они должны быть	1	2
47	но все же	2	2
48	только то что	3	2
49	с одной стороны	3	2
50	то же время	4	2
51	но так как	1	2
52	он все же	1	2
53	при таких условиях	1	2
54	что несмотря на	1	2
55	мы видели что	3	1
56	уже сказали что	1	1
57	а в с	1	1
58	то что составляет	1	1
59	в одинаковой мере	1	1
60	в научной литературе	1	1
61	которые совершенно не	1	1
62	и у нас	1	1
63	все то что	2	1
64	все дело заключается	1	1
65	такое положение дела	1	1
66	что это есть	3	1
67	на вере в	1	1
68	ни то ни	1	1
69	мы находим в	2	1
70	мы видим что	2	1
71	все что мы	1	1
72	та или иная	1	1
73	как мы знаем	1	1
74	из двух или	1	1
75	по крайней мере	10	1
76	в данный момент	1	1
77	не есть нечто	1	1
78	того что именно	2	1
79	что указывало бы	1	1
80	если она не	2	1
81	и тому же	1	1
82	быть потому что	1	1
83	и более или	1	1
84	и ничем не	2	1
85	в одно целое	1	1
86	есть как бы	3	1
87	из них в	1	1
88	не есть ли	3	1
89	таким образом получается	1	1
90	этой точки зрения	3	1
91	между собой а	1	1
92	в себе и	1	1
93	если мы возьмем	3	1
94	с этой точки	3	1
95	зрения в истории	1	1
96	еще не вполне	1	1
97	связанных друг с	1	1
98	это может быть	1	1
99	для этого нужно	2	1
100	и в нем	1	1
101	есть ли это	1	1
102	только в том	1	1
103	и что все	1	1
104	то что для	1	1
105	не в том	1	1
106	свидетельствует о том	3	1
107	в этом и	2	1
108	в каком-нибудь отношении	2	1
109	независимо от того	1	1
110	с другом они	1	1
111	что у него	1	1
112	не будет уже	1	1
113	указывало бы на	1	1
114	в себе никаких	1	1
115	указание на то	1	1
116	то из этого	1	1
117	и в конце	1	1
118	и в в	2	1
119	может не быть	1	1
120	я не могу	1	1
121	каких бы то	1	1
122	того что в	1	1
123	дело в том	4	1
124	так что и	1	1
125	смысле этого слова	1	1
126	нет а есть	1	1
127	одно и то	5	1
128	то в ней	1	1
129	очень много и	1	1
130	и в целом	1	1
131	в зависимости от	1	1
132	говорили выше что	1	1
133	мы не знаем	1	1
134	можно было бы	3	1
135	ни тем более	2	1
136	и таким образом	2	1
137	то ни другое	1	1
138	как бы ни	2	1
139	в том или	2	1
140	всех своих частей	1	1
141	одному и тому	1	1
142	в своем уме	1	1
143	а потому что	1	1
144	что они не	1	1
145	так что в	3	1
146	а затем и	2	1
147	а в том	1	1
148	они вовсе не	1	1
149	и то же	5	1
150	стоит в связи	1	1
151	не только не	4	1
152	и тут уже	1	1
153	мы будем понимать	1	1
154	хотя бы в	2	1
155	одно из двух	1	1
156	самого себя и	1	1
157	также и то	1	1
158	в каждый момент	1	1
159	тем что она	1	1
160	то обстоятельство что	1	1
161	ясно что и	1	1
162	а не в	2	1
163	то же самое	1	1
164	психологической точки зрения	1	1
165	и все же	1	1
166	а так как	2	1
167	с тех пор	1	1
168	к тому что	2	1
169	время как другие	1	1
170	несмотря на все	1	1
171	вместо того чтобы	1	1
172	с большим трудом	1	1
173	то что мы	3	1
174	это потому что	1	1
175	о них мы	1	1
176	из того что	3	1
177	между нею и	3	1
178	никак не может	1	1
179	таким образом и	1	1
180	является одним из	1	1
181	только тогда когда	2	1
182	то время как	4	1
183	для тех кто	1	1
184	тот или иной	1	1
185	по тем же	1	1
186	и не может	1	1
187	мы уже сказали	1	1
188	это было бы	1	1
189	своих частей и	1	1
