N	3gram	Berdyaev_O	formyVre
1	друг с другом	1	13
2	для того чтобы	3	12
3	но и в	2	12
4	в этом мире	2	10
5	и прежде всего	1	8
6	не может быть	2	7
7	в этом отношении	1	7
8	прежде всего в	1	7
9	и в этом	2	6
10	в том что	1	5
11	как и в	1	5
12	в нем нет	3	4
13	во всяком случае	1	4
14	бы он ни	1	3
15	о том как	1	3
16	человека в его	2	3
17	по сравнению с	1	3
18	он ни был	1	3
19	в самой жизни	1	3
20	между этими двумя	1	3
21	а не в	2	3
22	в эпоху возрождения	1	3
23	нем нет ничего	1	3
24	в этих романах	1	3
25	в другом месте	1	3
26	о том что	1	3
27	друг к другу	1	3
28	каждом из них	1	2
29	ни с чем	1	2
30	в строгом смысле	1	2
31	по природе своей	1	2
32	а вовсе не	1	2
33	не было и	1	2
34	и в самом	1	2
35	бросается в глаза	1	2
36	как и все	2	2
37	все что есть	1	2
38	с тем что	2	2
39	в нем все	1	2
40	необходимо подчеркнуть еще	1	1
41	он никогда не	1	1
42	в самом начале	1	1
43	в которой нет	1	1
44	в противоречии с	1	1
45	него всегда есть	1	1
46	том что в	1	1
47	этого мира в	1	1
48	противоречии с его	1	1
49	подчеркнуть еще одну	1	1
50	в совершенно ином	1	1
51	в самом деле	1	1
52	находится в противоречии	1	1
53	больше всего в	1	1
54	месте и в	1	1
55	вместо того чтобы	1	1
56	есть одно из	1	1
57	и все же	1	1
58	и никогда не	2	1
59	преступление и наказание	1	1
60	и вопрос о	1	1
61	и в его	1	1
62	никогда не было	2	1
63	и его судьбу	1	1
64	и в том	1	1
65	и не может	1	1
66	в одном месте	1	1
67	достоевского преступление и	1	1
68	человеческой и природной	1	1
69	как бы в	1	1
70	то что в	1	1
71	о бессмертии души	1	1
72	и его судьбе	1	1
73	но к этому	1	1
74	судьбы человека в	1	1
75	характере и в	1	1
76	хотя и не	1	1
77	и в самой	2	1
78	одно из самых	1	1
79	смысле этого слова	1	1
80	эпоху возрождения но	1	1
81	а в частности	1	1
82	этом мире это	1	1
83	человек а не	1	1
84	не могут быть	2	1
85	не имеет ни	1	1
86	все это было	1	1
87	кто бы он	1	1
88	его характер и	1	1
