N	2gram	Nazirov_Tr	EvropaiC
1	таким образом	1	34
2	в том	2	31
3	и в	18	24
4	том что	4	20
5	все эти	3	19
6	то что	4	18
7	не может	5	18
8	может быть	7	17
9	все же	5	15
10	в этом	9	13
11	все это	4	13
12	самом деле	1	12
13	между тем	1	12
14	в своем	3	12
15	но и	4	11
16	не только	8	10
17	так и	5	10
18	как и	5	10
19	во всех	1	10
20	из себя	1	10
21	как бы	7	10
22	что в	4	9
23	при этом	3	9
24	в результате	1	9
25	не в	2	9
26	и все	4	9
27	и не	7	9
28	потому что	2	9
29	и что	4	9
30	в самом	2	8
31	чем у	1	8
32	к тому	2	8
33	того чтобы	1	8
34	а между	1	8
35	так же	4	8
36	что при	1	7
37	того что	1	7
38	что и	2	7
39	что он	6	7
40	не менее	1	7
41	о том	2	7
42	вместе с	1	7
43	по своей	1	7
44	в этой	4	7
45	и на	7	6
46	несмотря на	5	6
47	с ним	3	6
48	что с	3	6
49	только в	1	6
50	в мире	3	6
51	еще не	4	6
52	и если	1	6
53	должна быть	1	6
54	так что	2	6
55	и при	1	6
56	тогда как	1	6
57	в общем	1	6
58	в то	5	6
59	ничем не	2	5
60	должно быть	3	5
61	в его	3	5
62	что это	5	5
63	у него	6	5
64	его в	2	5
65	в которой	1	5
66	но все	2	5
67	и с	7	5
68	именно в	1	5
69	на все	1	5
70	по сравнению	1	5
71	сравнению с	1	5
72	и их	1	5
73	лишь в	1	5
74	в себе	4	5
75	и от	1	5
76	что все	2	5
77	столь же	2	5
78	как будто	3	5
79	в целом	4	5
80	но в	6	5
81	не так	2	4
82	и то	2	4
83	социальной жизни	1	4
84	на вопрос	1	4
85	этом случае	1	4
86	тем не	1	4
87	совершенно не	1	4
88	в виде	2	4
89	связи с	1	4
90	одним из	1	4
91	в конце	3	4
92	в таком	2	4
93	с тем	2	4
94	состоит из	2	4
95	не есть	1	4
96	не могут	2	4
97	между собой	1	4
98	хотя бы	1	4
99	в дальнейшем	5	4
100	в такой	1	4
101	что эта	1	4
102	факт что	1	4
103	всегда будет	1	4
104	и т.д	1	4
105	отношение к	2	4
106	в области	1	4
107	он не	2	4
108	конце концов	1	4
109	то же	5	4
110	никогда не	2	4
111	во всем	1	3
112	от него	1	3
113	что оно	1	3
114	данном случае	2	3
115	только что	1	3
116	и по	1	3
117	с одной	1	3
118	как у	2	3
119	для нас	1	3
120	прежде всего	4	3
121	одно из	1	3
122	же не	1	3
123	что противоречит	1	3
124	ко всем	1	3
125	в нем	4	3
126	заключается в	1	3
127	представление о	1	3
128	в связи	1	3
129	на земле	1	3
130	в истории	1	3
131	эти мысли	1	3
132	и это	2	3
133	гораздо больше	1	3
134	жизнь и	3	3
135	и потому	1	3
136	в данном	2	3
137	отличие от	2	3
138	вопрос о	2	3
139	в ней	1	3
140	с этой	1	3
141	это не	5	3
142	тем самым	3	3
143	и до	2	3
144	не вполне	1	3
145	как мы	1	3
146	даже если	2	3
147	но не	1	3
148	является ли	1	3
149	бы в	1	3
150	и наконец	1	3
151	все в	1	2
152	что за	3	2
153	от нее	1	2
154	только не	1	2
155	что эти	2	2
156	смотреть на	1	2
157	то есть	3	2
158	то в	1	2
159	он считает	1	2
160	для него	3	2
161	а это	1	2
162	а затем	1	2
163	то и	2	2
164	но как	1	2
165	в виду	1	2
166	этими двумя	2	2
167	не было	1	2
168	и сам	3	2
169	на нее	1	2
170	сходство с	1	2
171	если он	1	2
172	между этими	2	2
173	тому что	1	2
174	эти черты	1	2
175	я не	4	2
176	с ними	1	2
177	есть в	1	2
178	при таком	1	2
179	никто не	3	2
180	не имеет	2	2
181	высшей степени	1	2
182	со своей	1	2
183	нет в	2	2
184	у в	1	2
185	в них	1	2
186	во всяком	1	2
187	ко всему	1	2
188	а к	1	2
189	в котором	1	2
190	на этом	1	2
191	она не	1	2
192	всяком случае	1	2
193	к нему	3	2
194	ту же	1	2
195	одну из	1	2
196	в другом	1	2
197	только один	1	2
198	конечно в	1	2
199	же время	6	2
200	это может	1	2
201	я в	1	2
202	к ним	1	2
203	что под	1	2
204	со своими	1	2
205	той же	1	2
206	для самого	1	2
207	в высшей	1	2
208	в глазах	2	2
209	что она	2	2
210	в частности	2	2
211	одна из	2	2
212	этого слова	1	2
213	но если	1	2
214	и его	6	2
215	отнюдь не	3	2
216	с ее	3	2
217	в самой	1	2
218	и особенно	1	2
219	и ее	2	2
220	что на	1	2
221	друг друга	2	2
222	к сожалению	1	1
223	всегда будут	1	1
224	теперь я	1	1
225	на деле	1	1
226	мы видим	1	1
227	он есть	1	1
228	один из	3	1
229	свидетельствует о	1	1
230	того как	1	1
231	столкновение с	1	1
232	уже в	3	1
233	но еще	1	1
234	с такой	1	1
235	что я	4	1
236	тогда и	1	1
237	то для	1	1
238	естественно что	1	1
239	в своей	1	1
240	он и	2	1
241	в ее	2	1
242	по мнению	2	1
243	не вызывает	1	1
244	сравняться с	1	1
245	сам автор	1	1
246	жалкую и	1	1
247	в человеке	1	1
248	одному из	1	1
249	своею и	1	1
250	из своих	2	1
251	отказывается от	2	1
252	ведь с	1	1
253	смысле этого	1	1
254	как нечто	1	1
255	быть может	1	1
256	к жизни	5	1
257	с другим	1	1
258	в центре	1	1
259	а на	1	1
260	распространяется на	1	1
261	же являются	1	1
262	как же	2	1
263	и притом	1	1
264	борьбу с	1	1
265	в борьбе	1	1
266	в духе	1	1
267	это должно	1	1
268	этого господина	1	1
269	здесь мы	1	1
270	в первом	2	1
271	исходит от	1	1
272	этого не	1	1
273	с такими	1	1
274	начала в	1	1
275	мысль о	1	1
276	себя а	1	1
277	на себя	1	1
278	и эта	1	1
279	развития в	1	1
280	тем что	2	1
281	я и	1	1
282	например в	1	1
283	бы может	1	1
284	слов как	1	1
285	лишь на	1	1
286	и как	3	1
287	но он	1	1
288	виде в	1	1
289	под тяжелым	1	1
290	рядом с	1	1
291	такова сила	1	1
292	жизни ее	1	1
293	как в	3	1
294	всю эту	1	1
295	стремление к	1	1
296	жизни в	1	1
297	друга и	1	1
298	и я	2	1
299	бы не	1	1
300	на всем	2	1
301	с чертами	1	1
302	именно эта	1	1
303	веру в	2	1
304	это было	1	1
305	роль в	1	1
306	знает что	2	1
307	всего предшествующего	1	1
308	и способствует	1	1
309	но мы	1	1
310	смысл этого	1	1
311	уже не	2	1
312	перед нами	2	1
313	на всю	1	1
314	он творит	1	1
315	к одному	1	1
316	перестает быть	1	1
317	это и	1	1
318	присмотреться к	1	1
319	необходимое условие	1	1
320	впечатление что	2	1
321	никакой роли	1	1
322	высших классов	1	1
323	не является	1	1
324	только к	2	1
325	за то	1	1
326	же я	1	1
327	с самого	1	1
328	совершенно в	1	1
329	что этот	2	1
330	всегда с	1	1
331	и которую	1	1
332	она должна	2	1
333	на свои	1	1
334	ли это	1	1
335	роли в	1	1
336	и даже	4	1
337	и ко	1	1
338	силы и	1	1
339	наивность этого	1	1
340	для ее	1	1
341	но при	2	1
342	эти слова	1	1
343	и вот	1	1
344	x так	1	1
345	на котором	1	1
346	на вид	1	1
347	от самого	1	1
348	а из	1	1
349	вместо того	1	1
350	не быть	1	1
351	однако ни	1	1
352	вызывает в	1	1
353	обстоит дело	1	1
354	вполне ясно	1	1
355	это по	1	1
356	в развитии	1	1
357	идет в	1	1
358	если так	1	1
359	которой он	1	1
360	об отношении	1	1
361	а за	1	1
362	только на	1	1
363	точно так	2	1
364	не могла	1	1
365	связь между	1	1
366	это была	1	1
367	тем и	1	1
368	себя на	1	1
369	за себя	1	1
370	и хотя	1	1
371	действительности от	1	1
372	что ее	1	1
373	можно было	1	1
374	что когда	1	1
375	борьбе за	1	1
376	говорили что	1	1
377	я буду	2	1
378	самого начала	1	1
379	в настоящей	1	1
380	не случайно	2	1
381	на новую	1	1
382	всего что	1	1
383	но этот	1	1
384	над собою	1	1
385	того кто	1	1
386	может ли	1	1
387	слова были	1	1
388	и еще	1	1
389	быть не	1	1
390	он в	1	1
391	к ней	1	1
392	психику этого	1	1
393	ее не	1	1
394	ко всей	1	1
395	наряду с	1	1
396	могут быть	1	1
397	мы бы	1	1
398	самой природе	1	1
399	всяких прикрас	1	1
400	только по	1	1
401	быть в	1	1
402	до конца	2	1
403	во времена	1	1
404	может случиться	1	1
405	в голову	1	1
406	причем в	1	1
407	его культуры	1	1
408	исходит из	1	1
409	из трех	1	1
410	что без	1	1
411	силой что	1	1
412	что именно	1	1
413	из самых	2	1
414	с его	2	1
415	он сам	7	1
416	а как	2	1
417	не мог	2	1
418	грубость и	1	1
419	а не	1	1
420	самую суть	1	1
421	некоторые черты	1	1
422	ничего не	2	1
423	лицом во	1	1
424	на них	1	1
425	не к	1	1
426	судя по	1	1
