N	4gram	Ircho_Kome	Vvedenie
1	в то же время	5	6
2	не что иное как	1	5
3	состоит в том что	1	2
4	с этой точки зрения	1	2
5	в до н э	1	2
6	как мы уже знаем	1	2
7	и т д все	1	2
8	точки зрения должен был	1	1
9	и за ее пределами	1	1
10	из дошедших до нас	1	1
11	до н э и	1	1
12	по меньшей мере две	1	1
13	этой точки зрения должен	1	1
14	в том что он	4	1
15	в соответствии с этим	1	1
16	вв до н э	1	1
17	представление о том что	1	1
18	в связи с этим	1	1
19	с этой целью он	1	1
20	бы то ни было	4	1
21	во-вторых и это особенно	1	1
22	случаях имеется в виду	1	1
23	но все же это	1	1
24	сомневаться в том что	2	1
25	и в конце концов	1	1
26	как это было у	1	1
27	в том что в	1	1
28	и это особенно важно	1	1
29	не говоря уже о	4	1
30	мы имеем дело с	1	1
31	именно потому что они	1	1
32	к концу iv в	1	1
