N	2gram	Medvedev_S	VeschiIm
1	и не	1	57
2	не только	3	48
3	то что	2	48
4	не может	1	46
5	и в	3	45
6	и есть	1	40
7	может быть	2	39
8	это значит	1	30
9	было бы	2	24
10	только в	2	23
11	по себе	1	23
12	что она	1	23
13	в смысле	2	22
14	и что	2	22
15	как бы	2	20
16	что это	1	19
17	но и	2	19
18	в этом	5	18
19	все же	1	18
20	прежде всего	1	17
21	таким образом	2	16
22	как и	1	15
23	в том	5	15
24	не в	3	14
25	том что	2	13
26	это и	2	13
27	что в	2	12
28	то же	2	12
29	о том	1	12
30	еще не	2	12
31	ничего не	1	12
32	между собою	1	12
33	и как	1	12
34	еще и	1	11
35	вовсе не	1	11
36	в то	1	11
37	и только	3	11
38	по крайней	1	10
39	в чем	1	10
40	крайней мере	1	10
41	я и	1	9
42	с ним	1	9
43	в результате	2	9
44	хотя бы	1	9
45	это не	1	9
46	бы в	1	9
47	но не	1	9
48	и его	1	9
49	должна быть	2	8
50	что он	1	8
51	мы не	1	8
52	все это	7	8
53	его в	1	8
54	и потому	1	8
55	даже не	1	8
56	с другой	1	8
57	отнюдь не	1	8
58	в сущности	1	7
59	все эти	1	7
60	тем что	1	7
61	ни на	1	7
62	никак не	1	7
63	или не	1	7
64	сама по	1	7
65	а в	1	7
66	в своей	1	6
67	в данном	1	6
68	из себя	1	6
69	как только	2	6
70	как же	3	6
71	между ними	1	6
72	когда мы	1	6
73	никогда не	1	6
74	больше того	1	6
75	даже больше	1	6
76	один из	1	5
77	быть не	1	5
78	и мы	2	5
79	в его	3	5
80	мы должны	1	5
81	же это	1	5
82	для этого	1	5
83	не мешает	1	4
84	том как	1	4
85	во всяком	1	4
86	и более	1	4
87	в котором	1	4
88	только тогда	1	4
89	же время	1	4
90	точке зрения	1	4
91	она может	2	4
92	что все	1	4
93	может не	1	4
94	так и	1	4
95	же не	1	4
96	в конце	2	4
97	не было	1	4
98	она должна	1	4
99	дело не	2	4
100	в силу	1	4
101	но только	1	4
102	только то	1	4
103	в этой	1	4
104	и о	1	4
105	главным образом	2	4
106	а вот	1	3
107	по самому	1	3
108	перед нами	1	3
109	одной стороны	1	3
110	но именно	1	3
111	с одной	1	3
112	у него	1	3
113	без этого	1	3
114	в виде	1	3
115	по существу	2	3
116	тем более	2	3
117	но как	1	3
118	а с	1	3
119	в частности	2	3
120	нужно было	2	3
121	но она	1	3
122	кто не	1	3
123	стало быть	1	3
124	а тем	1	3
125	в целом	1	3
126	тех кто	1	2
127	тому что	1	2
128	в связи	1	2
129	все то	1	2
130	по природе	2	2
131	именно в	1	2
132	же теперь	1	2
133	только как	2	2
134	конечно не	1	2
135	между собой	1	2
136	тем же	1	2
137	всяком случае	1	2
138	не из	1	2
139	мы еще	1	2
140	ними в	1	2
141	зависит от	1	2
142	для нас	3	2
143	связи с	1	2
144	же по	1	2
145	очевидно что	2	2
146	но ведь	3	2
147	на все	1	2
148	метод и	2	2
149	что эти	1	2
150	он говорит	1	2
151	и понимает	1	2
152	далеко не	2	2
153	это вовсе	1	2
154	это дает	1	2
155	как будто	2	2
156	конце концов	2	2
157	сущности есть	1	2
158	что на	1	2
159	более не	1	1
160	нет а	1	1
161	и стало	1	1
162	этих вопросов	1	1
163	вопросом о	1	1
164	построение не	1	1
165	специфическую природу	1	1
166	ровно ничего	1	1
167	и должно	1	1
168	даже в	1	1
169	поставить и	1	1
170	или нет	1	1
171	что метод	1	1
172	исторического развития	2	1
173	в них	1	1
174	мы понимаем	1	1
175	только когда	1	1
176	его собственная	1	1
177	происходит не	1	1
178	и им	1	1
179	и будет	1	1
180	раньше всего	1	1
181	без необходимости	1	1
182	именно и	1	1
183	случае только	1	1
184	научного исследования	1	1
185	на точке	1	1
186	в те	1	1
187	на первый	1	1
188	как то	1	1
189	бы о	1	1
190	литературы и	2	1
191	мы переходим	1	1
192	и история	1	1
193	оставаясь на	1	1
194	и заключается	2	1
195	наконец в	1	1
196	как науки	1	1
197	реализма и	1	1
198	именно на	1	1
199	но сам	1	1
200	связь между	1	1
201	существу своему	1	1
202	влияет на	1	1
203	на ней	1	1
204	к которому	2	1
205	эти вопросы	1	1
206	на этот	1	1
207	его слишком	1	1
208	иначе и	1	1
209	этот основной	1	1
210	в заключение	1	1
211	представить себе	1	1
212	новые и	1	1
213	не выходит	1	1
214	они не	1	1
215	невозможно ни	1	1
216	на что	1	1
217	тогда и	1	1
218	объекта и	1	1
219	переходим к	1	1
220	в этих	1	1
221	ли не	1	1
222	должно было	1	1
223	полагает что	1	1
224	метафизический дуализм	1	1
225	и по	1	1
226	сказать и	1	1
227	естествознания и	1	1
228	первый план	1	1
229	он ни	1	1
230	себя по	1	1
231	в наше	1	1
232	не дает	1	1
233	не один	1	1
234	это по	1	1
235	это наиболее	1	1
236	и какие	1	1
237	всего не	1	1
238	же самое	1	1
239	ведь это	2	1
240	него и	1	1
241	со своими	1	1
242	бы он	1	1
243	на отдельные	1	1
244	стоит только	1	1
245	как совокупность	1	1
246	в него	1	1
247	будет а	1	1
248	им не	2	1
249	и наконец	1	1
