N	4gram	Tiupa_Teor	Myslijsy
1	в то же время	8	13
2	одного и того же	4	9
3	одно и то же	2	7
4	не что иное как	1	4
5	дело в том что	1	4
6	одним и тем же	1	4
7	в том что он	2	3
8	в одном и том	1	3
9	заключается в том что	1	3
10	с этой точки зрения	2	3
11	с одной стороны и	1	3
12	одном и том же	1	3
13	а между тем в	1	3
14	состоит в том что	5	2
15	в том случае если	1	2
16	по себе еще не	1	2
17	но дело в том	1	2
18	бы они ни были	1	2
19	бы то ни было	2	2
20	и по отношению к	1	2
21	той мере в какой	1	1
22	в той мере в	1	1
23	в более или менее	1	1
24	языка не может быть	1	1
25	следует иметь в виду	1	1
26	как более или менее	1	1
27	во всех подобных случаях	2	1
28	в том что она	1	1
29	еще и потому что	1	1
30	мы имеем дело не	1	1
31	в их отношении к	1	1
32	и в самом деле	2	1
33	на вопрос что такое	1	1
34	смысле можно говорить о	1	1
35	могли быть устранены из	1	1
36	себе отчет в том	1	1
37	ни прибавить ни убавить	1	1
38	иметь в виду что	1	1
39	в том числе и	2	1
40	случае мы имеем дело	1	1
41	том и состоит чтобы	1	1
42	даже в том случае	1	1
43	тем не менее не	1	1
44	по отношению к нему	1	1
45	из уст в уста	1	1
46	молчи скрывайся и таи	1	1
47	не могли быть устранены	1	1
48	в том и состоит	1	1
49	мы имеем дело с	1	1
50	точно так же как	1	1
51	есть не что иное	1	1
