N	3gram	Losev_Vlad	Tragedij
1	то же время	7	5
2	в то же	7	5
3	так и в	1	3
4	в том что	13	2
5	с первого же	2	2
6	и как бы	1	2
7	и в частности	3	2
8	но в то	2	2
9	о чем он	1	2
10	в году в	3	2
11	точно так же	2	2
12	и в дальнейшем	1	2
13	о том что	9	2
14	но все же	1	2
15	времени в году	1	2
16	сам по себе	1	1
17	и если б	1	1
18	всем xix веке	1	1
19	сам говорит что	1	1
20	у него есть	1	1
21	он и в	1	1
22	том что он	4	1
23	что он не	3	1
24	и любви ко	1	1
25	за то что	2	1
26	к величайшему моему	1	1
27	xix веке в	1	1
28	смысле этого слова	1	1
29	в конце концов	6	1
30	своего отца и	1	1
31	к м м	3	1
32	за что не	1	1
33	никогда не был	1	1
34	мысль о том	1	1
35	с тем и	1	1
36	как это часто	1	1
37	в той же	1	1
38	и вместе с	1	1
39	то что он	6	1
40	а это было	1	1
41	не может быть	4	1
42	еще в году	2	1
43	в году и	2	1
44	в известной степени	1	1
45	и все ей	1	1
46	и в быту	1	1
47	в этом случае	1	1
48	же время с	1	1
49	и потому как	1	1
50	во всем его	1	1
51	это было в	1	1
52	и то что	7	1
53	не только не	1	1
54	с начала и	2	1
55	свои длинные и	1	1
56	что я не	1	1
57	в высшей степени	1	1
58	он сам говорит	2	1
59	в связи с	7	1
60	и все же	2	1
61	в самом деле	1	1
62	чем он сам	1	1
63	во всяком случае	8	1
64	в этой борьбе	1	1
65	к тому что	1	1
66	в блеске и	1	1
67	тем не менее	8	1
68	судя по письмам	1	1
69	и до конца	2	1
70	по поводу своей	1	1
71	несмотря на все	1	1
72	первого же появления	1	1
73	не выдержал своего	1	1
74	по мнению н	1	1
75	это и есть	1	1
76	начала и до	2	1
77	в году по	1	1
78	по вопросу об	1	1
79	после того как	2	1
80	но у него	1	1
81	и не может	1	1
82	и в этом	1	1
83	ни за что	1	1
