N	2gram	Bakhtin_Pr	Problemy
1	и в	38	106
2	и не	42	90
3	как бы	22	70
4	может быть	26	66
5	в его	43	56
6	в этом	15	52
7	в нем	15	51
8	не может	27	49
9	из подполья	1	48
10	как и	7	44
11	что он	2	44
12	точки зрения	8	40
13	но и	9	40
14	для него	1	39
15	и его	16	39
16	а не	5	38
17	то же	5	36
18	не только	9	36
19	в пределах	6	35
20	то что	8	33
21	но в	4	33
22	прежде всего	13	32
23	он не	3	29
24	в то	4	29
25	все это	3	29
26	и все	3	28
27	в одном	1	27
28	не в	7	27
29	к другому	1	27
30	к себе	2	26
31	же время	3	26
32	в самом	7	25
33	и с	17	25
34	к нему	10	25
35	с точки	6	25
36	и т	14	25
37	себе самому	1	25
38	с самим	2	24
39	не как	1	24
40	вовсе не	2	24
41	самом деле	6	24
42	рядом с	5	23
43	и на	3	23
44	слова и	3	23
45	по себе	1	22
46	в каждом	2	22
47	таким образом	10	22
48	там где	6	21
49	как мы	7	21
50	все же	6	20
51	никогда не	5	20
52	только в	13	20
53	что в	7	19
54	с его	2	19
55	отношению к	19	19
56	слова в	7	19
57	уже не	1	18
58	по отношению	21	18
59	т п	13	18
60	в себе	4	18
61	еще не	7	18
62	на самом	4	18
63	но не	12	18
64	все эти	5	18
65	и к	3	17
66	самим собою	2	17
67	с ним	5	17
68	а в	6	17
69	в том	8	17
70	это не	5	17
71	так и	5	17
72	человека из	1	17
73	так же	1	16
74	если бы	3	16
75	в своей	7	16
76	этом смысле	3	16
77	в другом	2	16
78	о мире	1	15
79	до конца	1	15
80	и для	11	15
81	и наконец	6	15
82	в своем	5	14
83	а как	3	14
84	себя самого	4	14
85	я не	2	14
86	с другим	1	14
87	лишь в	2	14
88	на него	3	13
89	точка зрения	3	13
90	с другими	3	13
91	его в	9	13
92	большинстве случаев	5	13
93	в мире	3	13
94	и это	3	13
95	в романе	4	13
96	себя и	3	13
97	творчестве достоевского	1	13
98	в большинстве	5	13
99	в целом	3	13
100	при этом	5	12
101	отношении к	1	12
102	и как	8	12
103	и даже	3	12
104	к тому	1	12
105	в котором	2	12
106	что и	2	12
107	не знает	3	12
108	себе и	1	12
109	и что	2	12
110	за пределы	12	12
111	было бы	8	12
112	между тем	7	12
113	как в	4	12
114	том что	3	12
115	но это	3	12
116	ничего не	6	12
117	слово в	2	12
118	в плане	7	12
119	тем что	2	11
120	входит в	8	11
121	с другой	7	11
122	должно быть	5	11
123	слово и	2	11
124	бы в	1	11
125	мы уже	1	11
126	в форме	4	11
127	не могут	2	11
128	дело идет	2	11
129	бы и	1	11
130	так чтобы	1	11
131	этого слова	1	11
132	своему предмету	1	11
133	она не	2	11
134	или как	3	11
135	более того	4	11
136	в произведении	4	10
137	что не	4	10
138	сих пор	1	10
139	свой предмет	1	10
140	в него	2	10
141	до сих	1	10
142	в слове	3	10
143	приводит к	3	10
144	в творчестве	1	10
145	в самой	2	10
146	к одному	1	10
147	слова с	2	10
148	далеко не	5	10
149	как не	1	10
150	лишь как	4	10
151	отношение к	10	10
152	в той	1	9
153	зрения на	1	9
154	другой стороны	4	9
155	в них	5	9
156	хотя бы	4	9
157	что у	1	9
158	ивана карамазова	2	9
159	хотя и	3	9
160	но он	1	9
161	точек зрения	1	9
162	могут быть	5	9
163	в единство	2	9
164	ни в	11	9
165	в единстве	12	9
166	да и	3	9
167	или в	2	9
168	раз и	2	9
169	и потому	4	9
170	человека в	2	9
171	в результате	1	8
172	о том	4	8
173	мы увидим	3	8
174	все время	1	8
175	из них	1	8
176	переходим к	2	8
177	и он	2	8
