N	4gram	Tiupa_Narr	Tvorches
1	в то же время	3	24
2	и в то же	1	6
3	дело в том что	1	4
4	в том что в	1	3
5	в том числе и	4	2
6	очередь по отношению к	1	1
7	не что иное как	2	1
8	не с точки зрения	1	1
9	первую очередь по отношению	1	1
10	по отношению к самому	1	1
11	то по крайней мере	1	1
12	бы он ни был	1	1
13	одного и того же	1	1
14	собой не что иное	1	1
15	в первую очередь по	1	1
16	но в таком случае	1	1
17	бы то ни было	3	1
18	на ту или иную	1	1
19	представляет собой не что	1	1
20	то же время они	1	1
21	не о том что	1	1
