N	4gram	Losev_Dial	Myshleni
1	в то время как	2	20
2	так же как и	1	16
3	одной и той же	1	15
4	одно и то же	8	12
5	с одной стороны и	3	10
6	все более и более	1	8
7	в том что он	1	8
8	к одному и тому	1	7
9	одному и тому же	1	7
10	не что иное как	4	6
11	точно так же как	1	6
12	и вместе с тем	1	5
13	в том смысле что	3	5
14	все больше и больше	1	5
15	в этом и заключается	1	5
16	друг с другом в	1	5
17	приводит к тому что	1	5
18	заключается только в том	1	4
19	с самого начала что	1	4
20	между тем и другим	1	4
21	не содержат в себе	1	4
22	если принять во внимание	1	4
23	как более или менее	2	4
24	есть не что иное	3	4
25	несмотря на то что	2	4
26	в связи с этим	2	3
27	ни в какой мере	1	3
28	принять во внимание что	1	3
29	не содержит в себе	1	3
30	в том что она	1	3
31	дело в том что	1	3
32	в какой мере не	1	3
33	одна и та же	5	3
34	само по себе не	1	2
35	не потому что он	2	2
36	уже по одному тому	1	2
37	сомневаться в том что	1	2
38	в то же время	7	2
39	на самом деле не	1	2
40	друг к другу как	1	2
41	и в другом случае	1	2
42	на самом же деле	2	2
43	по одному тому что	1	2
44	и с точки зрения	1	2
45	когда мы говорим что	1	2
46	о том что в	1	2
47	с точки зрения самого	2	2
48	которые не могут быть	1	2
49	том смысле что они	1	2
50	это значит что он	3	2
51	в одно и то	1	2
52	никогда не может быть	1	1
53	есть одно и то	1	1
54	это одно и то	1	1
55	в том что такое	1	1
56	ни в каком случае	5	1
57	в том и в	1	1
58	с той или иной	1	1
59	том и в другом	1	1
60	не с точки зрения	2	1
61	потому что он не	1	1
62	бы и не быть	1	1
63	с их точки зрения	1	1
64	но как раз в	1	1
65	и с другой стороны	2	1
66	не сама по себе	1	1
67	в коем случае не	1	1
68	никогда не бывает в	1	1
69	уже сама по себе	1	1
70	была бы невозможна никакая	1	1
71	что одна и та	2	1
72	с другой стороны в	1	1
73	ясным и убедительным если	1	1
74	что для того чтобы	1	1
75	и структур с этой	1	1
76	это не значит что	3	1
77	значит что он не	1	1
78	или по крайней мере	2	1
79	вопрос о том что	1	1
80	то что говорится о	1	1
81	этом мы будем говорить	1	1
82	стать на точку зрения	1	1
83	можно сомневаться в том	1	1
84	друг с другом что	1	1
85	не только в смысле	1	1
86	ни в коем случае	1	1
87	с точки зрения той	1	1
88	все то же самое	1	1
89	но ведь это же	1	1
90	то и другое не	1	1
91	в том смысле как	1	1
92	до сих пор мы	1	1
93	и в то же	3	1
94	по себе без всяких	1	1
95	по образу и подобию	1	1
96	и в этом смысле	2	1
97	и то и другое	3	1
98	только тогда когда оно	2	1
99	мы можем сказать что	3	1
100	ни в чем не	1	1
101	это значит что мы	1	1
102	с точки зрения своей	1	1
103	и то же время	1	1
104	а потому что они	1	1
105	не говоря уже о	1	1
106	говорить о том что	1	1
107	и в частности к	1	1
108	сама по себе она	1	1
109	одной стороны и с	1	1
110	можно было бы показать	1	1
111	по самой природе своей	1	1
112	это значит что в	2	1
113	существу с точки зрения	1	1
114	и та же вещь	2	1
115	по мере того как	1	1
116	нельзя сомневаться в том	1	1
117	оно во всяком случае	1	1
118	одних и тех же	1	1
119	той или иной теории	1	1
120	по себе не имеет	1	1
121	вместе с ним и	1	1
122	или не нуждается в	1	1
123	сказать только то что	1	1
124	но это и значит	1	1
125	как и то что	1	1
126	отделены друг от друга	1	1
127	и в этом отношении	1	1
128	привело к тому что	1	1
