N	4gram	Bakhtin_Pr	Narrotol
1	в то же время	8	8
2	состоит в том что	1	6
3	мы имеем дело с	1	5
4	дело в том что	2	3
5	по отношению к ним	1	2
6	смысле можно сказать что	1	2
7	и не может быть	5	2
8	и в то же	3	2
9	одно и то же	1	2
10	в той или иной	1	2
11	и не могло быть	1	1
12	не было и не	1	1
13	не что иное как	1	1
14	дистанцию по отношению к	1	1
15	до сих пор еще	2	1
16	что с точки зрения	1	1
17	к себе и к	1	1
18	с большей или меньшей	1	1
19	один и тот же	1	1
20	в том числе и	13	1
21	к себе самому и	1	1
22	было и не могло	1	1
23	по мере того как	1	1
24	в том что на	1	1
25	и с точки зрения	1	1
26	одним и тем же	1	1
27	все то что было	1	1
28	есть не что иное	1	1
