N	2gram	Medvedev_U	EvropaiE
1	и в	14	37
2	в пределах	1	25
3	что в	1	21
4	не только	10	18
5	в то	3	16
6	то же	5	15
7	хотя бы	5	15
8	в качестве	1	14
9	и не	8	14
10	но и	4	14
11	же время	3	14
12	в своем	1	14
13	но в	3	14
14	в этом	7	12
15	в том	2	11
16	в их	4	11
17	в области	3	11
18	так и	1	10
19	в себе	2	9
20	прежде всего	8	9
21	только в	2	9
22	не может	7	9
23	отнюдь не	1	9
24	с одной	1	8
25	в своей	3	8
26	одной стороны	1	8
27	между тем	2	8
28	было бы	3	8
29	того что	1	7
30	как и	3	7
31	с другой	4	7
32	то есть	1	6
33	в последние	1	6
34	и даже	1	6
35	том что	2	6
36	может быть	6	6
37	то что	7	6
38	на то	1	6
39	в той	1	5
40	как нам	1	5
41	в виде	1	5
42	не в	2	5
43	в россии	4	5
44	но не	2	5
45	и потому	1	5
46	в течение	1	5
47	же как	1	5
48	в частности	3	5
49	но если	1	5
50	в самом	2	4
51	бы то	3	4
52	мы не	2	4
53	ни было	3	4
54	само по	1	4
55	в процессе	1	4
56	по себе	2	4
57	тем более	1	4
58	но даже	2	4
59	то ни	3	4
60	в ней	1	4
61	сказать что	1	4
62	можно сказать	1	4
63	независимо от	1	4
64	она в	1	3
65	последние годы	1	3
66	этом отношении	2	3
67	ее в	1	3
68	что и	2	3
69	мы можем	1	3
70	тем что	2	3
71	очевидно что	3	3
72	в таком	1	3
73	в которых	1	3
74	в известном	1	3
75	с другом	1	3
76	на своем	1	3
77	бы ни	1	3
78	тем в	1	3
79	бы и	2	3
80	в данном	1	3
81	по нашему	3	3
82	всего лишь	1	3
83	и для	2	3
84	этом смысле	2	3
85	как на	1	3
86	с тем	1	3
87	в сфере	1	3
88	культурная ценность	1	3
89	о том	1	3
90	и прежде	1	3
91	и только	5	3
92	друг с	1	3
93	никогда не	1	3
94	таким образом	2	2
95	иначе говоря	1	2
96	именно к	1	2
97	и то	3	2
98	данном случае	1	2
99	этот процесс	1	2
100	должна быть	2	2
101	тогда когда	1	2
102	в его	2	2
103	или по	1	2
104	но также	1	2
105	тому чтобы	1	2
106	это значит	1	2
107	в некоторых	2	2
108	его на	1	2
109	другой стороны	3	2
110	ценность в	1	2
111	не могут	2	2
112	если бы	2	2
113	и с	2	2
114	и все	1	2
115	и эта	1	2
116	в не	1	2
117	относятся к	1	2
118	стороны в	1	2
119	но по	1	2
120	не есть	2	2
121	в порядке	1	2
122	поскольку он	1	2
123	в сторону	2	2
124	нашему мнению	3	2
125	только к	3	2
126	в котором	1	2
127	и что	1	2
128	более чем	2	2
129	она не	1	2
130	в значительной	1	2
131	он не	1	2
132	а не	10	2
133	есть ли	1	2
134	далеко не	1	2
135	в этой	4	2
136	что же	1	2
137	могут быть	2	2
138	но именно	1	2
139	что все	2	2
140	же в	1	2
141	бы в	1	2
142	меньшей степени	2	2
143	или точнее	3	2
144	к сожалению	3	1
145	является в	2	1
146	в свое	1	1
147	сводить к	1	1
148	находятся в	1	1
149	все что	1	1
150	для всех	2	1
151	сводится именно	1	1
152	религии и	1	1
153	с которыми	1	1
154	как таковой	2	1
155	и всей	1	1
156	должно быть	1	1
157	для себя	1	1
158	время не	1	1
159	для него	3	1
160	он называет	1	1
161	построения он	1	1
162	что при	1	1
163	своей совокупности	1	1
164	что с	1	1
165	не как	3	1
166	нас в	2	1
167	у нас	3	1
168	смысле этого	2	1
169	не было	1	1
