N	4gram	Medvedev_F	slovoVRo
1	в то же время	13	18
2	и т п в	2	8
3	но в то же	3	7
4	и в то же	4	6
5	с одной стороны и	4	4
6	большей или меньшей степени	1	4
7	в большей или меньшей	1	4
8	не выходит за пределы	1	3
9	быть более или менее	1	3
10	и т п все	1	3
11	с этой точки зрения	1	2
12	во всех своих моментах	2	2
13	и в этом случае	1	2
14	не для того чтобы	1	2
15	с точки зрения самого	1	2
16	языка не может быть	1	2
17	и не может быть	4	2
18	может быть более или	1	2
19	то же время в	1	2
20	то же время и	2	2
21	тем что он есть	1	2
22	не может войти в	2	1
23	на самом же деле	1	1
24	мы имеем в виду	1	1
25	в значительной степени и	1	1
26	и прежде всего в	1	1
27	в зависимости от этого	1	1
28	не может быть конечно	1	1
29	в том случае если	1	1
30	и т п слово	1	1
31	в этом романе и	1	1
32	и до настоящего времени	2	1
33	как бы ни были	2	1
34	не с точки зрения	1	1
35	нового специально поэтического языка	1	1
36	различия между этими двумя	1	1
37	дело идет уже не	1	1
38	нет и не может	2	1
39	в связи с этим	4	1
40	по самому своему существу	1	1
41	только с точки зрения	1	1
42	в том числе и	1	1
43	бы она ни была	3	1
44	все новые и новые	1	1
45	и т п на	1	1
46	между поэтом и его	1	1
47	в том чтобы раскрыть	1	1
48	все более и более	3	1
49	бы то ни было	1	1
50	и с точки зрения	1	1
51	заключается в том чтобы	1	1
52	т п в основе	1	1
53	в самом языке как	2	1
54	а часто и вовсе	1	1
55	во всей ее конкретности	1	1
56	в этом отношении он	1	1
57	тем не менее в	1	1
58	менее всего может быть	2	1
