N	3gram	Tiupa_Disk	Myslijsy
1	в том что	18	47
2	по отношению к	13	26
3	не может быть	5	19
4	заключает в себе	1	19
5	тем не менее	1	18
6	по крайней мере	3	17
7	там же с	1	15
8	сам по себе	1	14
9	в свою очередь	3	14
10	не в том	3	13
11	то же время	9	13
12	в то же	7	13
13	более или менее	2	12
14	с другой стороны	4	12
15	до сих пор	1	12
16	только в том	2	12
17	во всяком случае	2	12
18	сами по себе	2	11
19	а в том	2	11
20	подобно тому как	4	11
21	с одной стороны	12	10
22	потому что в	2	9
23	в таком случае	1	9
24	одного и того	4	9
25	и того же	4	9
26	на то что	1	9
27	о том что	8	9
28	не могут быть	1	9
29	так и в	4	8
30	вместе с тем	1	8
31	на самом деле	1	8
32	только потому что	1	8
33	в этом случае	3	8
34	в этом смысле	1	7
35	и то же	2	7
36	и в том	1	7
37	с точки зрения	3	7
38	как и в	3	7
39	можно сказать что	3	7
40	не в состоянии	1	7
41	одно и то	2	7
42	не только в	2	7
43	и как бы	5	6
44	друг от друга	1	6
45	то же самое	2	6
46	и может быть	3	6
47	с самого начала	2	6
48	в том случае	1	5
49	между тем как	1	5
50	по себе не	2	5
51	не только по	1	5
52	то что в	1	5
53	и то что	2	5
54	из виду что	2	4
55	все то что	1	4
56	в данном случае	6	4
57	в том и	1	4
58	или по крайней	1	4
59	и тем же	1	4
60	в том чтобы	2	4
61	что не только	1	4
62	в противном случае	1	4
63	одним и тем	1	4
64	дело в том	3	4
65	далеко не все	1	4
66	то все же	1	4
67	тем же словом	1	4
68	именно в том	1	4
69	в общих чертах	1	4
70	то есть к	1	4
71	в этом отношении	4	4
72	обратить внимание на	2	4
73	что он не	1	3
74	себе не может	1	3
75	одной стороны и	3	3
76	не было в	3	3
77	до известной степени	2	3
78	в большинстве случаев	2	3
79	хотя бы и	1	3
80	говоря уже о	2	3
81	то есть в	2	3
82	том что он	1	3
83	и том же	1	3
84	в разные времена	1	3
85	а не в	2	3
86	в связи с	1	3
87	в наше время	4	3
88	об одном из	1	3
89	одном и том	1	3
90	на каждом шагу	1	3
91	равно как и	1	3
92	заключается в том	1	3
93	внимание на то	1	3
94	не может стать	1	3
95	из того что	1	3
96	не говоря уже	2	3
97	на первый взгляд	1	3
98	тогда как в	5	3
99	что же касается	4	3
100	заключать в себе	1	2
101	о том как	1	2
102	большую или меньшую	1	2
103	при этом в	2	2
104	друг на друга	1	2
105	на этом основании	1	2
106	но при этом	3	2
107	не только о	1	2
108	не было и	1	2
109	что во всех	1	2
110	и там где	1	2
111	состоит в том	3	2
112	но все же	1	2
113	только то что	2	2
114	лицом к лицу	2	2
115	в котором нет	1	2
116	в целом и	1	2
117	имея в виду	1	2
118	и не может	3	2
119	мы имеем дело	3	2
120	в этом последнем	1	2
121	может и не	1	2
122	в своем распоряжении	2	2
123	к лицу с	2	2
124	и потому что	1	2
125	не только от	1	2
126	а не как	2	2
127	здесь как и	1	2
128	в свое время	3	2
129	того и другого	1	2
130	и тем более	1	2
131	то есть по	1	2
132	в себе не	2	2
133	таким же образом	1	2
134	же время и	2	2
135	но и о	1	2
136	общее потому что	1	2
137	к которому мы	1	2
138	как мы видели	1	2
139	том случае если	1	2
140	легко может быть	1	2
141	к мысли о	1	2
142	и не только	2	2
143	упускать из виду	2	2
144	уст в уста	1	1
145	в самом деле	1	1
146	но все эти	1	1
147	лично для себя	2	1
148	которое не может	1	1
149	не имея в	2	1
150	и столь же	1	1
151	это приводит к	1	1
152	слова в слове	1	1
153	на мой взгляд	3	1
154	между тем слово	1	1
155	не только потому	1	1
156	он мог быть	2	1
157	так сказать от	1	1
158	к другому в	1	1
159	во всех этих	1	1
160	в себе как	1	1
161	на том что	1	1
162	которое может быть	2	1
163	что в одном	1	1
164	на него других	1	1
165	принадлежат к области	2	1
166	вся основана на	1	1
167	не могли быть	1	1
168	она могла бы	1	1
169	ни одно из	2	1
170	сказать и о	2	1
171	их отношении к	1	1
172	как в басне	1	1
173	в том числе	3	1
174	но в таком	1	1
175	нами не как	1	1
176	нет различия между	2	1
177	далеко не всегда	1	1
178	не совпадает с	1	1
179	упустить из виду	1	1
180	в строгом смысле	1	1
181	во втором значении	4	1
182	что в них	2	1
183	заключающие в себе	1	1
184	приходит в голову	1	1
185	и вообще в	1	1
186	не может существовать	1	1
187	во втором случае	1	1
188	нам только в	1	1
189	однако в силу	1	1
190	внешнее по отношению	1	1
191	не связано с	1	1
192	смысле можно говорить	1	1
193	еще не знает	1	1
194	отношению к субъекту	1	1
195	стороны например с	1	1
196	возможно только при	1	1
197	легко заметить что	1	1
198	том числе и	3	1
199	то чего не	1	1
200	по себе они	1	1
201	а потому и	1	1
202	состоит именно в	1	1
203	в чем не	1	1
204	в отличие от	12	1
205	можно говорить о	1	1
206	как одного из	1	1
207	мы и сами	1	1
208	к тому же	4	1
209	иное значение чем	1	1
210	до настоящего времени	1	1
211	может быть названа	1	1
212	но и от	1	1
213	в нераздельное единство	1	1
214	которая может быть	1	1
215	и представляет себе	1	1
216	могла бы быть	2	1
217	при этом как	1	1
218	языка и не	1	1
219	природу то есть	1	1
220	но и к	1	1
221	и не дает	1	1
222	этого сказать нельзя	1	1
223	что на деле	1	1
224	с точкой зрения	1	1
225	при всей своей	2	1
226	в процессе речи	1	1
227	она еще не	1	1
228	при самом исполнении	1	1
229	сознания в формах	1	1
230	значении этого слова	1	1
231	друг друга и	1	1
232	того о ком	1	1
233	без которой нет	1	1
234	большей или меньшей	2	1
235	прежде всего он	1	1
236	что входит в	1	1
237	мысль о том	1	1
238	прежде всего следует	1	1
239	но в качестве	2	1
240	первобытный человек не	1	1
241	еще не есть	1	1
242	то что и	2	1
243	прежде всего на	1	1
244	следует обратить внимание	1	1
245	ни прибавить ни	2	1
246	в этом заключается	1	1
247	дело не с	2	1
