N	2gram	Tiupa_Narr	Retstnzi
1	не может	16	4
2	и в	22	3
3	достоевского и	2	2
4	если в	2	2
5	в центре	4	2
6	один из	8	2
7	и школы	1	2
8	в особенности	2	1
9	несмотря на	1	1
10	может быть	24	1
11	не только	50	1
12	точки зрения	8	1
13	с точки	2	1
14	событий и	1	1
15	может не	1	1
16	для него	8	1
17	ситуации и	2	1
18	в ней	5	1
19	тех же	1	1
20	связи с	3	1
21	не из	1	1
22	бы на	1	1
23	с другими	1	1
24	его от	1	1
25	если бы	9	1
26	исходя из	4	1
27	литературного произведения	1	1
28	в его	12	1
29	не менее	6	1
30	но и	39	1
31	о художественной	1	1
32	к тому	13	1
33	не смог	1	1
34	во второй	2	1
35	можно назвать	2	1
36	тому что	4	1
37	языка как	1	1
38	увидеть в	2	1
39	в то	9	1
40	из этих	6	1
41	и событий	1	1
42	ни один	1	1
43	же время	7	1
44	то же	12	1
45	по своим	2	1
46	а не	27	1
47	персонажей и	2	1
48	бы в	2	1
49	в системе	1	1
50	всякого высказывания	1	1
51	и не	34	1
52	так называемая	2	1
53	язык как	2	1
54	на нее	2	1
55	и все	7	1
56	и на	5	1
57	русской литературы	1	1
58	художественного целого	2	1
