N	3gram	Vinokur_St	Problemy
1	то же время	5	26
2	в то же	5	26
3	с точки зрения	10	25
4	по отношению к	3	18
5	и т п	11	18
6	в этом смысле	2	16
7	на самом деле	7	15
8	не может быть	5	14
9	но в то	2	11
10	в конце концов	2	11
11	до сих пор	12	10
12	в отношении к	1	10
13	в самом деле	7	9
14	с другой стороны	8	9
15	с самого начала	3	9
16	во всяком случае	8	9
17	в том что	29	8
18	и не может	1	8
19	и в то	1	7
20	бы то ни	2	7
21	и т д	25	7
22	и в этом	4	7
23	же время не	1	6
24	в отличие от	1	6
25	то ни было	1	6
26	том что он	6	6
27	в той или	1	5
28	ведь и сам	1	5
29	хотя бы и	2	5
30	сам по себе	1	5
31	в зависимости от	2	5
32	к тому же	2	5
33	в высшей степени	1	5
34	той или иной	1	5
35	по крайней мере	2	5
36	но все же	3	5
37	можно было бы	8	5
38	и не в	1	4
39	он не может	1	4
40	тем не менее	4	4
41	сами по себе	2	4
42	так и в	5	4
43	а между тем	2	4
44	более или менее	2	4
45	смысле этого слова	1	4
46	то что было	1	4
47	может быть даже	1	4
48	о том что	19	4
49	как и в	2	4
50	в этом отношении	13	4
51	что в нем	2	4
52	ни в одном	2	4
53	а вовсе не	1	4
54	может быть и	2	4
55	для него самого	2	3
56	это не значит	3	3
57	в той же	2	3
58	а может быть	1	3
59	потому что она	1	3
60	и то же	1	3
61	и все это	1	3
62	в настоящее время	2	3
63	другой стороны и	1	3
64	в данном случае	7	3
65	и в других	1	3
66	не только не	2	3
67	это вовсе не	1	3
68	в том и	1	3
69	на то что	5	3
70	и в самом	3	3
71	что он сам	1	3
72	что у меня	1	3
73	на этот вопрос	2	3
74	в узком смысле	1	3
75	то все же	1	3
76	одно и то	1	3
77	и это не	1	3
78	на тему о	2	3
79	в этом случае	3	3
80	в то время	2	3
81	т е в	3	3
82	то время как	1	3
83	что он не	5	2
84	но все эти	1	2
85	в письме к	5	2
86	как будто бы	1	2
87	точка зрения на	1	2
88	что же это	1	2
89	во второй части	1	2
90	и в этих	1	2
91	то что он	3	2
92	как бы ни	2	2
