N	3gram	Tiupa_Vved	VeschiIm
1	не может быть	6	24
2	не что иное	1	12
3	что иное как	1	12
4	тем не менее	3	11
5	содержит в себе	1	11
6	по крайней мере	1	10
7	в том что	10	9
8	в самом деле	2	7
9	на то что	2	7
10	по сравнению с	1	7
11	может быть только	1	6
12	в свою очередь	5	5
13	в то же	5	5
14	и то же	1	5
15	одно и то	1	5
16	подобно тому как	3	5
17	не только в	3	5
18	о том как	1	4
19	более или менее	2	4
20	ли это что	1	4
21	дело в том	1	4
22	о том что	6	4
23	это и есть	1	4
24	само по себе	1	4
25	то же время	4	4
26	и даже не	1	3
27	той или другой	1	3
28	можно сказать что	1	3
29	свидетельствует о том	1	3
30	все же не	1	3
31	из того что	1	3
32	сами по себе	1	3
33	мы не можем	1	3
34	можно было бы	2	3
35	и в то	1	3
36	с одной стороны	9	3
37	то что мы	1	3
38	с другой стороны	2	3
39	по имени и	1	3
40	так же как	1	2
41	потому что я	1	2
42	то что он	1	2
43	в той или	1	2
44	в одном и	1	2
45	все то что	1	2
46	а не к	1	2
47	дело не с	1	2
48	в данном случае	15	2
49	в том чтобы	2	2
50	в этом смысле	1	2
51	для того чтобы	1	2
52	того что является	1	2
53	по природе своей	2	2
54	в том или	1	2
55	в последние годы	1	2
56	в первом случае	1	2
57	как раз в	1	2
58	быть не только	1	2
59	равным образом и	1	2
60	а не в	1	2
61	в связи с	1	2
62	она может быть	1	2
63	к тому что	1	2
64	во всяком случае	3	2
65	в этом отношении	7	2
66	и в этом	1	2
67	а не только	1	2
68	что же касается	2	2
69	как раз и	1	2
70	в этом и	1	2
71	в основе своей	2	2
72	мы имеем дело	5	2
73	в полной мере	1	1
74	уж во всяком	1	1
75	в самом начале	1	1
76	не просто слово	1	1
77	имя может быть	1	1
78	одной стороны и	3	1
79	в этой маленькой	1	1
80	а не просто	1	1
81	как будто бы	3	1
82	это вовсе еще	1	1
83	только в учебниках	1	1
84	не только а	1	1
85	стало быть и	1	1
86	как бы мы	1	1
87	и прежде всего	1	1
88	жизни так в	1	1
89	том смысле что	1	1
90	в той же	1	1
91	для меня если	1	1
92	прежде всего на	2	1
93	но и здесь	1	1
94	но и в	3	1
95	понимания отнюдь не	1	1
96	однако об этом	1	1
97	в том смысле	1	1
98	первом случае мы	1	1
99	ничего не говорит	1	1
100	жизни что же	1	1
101	то или иное	1	1
102	я уже не	1	1
103	здесь мы не	1	1
104	один и тот	1	1
105	здесь как и	1	1
106	и со стороны	1	1
107	может быть окончательным	1	1
108	об этом в	1	1
109	и в самом	1	1
110	было сказано что	1	1
111	со стороны внутренней	1	1
112	самом деле не	1	1
113	для себя и	1	1
114	тем более не	2	1
115	но тут же	1	1
116	и тот же	1	1
117	если бы оно	1	1
118	не в том	3	1
119	потому что она	1	1
120	и его можно	1	1
121	всякой человеческой жизни	1	1
122	во втором случае	1	1
123	в себе не	1	1
124	а что же	1	1
125	не было бы	1	1
126	внутренней и внешней	1	1
127	вовсе еще не	1	1
128	в смысловом отношении	2	1
129	то что можно	1	1
130	одного и того	1	1
131	у нас есть	1	1
132	бы оно было	1	1
133	и еще более	1	1
134	прежде всего к	1	1
135	бы и не	2	1
136	ни о чем	1	1
137	речь идет о	3	1
138	тем же самым	1	1
139	по своей природе	2	1
140	и так же	1	1
141	но только в	1	1
142	только потому что	1	1
143	не к ее	1	1
144	и того же	1	1
145	в этом случае	1	1
146	но в то	1	1
147	а в том	3	1
148	а за ними	1	1
149	или нет? если	1	1
150	что они не	1	1
151	у него нет	1	1
152	в зависимости от	1	1
153	и уж во	1	1
154	в третьем случае	1	1
155	том что и	1	1
156	того что есть	1	1
157	на то чтобы	1	1
158	то же самое	2	1
159	и все же	6	1
160	и в одном	1	1
161	могла бы и	3	1
162	вместо того чтобы	1	1
163	но в этом	1	1
164	оба эти момента	1	1
165	предполагает со стороны	2	1
166	и не может	1	1
167	а также и	2	1
