N	3gram	Propp_Isto	RusskieA
1	в том что	4	49
2	состоит в том	1	29
3	и т д	36	21
4	тем не менее	6	14
5	д к зеленин	1	13
6	в этом случае	13	12
7	вместе с тем	7	11
8	в других местах	2	10
9	о том что	5	10
10	и в других	1	9
11	в том чтобы	2	9
12	для того чтобы	3	8
13	в данном случае	2	8
14	но это не	2	8
15	подобно тому как	2	8
16	т е в	6	7
17	как мы увидим	4	7
18	не может быть	6	6
19	в это время	2	6
20	как мы видели	2	6
21	так же как	10	6
22	после того как	4	6
23	в некоторых местах	1	5
24	это показывает что	2	5
25	в связи с	6	5
26	мы видели что	2	5
27	все это показывает	1	5
28	не что иное	1	4
29	и многие другие	1	4
30	в отличие от	1	4
31	что в этом	1	4
32	только тогда когда	2	4
33	в этих случаях	7	4
34	что иное как	1	4
35	а иногда и	2	4
36	в то время	3	4
37	во всяком случае	1	4
38	мы не будем	3	4
39	к этому же	1	4
40	но вместе с	4	3
41	по отношению к	2	3
42	т е на	2	3
43	мы должны признать	1	3
44	до сих пор	7	3
45	же как и	4	3
46	до некоторой степени	1	3
47	и в том	1	3
48	в свою очередь	1	3
49	на другой день	1	3
50	и потому что	1	3
51	на то что	3	3
52	можно предположить что	3	3
53	с точки зрения	1	3
54	а и никифоров	1	3
55	обращает на себя	1	3
56	приводит нас к	5	3
57	здесь мы имеем	4	3
58	все же не	1	3
59	мы уже видели	2	3
60	одна из таких	1	3
61	с тем что	1	3
62	в воду и	3	3
63	может быть и	1	3
64	до того как	1	2
65	выше мы указывали	1	2
66	мы уже знаем	1	2
67	они представляют собой	1	2
68	о том как	4	2
69	выше мы видели	1	2
70	речь будет ниже	3	2
71	в своих целях	2	2
72	мы увидим ниже	4	2
73	как уже указано	1	2
74	дело не в	1	2
75	для наших целей	1	2
76	совершенно очевидно что	1	2
77	может быть только	1	2
78	друг с другом	2	2
79	ничего общего с	1	2
80	чтобы лучше понять	1	2
81	потому что он	5	2
82	что такие представления	1	2
83	имели целью воздействовать	1	2
84	целью воздействовать на	1	2
85	из которых одна	1	2
86	же выводы можно	1	2
87	мы должны будем	1	2
88	так как это	1	2
89	можно сделать из	1	2
90	так как они	1	2
91	но все же	6	2
92	с другой стороны	10	2
93	в этой связи	1	2
94	но так как	3	2
95	в тех случаях	1	2
96	во многих отношениях	1	2
97	т д и	1	2
98	к себе в	2	2
99	и других животных	1	2
100	мы увидим что	1	2
101	в приведенных материалах	1	2
102	как и в	4	2
103	можно сказать что	1	2
104	ее в реку	1	2
105	одна из наиболее	1	2
106	и в обрядах	3	2
107	вопрос о том	1	2
108	имелись и в	1	2
109	на самом деле	1	2
110	иметь в виду	1	2
111	это еще не	2	2
112	мы имеем здесь	3	2
113	но и других	1	2
114	это не совсем	1	2
115	не только в	2	2
116	во всех этих	2	2
117	в виду что	1	2
118	но тем не	1	2
119	стоит в связи	1	2
120	так как в	3	2
121	тех случаях когда	1	2
122	не будем здесь	2	2
123	одна из них	1	2
124	выводы можно сделать	1	2
125	с одной стороны	7	2
126	воздействовать на урожай	1	2
127	и связанные с	1	2
128	можно найти в	2	1
129	он должен был	1	1
130	представлений о том	1	1
131	бросают в воду	1	1
132	дело представляется иначе	1	1
133	далеко не единственный	1	1
134	е тот кто	1	1
135	в землю и	1	1
136	что в сказке	1	1
137	в немецкой науке	1	1
138	что говорилось о	1	1
139	как будто бы	1	1
140	все же она	1	1
141	т е тот	1	1
142	с этим в	1	1
143	в горы и	1	1
144	никак не может	1	1
145	как и вообще	1	1
146	и он же	1	1
147	будут рассмотрены ниже	1	1
148	в древние времена	1	1
149	и в таком	1	1
150	они и не	1	1
151	того или другого	1	1
152	в обрядах и	2	1
153	наряду с этим	3	1
154	одни и те	1	1
155	пришли на смену	1	1
156	и по своим	1	1
157	в мировом фольклоре	1	1
158	то что им	1	1
159	в китае и	1	1
160	от него он	1	1
161	потому что в	1	1
162	только потому что	1	1
163	но есть и	1	1
164	рассмотрение их не	1	1
165	только тем что	1	1
166	в таком случае	1	1
167	имеется и в	2	1
168	по своему содержанию	1	1
169	сам по себе	1	1
170	что один из	1	1
171	таким образом к	1	1
172	после этого они	1	1
173	представление о них	1	1
174	мы знаем что	8	1
175	мы рассмотрим только	1	1
176	которые приводят к	1	1
177	не говорится что	1	1
178	мы приведем несколько	1	1
179	может быть не	1	1
180	даже если бы	2	1
181	сказывается и в	2	1
182	за тридевять земель	4	1
183	как мы видим	1	1
184	которые не имели	1	1
185	можно наблюдать что	3	1
186	легко заметить что	1	1
187	на третий день	1	1
188	по аналогии с	1	1
189	точно так же	3	1
190	а в связи	1	1
191	получить хороший урожай	1	1
192	и таким образом	2	1
193	мы знаем из	1	1
194	есть та же	1	1
195	не может считаться	1	1
196	еще прибавить что	1	1
197	свете приведенных материалов	1	1
198	из них не	1	1
199	на этот вопрос	2	1
200	в царство мертвых	2	1
201	мы видим что	4	1
202	и в мифе	1	1
203	это означает что	1	1
204	о чем речь	4	1
205	одна из форм	1	1
206	смысле в каком	1	1
207	не соответствует действительности	1	1
208	то же самое	1	1
209	что здесь имеется	1	1
210	что он имел	1	1
211	получает свою силу	1	1
212	которые будут рассмотрены	1	1
213	несмотря на все	1	1
214	высказать предположение что	1	1
215	может быть поставлен	1	1
216	то что и	1	1
217	тем одно из	1	1
218	отсюда видно что	1	1
219	так же в	1	1
220	что здесь на	1	1
221	о том чтобы	1	1
222	в дом где	1	1
223	и потому не	1	1
224	дело так что	1	1
225	ее с собой	1	1
226	в других формах	1	1
227	и один из	1	1
228	что во время	1	1
229	в египетской религии	1	1
230	к заключению что	5	1
231	не совсем ясно	1	1
232	указать еще на	1	1
233	не только для	1	1
234	иметь власть над	1	1
235	покажет нам что	1	1
236	так как он	2	1
237	и те же	1	1
238	разрешать не будем	1	1
239	и может быть	1	1
240	но и в	2	1
241	к этому месту	1	1
242	то что по	1	1
243	как мы знаем	1	1
244	только после того	1	1
245	мы здесь имеем	2	1
246	должен быть признан	1	1
247	же она не	1	1
248	а затем уже	1	1
249	китае и в	1	1
250	здесь еще не	2	1
251	в одно целое	1	1
252	в сказке как	1	1
253	т д в	1	1
254	в мифе часто	1	1
255	на небо но	1	1
256	т д с	1	1
257	что не только	1	1
258	не потому что	2	1
