N	2gram	Medvedev_V	VelikijI
1	во имя	1	32
2	и не	20	20
3	и в	26	16
4	то что	7	9
5	в истории	1	8
6	еще не	2	8
7	и потому	2	7
8	что они	3	7
9	а не	7	7
10	человека и	3	6
11	что есть	1	5
12	хотя и	2	5
13	того что	3	5
14	все это	13	5
15	как бы	5	5
16	на себя	1	5
17	но и	10	5
18	в котором	3	4
19	в этом	29	4
20	что мы	2	4
21	потому что	1	4
22	в его	15	4
23	в ней	2	4
24	так и	6	4
25	говорить о	2	4
26	мы хотим	1	4
27	и есть	5	4
28	и все	1	4
29	что не	3	4
30	в образе	2	4
31	что все	4	4
32	как и	7	4
33	что он	4	4
34	в нем	7	4
35	во всех	7	3
36	что в	11	3
37	нет ничего	1	3
38	бы и	6	3
39	и мы	1	3
40	то это	2	3
41	в конце	3	3
42	должно быть	2	3
43	этого мира	1	3
44	если не	1	3
45	хотя бы	20	3
46	в том	15	3
47	тому что	7	3
48	личности и	1	3
49	не в	6	3
50	и что	1	3
51	что и	3	3
52	ни в	1	3
53	они в	1	3
54	в этих	1	3
55	в них	5	3
56	не было	7	3
57	лишь в	2	3
58	что во	1	3
59	в жизни	2	3
60	по этому	10	3
61	как не	1	3
62	их в	7	3
63	в своей	4	3
64	должна быть	2	3
65	с его	4	3
66	не имеет	1	3
67	но это	1	3
68	и для	2	3
69	жизни и	3	3
70	в чем	2	3
71	все эти	8	3
72	но в	2	3
73	к тому	5	3
74	никогда не	5	3
75	во всяком	2	2
76	от него	1	2
77	его и	1	2
78	ее и	1	2
79	а к	2	2
80	один из	6	2
81	превращаются в	1	2
82	мы и	1	2
83	в последнем	2	2
84	они и	2	2
85	вот по	1	2
86	самого себя	2	2
87	которые не	1	2
88	более чем	1	2
89	не создает	1	2
90	его не	3	2
91	того чтобы	3	2
92	это не	7	2
93	между тем	6	2
94	не только	26	2
95	существе своем	1	2
96	для него	9	2
97	вот почему	5	2
98	с ним	1	2
99	является в	1	2
100	понимает и	1	2
101	ее в	4	2
102	о свободе	1	2
103	для нас	1	2
104	и то	1	2
105	не с	2	2
106	прежде всего	13	2
107	для них	2	2
108	можно было	2	2
109	так не	1	2
110	в форме	3	2
111	а между	1	2
112	вслед за	3	2
113	и это	1	2
114	мы не	1	2
115	конечно не	1	2
116	только в	8	2
117	а с	1	2
118	а в	3	2
119	в духе	1	2
120	и сам	2	2
121	было еще	1	2
122	нет и	3	2
123	это мы	3	2
124	раз навсегда	1	2
125	но не	2	2
126	и никогда	2	2
127	тем что	1	2
128	и во	1	2
129	могут быть	8	2
130	ничего и	1	2
131	значения и	1	2
132	с тем	4	2
133	и т	25	2
134	одна из	4	2
135	не могут	10	2
136	т д	16	2
137	да и	2	2
138	том что	8	2
139	для их	1	2
140	в существе	1	2
141	что их	1	2
142	уже не	1	2
143	мира в	1	2
144	не к	1	2
145	и мир	3	1
146	в самом	4	1
147	проблему свободы	2	1
148	в образах	2	1
149	художественный образ	5	1
150	и другие	1	1
151	то есть	1	1
152	и осмысленной	1	1
153	этих мук	1	1
154	а потому	1	1
155	человека в	2	1
156	но как	3	1
157	это одна	1	1
158	мы видим	1	1
159	и быть	2	1
160	что оно	3	1
161	речь идет	1	1
162	вообще в	1	1
