N	4gram	Propp_Morf	Analitik
1	в то же время	1	14
2	состоит в том что	3	7
3	не что иное как	2	6
4	есть не что иное	1	5
5	в том что он	1	4
6	бы то ни было	2	3
7	с этой точки зрения	1	2
8	ни в коем случае	1	2
9	в тех случаях когда	2	2
10	один и тот же	1	2
11	в коем случае не	1	2
12	одно и то же	1	2
13	в том случае если	2	1
14	есть на самом деле	1	1
15	в отдельных случаях может	1	1
16	то что они хотят	1	1
17	ни к чему не	2	1
18	или во всяком случае	1	1
19	с тех пор как	1	1
20	ни одна из них	1	1
21	с точки зрения исторической	1	1
22	одна из них не	1	1
23	в собственном смысле слова	3	1
24	во всех этих случаях	1	1
25	приводит к тому что	1	1
26	мы видим что в	1	1
27	во всех подобных случаях	1	1
