N	4gram	Tiupa_Disk	Hudozhes
1	в то же время	7	7
2	состоит в том что	2	4
3	сближение но не слияние	1	3
4	одно и то же	2	3
5	одного и того же	4	3
6	и не могло быть	1	2
7	преодолеваемая даль и сближение	1	2
8	в том числе и	3	2
9	присутствия в мире на	1	2
10	даль и сближение но	1	2
11	в том что он	1	2
12	и сближение но не	1	2
13	в той или иной	1	2
14	и в то же	2	2
15	высказывания жанр в свою	1	1
16	они едины судьба выражает	1	1
17	присутствует как правило лишь	1	1
18	смысле домонологично оно объединяет	1	1
19	совершенно иными границами между	1	1
20	самобытно но и характерное	1	1
21	двоякий жизненный опыт запечатлеваемый	1	1
22	ни столь пассивным как	1	1
23	в себе ему надлежит	1	1
24	в нем звучит один	2	1
25	пространственно-временных масштабов и соотношений	1	1
26	для притчи иносказательность является	1	1
27	смыслом ни в мире	1	1
28	и возможность иной интонации	1	1
29	слово сказания еще не	1	1
30	в их отношении к	1	1
31	ни для рассказчика ни	1	1
32	включая разные формы скрытой	1	1
33	когда ни прибавить ни	1	1
34	пассивным как к содержанию	1	1
35	приводит к интонации доверительной	1	1
36	причастности к общему миропорядку	1	1
37	обязательно курьезное любопытное занимательное	1	1
38	ошибка оговорка где слово	1	1
39	выготским и н.и жинкиным	2	1
40	того требует авторитетное слово	1	1
41	нами не как объекты	1	1
42	всегда предносится целое нашего	1	1
43	в чистом виде целенаправленно	1	1
44	искусство заинтересовывать судьбой отдельных	1	1
45	себя в другом и	1	1
46	мы имеем дело не	2	1
47	к интонации доверительной и	1	1
48	анекдота выбор лексики например	1	1
49	разделение иерархично оно не	1	1
50	сам текст анекдота выбор	1	1
51	есть биография и не	1	1
52	позиции изобразителя жизни повествователя	1	1
53	не есть биография и	1	1
54	реальному человеческому существованию вследствие	1	1
55	императивной нормы ни в	1	1
56	необходимости ни в мире	1	1
57	быть осуществлено только самим	1	1
58	то она здесь присутствует	1	1
59	слушателей с содержанием анекдота	1	1
60	исторически продуктивный тип высказывания	1	1
61	в готовом стабильно дифференцированном	2	1
62	оно живет в готовом	2	1
63	здесь обычно является сюжетообразующим	1	1
64	дифференцированном и оцененном мире	2	1
65	прибавить ни убавить ни	1	1
66	которыми устанавливаются отношения ценностно-смысловой	1	1
67	новелле есть нарушение запрета	1	1
68	под сводами чужой психики	1	1
69	литературного произведения по своим	1	1
70	в самом общем виде	2	1
71	определенные задания реализуют в	1	1
72	принципиально недопустимая в сказании	1	1
73	притчевого типа есть монолог	1	1
74	притчи может быть определена	1	1
75	речь включая разные формы	1	1
76	слухи или сплетни то	1	1
77	реализуют в нем определенные	1	1
78	в дискурсе речевой акт	1	1
79	монологизированного слова в слове	1	1
80	высказывания и в форме	1	1
81	очередь по отношению к	1	1
82	иллюзии живого голоса зримого	1	1
83	отношение к своему герою	1	1
84	и соотношений такая возможность	1	1
85	бросает звук в архитектуру	1	1
86	священного новелла ночной жанр	1	1
87	рекоша но от божья	1	1
88	есть принадлежат самой ситуации	1	1
89	анекдот ни притча не	1	1
