N	3gram	Bakhtin_sl	Literetu
1	в том что	4	21
2	в то же	15	21
3	то же время	15	21
4	по отношению к	2	12
5	с одной стороны	7	12
6	не может быть	11	11
7	в данном случае	3	11
8	в отличие от	12	11
9	так или иначе	1	10
10	о том что	2	10
11	в этом отношении	2	10
12	с точки зрения	11	8
13	с другой стороны	5	7
14	в том числе	1	6
15	не только в	3	6
16	с этой точки	1	5
17	тем не менее	2	5
18	этой точки зрения	1	5
19	в связи с	2	5
20	прежде всего в	1	5
21	по аналогии с	1	4
22	и прежде всего	1	4
23	то ни было	1	4
24	бы то ни	1	4
25	и наконец в	2	3
26	и т п	49	3
27	одной стороны и	2	3
28	речь идет о	1	3
29	той или иной	13	3
30	в свою очередь	3	3
31	никогда не бывает	1	3
32	на то что	1	3
33	не столько в	1	3
34	а не как	2	3
35	по крайней мере	1	3
36	в целом ряде	1	3
37	как например в	1	3
38	в одном из	1	3
39	во всяком случае	7	3
40	и в частности	1	3
41	том числе и	1	3
42	но с другой	1	3
43	в первый раз	1	2
44	для того чтобы	1	2
45	никто его не	1	2
46	исключают друг друга	1	2
47	и то же	2	2
48	в отношении к	9	2
49	между тем как	1	2
50	не исключают друг	1	2
51	тех или иных	1	2
52	не могло быть	1	2
53	не только не	2	2
54	к тому что	2	2
55	а не только	1	2
56	в значительной степени	6	2
57	могли бы быть	1	2
58	может и не	1	2
59	лишь тогда когда	2	2
60	автора и его	1	2
61	но и в	2	2
62	в свое время	1	2
63	в виду не	1	2
64	то есть от	2	2
65	дело в том	1	2
66	одно и то	2	2
67	можно было бы	2	2
68	в этом случае	4	2
69	себя в них	3	2
70	произведение в целом	1	2
71	на этой почве	1	1
72	в той или	12	1
73	что он не	1	1
74	все то что	1	1
75	одним из существеннейших	1	1
76	для этого необходимо	1	1
77	и его аудитории	1	1
78	при этом с	1	1
79	на задний план	1	1
80	в большинстве случаев	11	1
81	обстоит дело и	2	1
82	себя в своей	1	1
83	это не только	1	1
84	однако и здесь	1	1
85	хотя бы и	5	1
86	жизни но и	1	1
87	в сознании людей	1	1
88	строит свое высказывание	1	1
89	единым и единственным	2	1
90	каковы бы ни	1	1
91	точки зрения которого	1	1
92	более или менее	5	1
93	и слова все	1	1
94	оттесняет на задний	1	1
95	как бы не	1	1
96	а в том	1	1
97	и некоторые другие	1	1
98	до сих пор	4	1
99	все более и	1	1
100	именно потому что	1	1
101	а также в	1	1
102	может быть не	1	1
103	всегда остается в	1	1
104	иметь в виду	1	1
105	данном случае не	1	1
106	максим максимыч в	1	1
107	в зависимости от	4	1
108	обычно квалифицируются как	1	1
109	и не было	1	1
110	нас в данном	1	1
111	в один из	1	1
112	мы все время	1	1
113	и в то	6	1
114	в пределах одной	3	1
115	том что в	1	1
116	а затем и	1	1
117	как это может	1	1
118	не только на	2	1
119	состояние его души	1	1
120	точки зрения говорящего	1	1
121	каждый данный момент	4	1
122	и сам в	1	1
123	и в пределах	1	1
124	одна из форм	1	1
125	в частности в	1	1
126	единого и единственного	5	1
127	сама по себе	2	1
128	а не с	1	1
129	и там где	5	1
130	в сущности только	1	1
131	жизни на основании	1	1
132	но все же	1	1
133	во всей ее	1	1
134	и не столько	1	1
135	в области поэтики	1	1
136	но это не	1	1
137	даже и не	1	1
138	и в том	2	1
139	глубокое различие между	1	1
140	а не в	1	1
141	и в этом	2	1
142	и потому не	1	1
143	а также и	3	1
144	может быть только	3	1
145	не только по	1	1
146	в различных его	1	1
147	потому не может	1	1
148	в евгении онегине	3	1
149	адекватного подхода к	1	1
150	этот последний модус	1	1
151	а как бы	1	1
152	то есть в	1	1
153	себе самому и	1	1
154	в основе этой	1	1
155	вместе с ним	1	1
156	себе как бы	1	1
157	своего и чужого	4	1
158	такого героя и	1	1
159	одно из существеннейших	1	1
160	в каждый данный	5	1
161	именно там где	1	1
162	с жизнью и	1	1
163	же время он	1	1
164	бы ни были	2	1
165	и в особенности	5	1
166	и на его	1	1
167	в эстетический объект	1	1
168	вообще не знает	1	1
169	о себе как	1	1
170	противоречат друг другу	1	1
171	в пределах самого	1	1
172	как это было	1	1
173	как один из	1	1
174	более и более	1	1
175	при этом и	1	1
176	человека в этом	1	1
177	слова так и	1	1
178	перед нами не	1	1
179	хотя и не	1	1
180	xx века не	1	1
181	сам он в	1	1
182	становится одним из	1	1
183	но в то	6	1
184	в лучшем случае	3	1
185	как мы видели	2	1
186	во всех этих	2	1
187	именно в том	1	1
188	между автором и	2	1
189	в этом его	1	1
190	с самого начала	1	1
191	том что он	1	1
192	в соединении с	1	1
193	не только и	2	1
194	у него нет	2	1
195	своих и чужих	1	1
196	не могут быть	3	1
197	и в сущности	4	1
198	же время в	1	1
199	не выходит за	3	1
200	и притом в	1	1
201	и не может	2	1
202	т п это	1	1
203	до конца не	1	1
204	не только как	1	1
205	только и не	1	1
206	самого по себе	1	1
207	в процессе своего	1	1
208	мы не можем	1	1
209	может быть и	2	1
