N	2gram	Bakhtin_KF	slovoVRo
1	и в	28	92
2	то есть	1	64
3	может быть	45	59
4	и его	18	59
5	в нем	32	59
6	и не	28	51
7	не только	5	44
8	не может	29	41
9	но и	9	39
10	до конца	3	37
11	в этом	15	36
12	а не	17	34
13	во всех	11	32
14	точки зрения	13	30
15	так и	2	30
16	могут быть	3	29
17	и др	1	29
18	в его	42	27
19	слова в	2	26
20	все это	10	25
21	как бы	9	24
22	слова и	1	24
23	то же	5	23
24	и на	3	22
25	как в	2	21
26	не в	13	21
27	вовсе не	7	21
28	в процессе	2	20
29	в то	3	20
30	прежде всего	4	19
31	как мы	1	19
32	с ним	5	18
33	как и	5	18
34	же время	2	18
35	себя в	8	18
36	или иной	2	18
37	оно не	2	17
38	и даже	1	17
39	все же	5	17
40	в основе	5	17
41	в истории	1	17
42	все эти	11	17
43	в большинстве	1	17
44	при этом	4	16
45	но в	5	16
46	и с	1	15
47	человек и	2	15
48	с точки	10	15
49	той или	3	15
50	там где	5	15
51	только в	18	14
52	отношении к	2	13
53	это не	10	13
54	с его	2	13
55	рядом с	3	13
56	и для	10	13
57	и к	1	12
58	в отношении	1	12
59	еще не	5	12
60	во всяком	1	12
61	никогда не	5	12
62	и потому	2	12
63	или в	1	12
64	точек зрения	1	12
65	а в	5	12
66	отношение к	6	12
67	и наконец	1	12
68	один из	2	11
69	в этих	1	11
70	большинстве случаев	1	11
71	с ними	4	11
72	для него	13	11
73	всех его	2	11
74	на его	1	11
75	и их	6	10
76	и все	9	10
77	уже не	7	10
78	все они	2	10
79	лишь в	8	10
80	в своем	17	10
81	может не	2	10
82	в том	6	10
83	она не	2	10
84	в себе	21	10
85	в него	2	10
86	всех этих	3	10
87	поэтому и	1	9
88	в своей	11	9
89	конечно не	7	9
90	на почве	1	9
91	так как	1	9
92	здесь в	1	9
93	его в	5	9
94	одна из	1	9
95	в их	9	9
96	в смысле	6	9
97	и других	2	9
98	и мир	2	9
99	он не	6	9
100	быть и	3	9
101	и от	1	9
102	но не	12	9
103	с ее	2	9
104	к нему	12	9
105	в самом	1	8
106	для нас	4	8
107	может стать	1	8
108	зависимости от	1	8
109	в значительной	1	8
110	с этим	1	8
111	в предмете	1	8
112	в зависимости	1	8
113	всяком случае	1	8
114	входит в	4	8
115	в одной	1	8
116	человека и	3	8
117	в ней	3	8
118	во всем	7	7
119	от него	3	7
120	же и	1	7
121	еще более	2	7
122	но все	6	7
123	смысла и	2	7
124	о нем	4	7
125	том что	4	7
126	но здесь	3	7
127	и иных	1	7
128	значительной степени	1	7
129	на своем	3	7
130	слово и	1	7
131	здесь не	3	7
132	друг друга	1	7
133	того же	1	7
134	мышления и	2	7
135	не было	8	7
136	единый и	3	7
137	мы уже	1	7
138	его не	1	7
139	также и	1	7
140	ту же	1	7
141	с которым	1	7
142	жизни и	8	7
143	в целом	10	7
144	что в	4	6
145	и здесь	7	6
146	вне себя	1	6
147	нем в	1	6
148	дело с	2	6
149	в одном	5	6
150	ни в	12	6
151	по себе	2	6
152	конечно и	1	6
153	именно в	5	6
154	единого и	9	6
155	подхода к	2	6
156	одновременно и	1	6
157	себя и	5	6
158	можно сказать	1	6
159	в свою	3	6
160	говорить о	2	6
161	в контексте	5	6
162	как к	2	6
163	в качестве	2	6
164	слово не	3	6
165	бы и	3	6
166	лежит в	1	6
167	и единственного	12	6
168	становления и	1	6
169	мира и	4	6
170	единство и	1	6
171	на этом	1	6
172	хотя бы	5	6
173	между тем	4	6
174	нем и	3	6
175	ничего не	3	6
176	и единственный	5	6
177	в чисто	1	6
178	должна быть	4	5
179	не как	4	5
180	и чисто	1	5
181	а затем	1	5
182	в результате	1	5
183	него нет	1	5
184	к его	1	5
185	они не	1	5
186	по отношению	26	5
187	вместе с	1	5
188	не менее	3	5
189	о том	3	5
190	но оно	1	5
191	его и	2	5
192	не является	1	5
193	в данном	2	5
194	вне его	1	5
195	мы не	3	5
196	для того	3	5
197	только на	1	5
198	связанных с	1	5
199	той же	1	5
200	отношению к	22	5
201	но он	1	5
202	остается в	1	5
203	хотя и	1	5
204	и этим	3	5
205	как его	4	5
206	должен быть	7	5
207	особенно в	1	5
208	в каждом	3	5
209	а как	2	5
210	данный момент	3	5
211	не знает	5	5
212	и может	3	5
213	не с	1	5
214	конца и	1	5
215	оно может	1	5
216	и по	1	5
217	для этого	2	5
218	имеет дело	1	5
219	до сих	1	4
220	к единому	3	4
221	мы найдем	1	4
222	оно было	1	4
223	его но	1	4
224	в виду	3	4
225	со всеми	2	4
226	и самая	1	4
227	если бы	8	4
228	слово может	1	4
229	отношения к	1	4
230	его на	2	4
231	всегда в	1	4
232	что он	2	4
233	от его	5	4
234	к тому	1	4
235	дело не	2	4
236	того чтобы	2	4
237	все свои	1	4
238	лежат в	3	4
239	в другом	3	4
240	но эти	1	4
241	тогда когда	3	4
242	и уже	1	4
243	именно на	2	4
244	в различных	1	4
245	иные моменты	1	4
246	в чем	4	4
247	свою очередь	1	4
248	ибо он	1	4
249	и во	1	4
250	он может	2	4
251	к предмету	1	4
252	но это	6	4
253	в системе	1	4
254	его как	5	4
255	того что	3	4
256	формы и	1	4
257	он должен	1	4
258	вокруг него	2	4
259	одной из	1	4
260	том же	1	4
261	быть только	8	4
262	смысле в	2	4
263	момент его	9	4
264	как раз	1	4
265	в литературе	1	4
266	что и	7	4
267	в контекст	2	4
268	в виде	2	4
269	языка это	1	4
270	в которой	1	4
271	здесь как	1	4
272	это слово	1	4
273	и как	2	4
274	следовательно и	1	4
275	в себя	8	4
276	сих пор	1	4
277	но конечно	3	4
278	всех своих	4	4
279	именно как	1	4
280	может иметь	2	4
281	но как	5	4
282	характер и	1	4
283	как предмет	2	4
284	эти слова	1	4
285	из него	4	4
286	или как	2	4
287	и о	1	4
288	всех сторон	1	4
289	в лучшем	1	4
290	образом в	1	4
291	и предметом	1	4
292	бы ни	1	4
293	лучшем случае	1	4
294	и ее	2	4
295	все что	1	3
296	даны в	2	3
297	переходит в	1	3
298	его с	2	3
299	ним и	3	3
300	смысле слова	1	3
301	в форме	1	3
302	и то	2	3
303	и свой	2	3
304	нами в	2	3
305	автор и	1	3
306	в духе	1	3
307	в первом	1	3
308	и единство	3	3
309	по всей	1	3
310	тем что	3	3
311	в составе	2	3
312	в корне	3	3
313	жизни в	5	3
314	где она	2	3
315	правда не	1	3
316	предмета и	1	3
317	мир и	1	3
318	этот процесс	1	3
319	от этого	2	3
320	действительности в	2	3
321	отличается от	1	3
322	со всех	1	3
323	было бы	8	3
324	как это	1	3
325	не должно	3	3
326	но лишь	7	3
327	сознания в	2	3
328	из себя	11	3
329	не могло	1	3
330	в этой	2	3
331	людей и	3	3
332	и до	1	3
333	на границе	1	3
334	как оно	2	3
335	а лишь	3	3
336	в эту	1	3
337	если мы	1	3
338	такая же	1	3
339	в сознании	2	3
340	но эта	6	3
341	этого слова	2	3
342	и связанных	1	3
343	только с	3	3
344	как если	1	3
345	еще на	1	3
346	в чужой	1	3
347	именно к	1	3
348	должно быть	6	3
349	время и	5	3
350	на том	1	3
351	различия между	1	3
352	не была	1	3
353	чем в	1	3
354	и равно	1	3
355	его от	1	3
356	и единого	1	3
357	и где	1	3
358	дело в	2	3
359	тому что	2	3
360	в стороне	1	3
361	и единственным	1	3
362	возможно и	1	3
363	не есть	22	3
364	на все	1	3
365	между собой	1	3
366	нисколько не	4	3
367	это было	2	3
368	но уже	1	3
369	и это	12	3
370	не был	1	3
371	другом случае	1	3
372	основе его	1	3
373	смысл и	6	3
374	и оценок	1	3
375	потому что	2	3
376	и тем	3	3
377	во второй	1	3
378	на нем	2	3
379	конечно в	2	3
380	лишь как	3	3
381	не выходит	1	3
382	подход к	1	3
383	к этому	2	3
384	такой же	1	3
385	включает в	2	3
386	менее всего	6	3
387	нуждается в	1	3
388	или иного	3	3
389	ведь и	1	3
390	себе как	2	3
391	того или	3	3
