N	3gram	Bakhtin_Fr	Russkaja
1	друг с другом	2	14
2	то же время	14	10
3	в то же	14	10
4	с точки зрения	5	9
5	в том что	8	7
6	на самом деле	4	6
7	для того чтобы	8	6
8	до сих пор	3	5
9	не может быть	4	4
10	более или менее	2	4
11	быть самим собой	2	4
12	и если в	1	3
13	той или иной	1	3
14	в конце концов	1	3
15	вместе с тем	2	3
16	можно было бы	2	3
17	в данном случае	4	3
18	в лучшем случае	1	3
19	и то что	1	3
20	и не может	1	3
21	что он не	1	2
22	в значительной мере	1	2
23	тогда когда они	1	2
24	в большинстве случаев	5	2
25	они принадлежат к	1	2
26	о том что	5	2
27	а следовательно и	1	2
28	в другом случае	1	2
29	друг от друга	1	2
30	во всех областях	1	1
31	в самом деле	2	1
32	и ярким представителем	1	1
33	лишь тогда когда	1	1
34	и как бы	2	1
35	и в частности	1	1
36	и с точки	2	1
37	дело в том	4	1
38	является не только	1	1
39	не только для	2	1
40	он еще не	1	1
41	но в то	6	1
42	это конечно не	4	1
43	мы уже знаем	1	1
44	это значило бы	1	1
45	что он может	1	1
46	уже знаем что	1	1
47	том числе и	3	1
48	не подлежит сомнению	1	1
49	до известной степени	4	1
50	так же как	4	1
51	и только в	1	1
52	и таким образом	1	1
53	церкви и не	1	1
54	по отношению к	1	1
55	и прежде всего	4	1
56	только для того	2	1
57	от того что	1	1
58	и вот в	1	1
59	во всех этих	2	1
60	и в других	1	1
61	с самого начала	3	1
62	на том же	1	1
63	совершенно чуждый и	1	1
64	же время она	1	1
65	но на самом	1	1
66	и что в	1	1
67	нельзя понимать как	1	1
68	и того же	1	1
69	но мы уже	1	1
70	никогда не был	1	1
71	совершенно ясно что	1	1
72	неразрывно связаны с	1	1
73	на первый взгляд	1	1
74	к участию в	1	1
75	он не может	1	1
76	в связи с	5	1
77	то же самое	3	1
78	в том же	1	1
79	же время в	1	1
80	в том числе	6	1
81	тем не менее	1	1
82	от церкви и	1	1
83	только то что	1	1
84	в другом месте	3	1
85	это то же	1	1
86	свидетельствуют о том	1	1
87	говорить о том	1	1
88	в этом отношении	7	1
89	в свою очередь	1	1
90	но вряд ли	1	1
91	это и есть	2	1
92	так же и	1	1
93	в его целом	1	1
94	в значительной степени	1	1
95	на этот вопрос	1	1
96	этого слова но	1	1
97	так как оно	1	1
98	к тому же	3	1
99	все они имеют	1	1
100	одного и того	1	1
101	потому что они	1	1
102	в полной мере	1	1
103	нечего и говорить	1	1
