N	3gram	Losev_Dial	Vladivir
1	в том что	12	29
2	о том что	6	22
3	тем не менее	3	18
4	что же касается	1	14
5	и то что	1	14
6	в то время	2	13
7	дело в том	1	13
8	во всяком случае	3	12
9	в связи с	3	12
10	содержит в себе	5	11
11	более или менее	5	11
12	в конце концов	4	11
13	к тому же	2	11
14	не может быть	4	10
15	в то же	7	10
16	вместе с тем	1	10
17	с точки зрения	18	10
18	то что он	1	9
19	в этом смысле	4	9
20	как раз и	1	9
21	то же время	8	9
22	на то что	4	8
23	никогда не был	1	7
24	точно так же	3	7
25	это значит что	16	7
26	в это время	1	7
27	так или иначе	3	6
28	как это мы	2	6
29	само по себе	7	6
30	в данном случае	1	6
31	том что в	1	6
32	с другой стороны	7	6
33	и в этом	4	6
34	никакого отношения к	1	6
35	том что он	1	6
36	ничего не говорит	4	5
37	ни в каких	1	5
38	но даже и	1	5
39	и в то	3	5
40	и в том	1	5
41	не говоря уже	1	5
42	в сравнении с	1	5
43	не только в	2	5
44	то время как	2	5
45	что и в	1	5
46	еще и сейчас	1	4
47	не содержит в	1	4
48	можно сказать что	6	4
49	говоря уже о	1	4
50	для того чтобы	1	4
51	в этом отношении	2	4
52	сам по себе	8	4
53	сказать что в	1	4
54	и вместе с	1	4
55	то это значит	3	4
56	и т д	28	4
57	в том чтобы	1	4
58	по крайней мере	11	4
59	в себе и	1	4
60	и ни в	2	4
61	не что иное	4	4
62	мы будем говорить	1	4
63	вовсе не есть	3	4
64	можно было бы	4	4
65	что иное как	4	4
66	с одной стороны	3	4
67	что он не	2	3
68	ни в каком	9	3
69	и больше ничего	1	3
70	кроме того и	1	3
71	в самом деле	3	3
72	не в том	2	3
73	то в чем	3	3
74	ничего общего с	3	3
75	по себе в	1	3
76	иметь в виду	4	3
77	и в отношении	1	3
78	а в том	1	3
79	даже больше того	2	3
80	это вовсе не	2	3
81	к тому что	3	3
82	самом же деле	2	3
83	только то что	6	3
84	на самом же	2	3
85	но это не	2	3
86	ко всему этому	1	3
87	не имеет никакого	3	3
88	несмотря на все	1	3
89	мы должны сказать	1	3
90	только в том	1	3
91	должны сказать что	1	3
92	хотя и не	1	3
93	субъекта и объекта	4	3
94	и в частности	4	3
95	так что в	1	3
96	с самого начала	2	3
97	в первую очередь	1	3
98	и в смысле	1	3
99	что несмотря на	1	3
100	так же как	1	2
101	нельзя сказать что	3	2
102	одной стороны и	3	2
103	имеет ничего общего	3	2
104	и не в	1	2
105	то что это	1	2
106	то что с	1	2
107	об этом не	1	2
108	у него и	1	2
109	в подлинном смысле	1	2
110	имеет никакого отношения	1	2
111	в таком случае	2	2
112	если иметь в	2	2
113	до сих пор	4	2
114	есть не что	3	2
115	с ним в	1	2
116	бросается в глаза	1	2
117	это нисколько не	1	2
118	так как это	2	2
119	мы уже знаем	4	2
120	не имеет ничего	3	2
121	не может не	1	2
122	в чем нуждается	1	2
123	но как раз	1	2
124	или по крайней	2	2
125	но что же	1	2
126	так как он	2	2
127	и не есть	1	2
128	он не был	1	2
129	а не только	1	2
130	не то что	1	2
131	те или иные	1	2
132	в себе черты	1	2
133	сих пор не	1	2
134	в том и	1	2
135	и тем не	1	2
136	вопрос об отношении	1	2
137	что это есть	1	2
138	как то что	1	2
139	свое учение о	2	2
140	ни в чем	2	2
141	отчет в том	1	2
142	и даже в	3	2
143	связи с этим	2	2
144	как это было	1	2
145	вплоть до последних	1	2
146	несмотря на свою	1	2
147	не было ни	1	2
148	но в то	1	2
149	его жизни в	1	2
150	так же и	1	2
151	одно и то	8	2
152	и то же	8	2
153	да и то	3	2
154	по одному тому	1	2
