N	2gram	Vygotskiy_	IolandNe
1	стр и	1	7
2	и с	5	3
3	что в	31	2
4	самого себя	2	2
5	он не	6	2
6	должен быть	1	2
7	бы что	4	2
8	и не	16	2
9	в этом	35	2
10	говорить о	1	1
11	все эти	9	1
12	для того	14	1
13	и очень	1	1
14	а в	7	1
15	понятий и	10	1
16	утверждает что	1	1
17	и та	1	1
18	что для	1	1
19	для него	6	1
20	не остается	1	1
21	вплоть до	1	1
22	при такой	1	1
23	тех же	2	1
24	тем что	12	1
25	не случайно	1	1
26	только что	5	1
27	бы его	1	1
28	животных у	1	1
29	от нее	4	1
30	и чрезвычайно	1	1
31	того же	12	1
32	с а	1	1
33	не так	1	1
34	введение в	1	1
35	и др	1	1
36	первую очередь	2	1
37	комплекс в	1	1
38	с другой	11	1
39	в целом	22	1
40	более чем	1	1
41	точно и	1	1
42	очевидно что	1	1
43	в эту	3	1
44	стороны он	2	1
45	другой стороны	5	1
46	я не	1	1
47	с любым	1	1
48	могло бы	4	1
49	то и	5	1
50	в первую	2	1
51	что при	3	1
52	как только	1	1
53	если бы	12	1
54	отношению к	3	1
55	следующим образом	4	1
56	доказать что	1	1
57	по существу	4	1
58	и сам	4	1
59	того что	17	1
60	цель и	2	1
61	них не	1	1
62	а с	4	1
63	для других	2	1
64	по поводу	1	1
65	и тот	6	1
66	а также	6	1
67	так и	11	1
68	автора и	1	1
69	в основе	32	1
70	в значительной	1	1
71	оказывается для	1	1
72	без этого	2	1
73	от этого	6	1
74	того чтобы	15	1
75	бы в	5	1
76	не дает	2	1
77	а по	3	1
78	и в	38	1
79	его личности	1	1
80	видит в	2	1
81	никогда не	11	1
82	своего исследования	1	1
83	все это	8	1
84	по отношению	4	1
85	со всеми	9	1
86	на котором	3	1
87	комплекс не	4	1
88	нисколько не	3	1
89	то она	1	1
90	в них	3	1
