N	3gram	Nazirov_Vr	Poddanst
1	то же время	4	7
2	в то же	4	7
3	в том что	2	4
4	с точки зрения	2	3
5	заключается в том	1	2
6	и в то	1	2
7	не было бы	1	1
8	далеко не все	1	1
9	но в то	2	1
10	что уже в	1	1
11	не может быть	2	1
12	в этом смысле	1	1
13	и то что	1	1
14	гоголя и достоевского	1	1
15	но в этом	1	1
16	во всяком случае	1	1
17	с другой стороны	1	1
18	в известном смысле	1	1
19	и не может	1	1
20	что из всех	1	1
21	тем более что	1	1
22	так же как	1	1
23	не только как	1	1
24	в – годах	1	1
25	и в этом	1	1
