N	2gram	Losev_Vlad	UchenyiS
1	и в	56	14
2	не только	35	10
3	а не	5	10
4	и не	33	8
5	прежде всего	5	8
6	то что	30	7
7	вот почему	1	7
8	в этом	30	7
9	не может	12	7
10	может быть	12	6
11	хотя бы	5	5
12	то же	10	5
13	и только	1	5
14	все это	7	5
15	с другой	3	4
16	в этой	4	4
17	в россии	7	4
18	конечно не	5	4
19	что такое	3	4
20	но и	26	4
21	в их	2	4
22	бы то	2	3
23	было бы	7	3
24	не о	1	3
25	и то	13	3
26	только к	3	3
27	этой области	2	3
28	это не	3	3
29	как и	7	3
30	то ни	2	3
31	для него	16	3
32	в своей	7	3
33	все же	11	3
34	ни было	1	3
35	в области	3	3
36	в частности	4	3
37	в то	15	3
38	не как	1	3
39	у нас	11	3
40	другой стороны	3	3
41	не следует	1	3
42	но в	19	3
43	же время	7	3
44	литературы и	2	2
45	таким образом	6	2
46	в самом	3	2
47	выдвигает на	1	2
48	если не	4	2
49	не приходится	1	2
50	его и	2	2
51	если бы	2	2
52	самом деле	1	2
53	не в	12	2
54	это было	9	2
55	бы и	1	2
56	для всех	2	2
57	и с	27	2
58	их и	1	2
59	же самое	1	2
60	одним из	3	2
61	крайней мере	1	2
62	но не	5	2
63	по существу	4	2
64	мы и	4	2
65	тем что	2	2
66	более чем	1	2
67	в себе	5	2
68	в его	18	2
69	в конце	22	2
70	даже и	12	2
71	мы не	2	2
72	ничего не	4	2
73	всех этих	3	2
74	что она	2	2
75	не есть	4	2
76	что он	22	2
77	конце концов	6	2
78	на эту	3	2
79	этом отношении	2	2
80	о чем	6	2
81	как раз	7	2
82	интереса к	3	2
83	не могут	2	2
84	а как	1	2
85	что мы	2	2
86	сводится к	1	2
87	в том	26	2
88	это уже	1	2
89	том что	22	2
90	и через	3	2
91	неудивительно что	1	2
92	нас в	2	2
93	но это	6	2
94	этом смысле	4	2
95	но даже	3	2
96	и для	4	2
97	в итоге	1	2
98	что и	6	2
99	к области	1	2
100	в сторону	1	2
101	не столько	4	2
102	смысле этого	1	2
103	с его	15	2
104	и у	4	2
105	на первый	4	2
106	по крайней	1	2
107	только в	11	2
108	по себе	3	2
109	что все	2	2
