N	2gram	Tiupa_Anal	EvropaiE
1	и в	36	37
2	в отношении	2	32
3	в пределах	5	25
4	точки зрения	3	23
5	что в	15	21
6	не только	40	18
7	с точки	2	17
8	в то	8	16
9	то же	7	15
10	хотя бы	1	15
11	в качестве	22	14
12	и не	14	14
13	но и	26	14
14	же время	7	14
15	в своем	7	14
16	но в	8	14
17	в этом	19	12
18	в том	16	11
19	в их	7	11
20	так и	19	10
21	в себе	7	9
22	т е	2	9
23	прежде всего	7	9
24	только в	9	9
25	все более	1	9
26	так же	1	9
27	не может	3	9
28	отнюдь не	7	9
29	с одной	3	8
30	в ее	5	8
31	в своей	12	8
32	одной стороны	3	8
33	между тем	8	8
34	было бы	6	8
35	к тому	10	8
36	того что	4	7
37	а также	5	7
38	как и	27	7
39	между прочим	1	7
40	по своему	3	7
41	с другой	10	7
42	нам кажется	3	7
43	то есть	15	6
44	с этой	1	6
45	и даже	12	6
46	вслед за	1	6
47	и на	5	6
48	том что	19	6
49	вовсе не	2	6
50	во всех	4	6
51	может быть	19	6
52	того чтобы	1	6
53	для того	1	6
54	стороны и	1	6
55	то что	5	6
56	как бы	14	6
57	на то	1	6
58	в той	3	5
59	как нам	6	5
60	тем самым	8	5
61	не в	9	5
62	но не	13	5
63	от этого	1	5
64	со стороны	12	5
65	и потому	3	5
66	в течение	1	5
67	же как	1	5
68	в частности	19	5
69	как мы	4	5
70	одной из	6	5
71	столь же	7	5
72	но если	1	5
73	и по	3	5
74	в перспективе	1	4
75	в самом	7	4
76	то в	4	4
77	мы не	4	4
78	даже в	6	4
79	того или	6	4
80	для нас	1	4
81	иными словами	1	4
82	не на	1	4
83	само по	1	4
84	именно в	4	4
85	европейской цивилизации	1	4
86	по себе	6	4
87	не имеет	1	4
88	тем более	3	4
89	той или	6	4
90	в полной	3	4
91	вопрос о	1	4
92	но даже	1	4
93	то ни	1	4
94	или иного	5	4
95	как это	7	4
96	несмотря на	2	4
97	к ней	1	4
98	в ней	2	4
99	сказать что	2	4
100	можно сказать	5	4
101	во многих	2	4
102	или иной	9	4
103	мира в	1	4
104	на всем	1	4
105	независимо от	1	4
106	и к	7	3
107	говорит о	3	3
108	применении к	1	3
109	в применении	1	3
110	этом отношении	3	3
111	по общему	1	3
112	ее в	2	3
113	что и	10	3
114	в результате	6	3
115	или иную	1	3
116	мы можем	2	3
117	не является	5	3
118	себе не	1	3
119	можно было	2	3
120	как было	1	3
121	на себя	5	3
122	не более	2	3
123	дело в	3	3
124	тем что	3	3
125	очевидно что	2	3
