N	3gram	Bakhtin_fo	KulturaY
1	и т п	18	93
2	и т д	3	42
3	для того чтобы	11	38
4	с точки зрения	9	36
5	в том что	4	33
6	в самом деле	1	29
7	во всяком случае	1	19
8	с другой стороны	1	17
9	в зависимости от	1	16
10	до сих пор	4	14
11	по отношению к	3	13
12	в связи с	12	12
13	и в самом	1	11
14	не может быть	4	11
15	в этом отношении	5	11
16	о том что	2	10
17	вместе с тем	3	9
18	на самом деле	1	8
19	не только в	6	8
20	в этом случае	1	8
21	в свою очередь	1	7
22	только в том	1	7
23	с одной стороны	3	7
24	в отличие от	3	6
25	к тому же	2	6
26	то же время	13	6
27	той или иной	3	6
28	этой точки зрения	1	6
29	в то же	10	6
30	т п но	1	6
31	с этой точки	1	5
32	и пр и	1	5
33	так и в	1	5
34	в соответствии с	2	5
35	в данном случае	2	5
36	в данном отношении	1	5
37	т п все	1	5
38	и в этом	2	5
39	но все же	3	5
40	т п в	1	5
41	тем более что	2	5
42	как мы видели	1	5
43	мы говорим о	1	4
44	смысле этого слова	1	4
45	все же и	1	4
46	и того же	6	4
47	к тому что	1	4
48	к вопросу о	2	4
49	пр и пр	1	4
50	одного и того	6	4
51	сих пор еще	1	4
52	так же как	2	4
53	именно в том	1	4
54	и в области	1	4
55	тот или иной	1	4
56	на этой почве	1	3
57	о том как	2	3
58	в той же	1	3
59	и тогда когда	1	3
60	но для того	2	3
61	совершенно ясно что	1	3
62	в конце концов	1	3
63	и вместе с	1	3
64	точки зрения в	1	3
65	тех случаях когда	1	3
66	потому что не	1	3
67	как раз и	2	3
68	с тем что	2	3
69	в тех случаях	1	3
70	сама по себе	1	3
71	все это не	1	3
72	ясно что в	1	3
73	в то время	3	3
74	что и в	1	3
75	только для того	1	3
76	не могут быть	1	3
77	уже не только	1	3
78	в той или	2	2
79	рано или поздно	1	2
80	чтобы покончить с	1	2
81	это не значит	1	2
82	мы наблюдаем в	1	2
83	в противоречии с	1	2
84	и прежде всего	4	2
85	а следовательно и	3	2
86	в большинстве случаев	2	2
87	находится в противоречии	1	2
88	того чтобы не	1	2
89	здесь прежде всего	1	2
90	если бы например	1	2
91	не выходит за	1	2
92	когда мы говорим	1	2
93	в том числе	7	2
94	и в других	4	2
95	друг от друга	2	2
96	здесь идет о	1	2
97	в строгом смысле	2	2
98	по природе своей	2	2
99	и то же	4	2
100	может быть только	3	2
101	по своему содержанию	1	2
102	сами по себе	2	2
103	одних и тех	2	2
104	и тех же	2	2
105	в особенности же	1	2
106	между тем как	1	2
107	по себе они	1	2
108	и в то	7	2
109	так как он	2	2
110	в буквальном смысле	2	2
111	и в том	1	2
112	в ее целом	2	2
113	в одном из	1	2
114	но он не	2	2
115	а так как	1	2
116	но кроме того	1	2
117	это вовсе не	1	2
118	в данный момент	1	2
119	не до конца	1	2
120	в другом месте	2	2
121	прежде всего в	3	2
122	можно сказать что	1	2
123	по сравнению с	3	2
124	того чтобы быть	1	2
125	до некоторой степени	1	2
126	и в особенности	5	2
127	но дело не	1	2
128	что на самом	1	2
129	роман в письмах	1	2
130	мы имеем в	2	2
131	большую роль в	2	2
132	сюда же относится	1	2
133	в широком смысле	3	2
134	а вовсе не	1	2
135	самом деле может	1	2
136	также и в	3	2
137	ровно ничего не	1	2
138	сводится к тому	1	2
139	потому что они	1	2
140	может быть и	4	2
141	это имеет место	1	1
142	уст в уста	1	1
143	данный момент в	1	1
144	это и было	1	1
145	все то что	2	1
146	он имеет в	1	1
147	смысле слова и	1	1
148	о которой мы	1	1
149	сих пор точно	1	1
150	одном ряду с	1	1
151	точка зрения на	1	1
152	и по другим	1	1
153	для борьбы с	1	1
154	в литературе и	1	1
155	подлинную природу вещей	1	1
156	как раз не	1	1
157	между словом и	1	1
158	в соображение что	1	1
159	на том что	1	1
160	она может иметь	1	1
161	в сущности все	1	1
162	то что не	1	1
163	из них возможны	1	1
164	но и на	1	1
165	наряду с этим	3	1
166	в первый раз	1	1
167	до наших дней	1	1
168	по аналогии со	1	1
169	если они не	1	1
170	и гораздо более	1	1
171	для себя и	1	1
172	все это для	1	1
173	себе все эти	1	1
174	есть еще и	1	1
175	здесь как мы	1	1
176	здесь же мы	1	1
177	себе в этих	1	1
178	не обходится почти	1	1
179	самосознание вовсе не	1	1
180	они не могут	2	1
181	в большом количестве	1	1
182	их удельный вес	1	1
183	в своем чистом	1	1
184	или должно быть	1	1
185	рядом с этим	1	1
186	значение все это	1	1
187	широком смысле слова	1	1
188	все более и	2	1
189	в особенности в	2	1
190	не могло не	1	1
191	нашей точки зрения	3	1
192	и вступают в	1	1
193	не для того	3	1
194	как в самом	1	1
195	как мы видим	2	1
196	один из самых	1	1
197	так как на	1	1
198	по аналогии с	1	1
199	в одном ряду	1	1
200	тогда когда они	1	1
201	потому что этого	1	1
202	т п ведь	1	1
203	том что в	1	1
204	однако не только	1	1
205	здесь как бы	1	1
206	принципиально отличается от	1	1
207	деле может быть	1	1
208	ведь в этом	1	1
209	если бы дело	1	1
210	роль в истории	2	1
211	такие слова как	1	1
212	этот вопрос в	1	1
213	совершенно независимо от	1	1
214	что в этом	1	1
215	с этим мы	1	1
216	с этим в	2	1
217	то же самое	1	1
218	есть одна из	1	1
219	до того что	1	1
220	значении этого слова	1	1
221	и говорить о	1	1
222	на границе между	1	1
223	но все это	1	1
224	в стороне от	1	1
225	в условиях совершенно	1	1
226	но в этом	2	1
227	или иной степени	1	1
228	и еще не	1	1
229	одном и том	1	1
230	не о чем	1	1
231	все без исключения	1	1
232	в значительной степени	1	1
233	а также и	3	1
234	в них не	1	1
235	из одних и	1	1
236	само собой разумеется	2	1
237	те же что	2	1
238	с нашей точки	3	1
239	мы видели в	1	1
240	как своего рода	1	1
241	себя прежде всего	1	1
242	особенно важное значение	2	1
243	которой мы говорили	1	1
244	и том же	1	1
245	обходится почти ни	1	1
246	мы находим в	1	1
247	прежде всего на	1	1
248	в погоне за	1	1
249	и не для	1	1
250	но и в	5	1
251	к тому времени	2	1
252	и для других	1	1
253	каждый из этих	1	1
254	нельзя забывать что	1	1
255	но она не	1	1
256	то же значение	1	1
257	это не имеет	1	1
258	в гл iii	1	1
259	в связи со	1	1
260	необходимо указать на	1	1
261	в это время	1	1
262	имеем в виду	3	1
263	но в нем	1	1
264	совершенно не понятое	1	1
265	узком смысле слова	1	1
266	и в поэзии	2	1
267	в себе и	1	1
268	как и в	3	1
269	к выводу что	1	1
270	еще не было	1	1
271	и в обычном	1	1
272	и целый ряд	1	1
273	связи с этим	4	1
274	т п наконец	2	1
275	ее целом в	1	1
276	по существу не	2	1
277	более и более	2	1
278	что в этих	1	1
279	чтобы они могли	1	1
280	и может быть	1	1
281	но к этому	1	1
282	по земле в	1	1
283	в том самом	1	1
284	то время как	2	1
285	все для того	1	1
286	в действии и	1	1
287	практике и в	1	1
288	разрешения этой проблемы	1	1
289	другой стороны в	1	1
290	и в частности	2	1
291	дело в том	2	1
292	одно и то	4	1
293	оно ничего не	1	1
294	встречаем например такие	1	1
295	и все его	2	1
296	определенным кругом читателей	1	1
297	что дело здесь	1	1
298	же что и	3	1
299	и ничего не	1	1
300	в одном и	1	1
301	в этом ее	1	1
302	в одно и	3	1
303	он не знает	1	1
304	в котором в	1	1
305	из этих форм	1	1
306	во всех этих	2	1
307	которые могут быть	1	1
308	что значит в	1	1
309	главным образом в	1	1
310	та или иная	1	1
311	так что в	1	1
312	есть прежде всего	1	1
313	с самого начала	3	1
314	и назвать его	1	1
315	что касается до	1	1
316	выходит за пределы	1	1
317	или иной форме	1	1
318	дело идет об	1	1
319	и все же	1	1
320	как мы сказали	1	1
321	то время когда	1	1
322	здесь в самом	1	1
323	на этом же	1	1
324	и до конца	2	1
325	здесь не место	2	1
326	из уст в	1	1
327	то увидим что	1	1
328	и не только	2	1
329	явления как мы	1	1
330	в виду что	2	1
331	есть по существу	1	1
332	под тем же	1	1
333	его все же	1	1
