N	4gram	Tiupa_Lite	Problemy
1	в то же время	12	26
2	но в то же	1	11
3	и в то же	1	7
4	бы то ни было	1	6
5	то же время не	2	6
6	к себе самому и	1	5
7	в том что он	1	5
8	одно и то же	1	3
9	дело в том что	2	2
10	но с другой стороны	3	2
11	какой бы то ни	1	2
12	именно в том что	1	1
13	то же время он	1	1
14	и прежде всего в	1	1
15	с одной стороны и	1	1
16	и того же слова	1	1
17	но в большинстве случаев	1	1
18	все более и более	1	1
19	и не может быть	1	1
20	не может и не	1	1
21	не к другому а	1	1
22	одного и того же	1	1
23	каковы бы ни были	1	1
24	собственного сознания а в	1	1
25	во всяком случае в	1	1
