N	2gram	Medvedev_B	Marksizm
1	и в	1	63
2	и не	2	55
3	таким образом	1	38
4	в пределах	1	31
5	не только	1	29
6	прежде всего	1	24
7	так и	1	23
8	а не	1	22
9	все же	1	17
10	отнюдь не	1	15
11	в данном	1	14
12	в своей	1	13
13	что в	1	13
14	было бы	1	13
15	и на	1	11
16	еще не	1	11
17	на самом	1	11
18	в ней	2	11
19	во всяком	1	10
20	с другой	1	10
21	совершенно не	1	10
22	и потому	1	10
23	и более	1	9
24	одной из	1	9
25	кроме того	1	8
26	другой стороны	1	8
27	не было	1	8
28	за пределы	1	8
29	у нас	3	8
30	и ее	1	8
31	до конца	1	7
32	далеко не	1	7
33	между ними	1	6
34	всяком случае	1	6
35	должна быть	1	6
36	все это	2	6
37	вопрос о	1	6
38	тем более	1	5
39	точке зрения	1	4
40	что все	1	4
41	в области	1	4
42	говорить о	1	3
43	значительной степени	1	3
44	в научном	1	3
45	не о	1	3
46	можно было	2	3
47	является только	1	3
48	говорить об	1	3
49	не все	1	3
50	в значительной	1	3
51	не следует	1	3
52	и о	1	3
53	по нашему	1	3
54	от значения	1	2
55	в речи	1	2
56	почти совершенно	1	2
57	не вполне	1	2
58	то как	1	2
59	установка на	1	2
60	крайней мере	1	2
61	и во	1	2
62	всего в	1	2
63	также не	1	2
64	не то	2	2
65	по крайней	1	2
66	же не	1	2
67	в эпоху	1	2
68	его не	1	2
69	со всем	1	1
70	из ее	1	1
71	и нет	1	1
72	нашему мнению	1	1
73	работа по	1	1
74	этим вопросам	1	1
75	словесного творчества	1	1
76	о них	1	1
77	оно сплошь	1	1
78	бы только	1	1
79	не укладывается	1	1
80	представляется нам	1	1
81	не учтен	1	1
82	бы больше	1	1
83	включать в	1	1
84	то нельзя	1	1
85	имеющихся в	1	1
86	достаточно точно	1	1
87	также что	1	1
88	еще лучше	1	1
89	творчества и	1	1
90	только одной	1	1
91	выходит за	1	1
92	такое определение	1	1
93	и полнее	1	1
94	можно в	1	1
95	как часть	1	1
96	и полно	1	1
97	функции их	1	1
98	забывать что	1	1
99	как всякий	1	1
100	по отдельным	1	1
101	короче говоря	1	1
102	на которой	1	1
103	по теории	1	1
104	он свою	1	1
105	самостоятельная и	1	1
106	значение слова	1	1
107	теоретической и	1	1
108	к ней	1	1
109	как будто	1	1
