N	3gram	Tiupa_Anal	EvropaiE
1	с точки зрения	6	16
2	в то же	9	15
3	то же время	7	14
4	в отношении к	1	12
5	с одной стороны	6	8
6	в том что	13	6
7	этой точки зрения	2	5
8	для того чтобы	3	5
9	с этой точки	2	5
10	того или иного	3	4
11	той или иной	8	4
12	не только в	3	4
13	то ни было	3	4
14	бы то ни	3	4
15	и в этом	4	4
16	друг с другом	2	3
17	в той или	3	3
18	в общем строе	1	3
19	в применении к	1	3
20	можно было бы	1	3
21	в этом смысле	3	3
22	хотя бы и	1	3
23	между тем в	1	3
24	во всяком случае	1	3
25	можно сказать что	1	3
26	в известном смысле	2	3
27	в этом отношении	5	3
28	сказать что в	1	2
29	и в частности	1	2
30	того что в	2	2
31	приводит нас к	1	2
32	но в то	2	2
33	не может быть	17	2
34	на то что	2	2
35	в данном случае	3	2
36	прежде всего в	2	2
37	заключается в том	1	2
38	только в том	1	2
39	во второй половине	1	2
40	в свою очередь	1	2
41	с другой стороны	2	2
42	между прочим и	1	2
43	не более чем	4	2
44	из того что	3	2
45	тому или иному	2	2
46	в частности в	2	2
47	или хотя бы	1	2
48	не говоря уже	1	2
49	с другой и	1	1
50	быть сведена к	1	1
51	или меньшей степени	1	1
52	значение лишь в	1	1
53	представляет собой своеобразный	1	1
54	в противном случае	1	1
55	или иначе говоря	1	1
56	в том случае	1	1
57	в качестве объекта	1	1
58	и та же	1	1
59	то есть в	2	1
60	то его можно	1	1
61	смысле этого слова	1	1
62	большей или меньшей	4	1
63	к тому или	1	1
64	речь идет о	1	1
65	всех этих случаях	1	1
66	не сводится к	2	1
67	то или иное	1	1
68	может быть сведена	1	1
69	а не к	1	1
70	к тому что	2	1
71	но и в	3	1
72	том смысле что	1	1
73	том числе и	1	1
74	в полной мере	3	1
75	значение только в	1	1
76	тех или иных	3	1
77	и тем самым	2	1
78	можно утверждать что	1	1
79	в соответствии с	2	1
80	во всех этих	1	1
81	не может остаться	1	1
82	в том смысле	1	1
83	в отличие от	8	1
84	в себе в	1	1
85	несмотря на то	1	1
86	в себе не	1	1
87	как и его	1	1
88	что как бы	1	1
89	и та и	1	1
90	и того же	2	1
91	тех случаях когда	1	1
92	один и тот	1	1
93	та и другая	1	1
94	не могут быть	2	1
95	то и другое	1	1
96	следует оговориться что	2	1
97	ли он в	1	1
98	что же касается	1	1
99	что в качестве	1	1
100	выходит за пределы	1	1
101	в связи с	2	1
102	мы видим как	1	1
103	учитывая то что	1	1
104	как это случается	1	1
105	и не в	4	1
106	том случае если	1	1
107	в том же	1	1
108	и тот же	2	1
109	только в качестве	1	1
110	отнюдь не исключает	1	1
111	в том числе	3	1
112	они относятся к	1	1
113	того что мы	1	1
114	не имеет никаких	1	1
115	и в качестве	1	1
116	говоря уже о	1	1
117	несмотря на его	1	1
118	только тогда когда	1	1
119	более или менее	2	1
120	также и в	1	1
121	в значительной степени	1	1
122	на этот раз	1	1
123	на этот вопрос	1	1
124	хотя бы с	1	1
125	в большей или	1	1
126	но и для	1	1
127	бы столь же	1	1
128	в тех случаях	1	1
129	к тому же	6	1
130	одна и та	1	1
131	одного и того	2	1
