N	2gram	Losev_Vesc	PoTuStor
1	может быть	37	17
2	и в	44	16
3	и пр	10	12
4	таким образом	16	9
5	в этом	17	9
6	прежде всего	17	9
7	мы можем	4	9
8	и только	11	9
9	совершенно не	11	8
10	точки зрения	10	8
11	и с	11	8
12	не может	44	8
13	и его	4	8
14	не только	48	7
15	сказать что	21	7
16	с его	2	7
17	и к	1	6
18	при этом	1	6
19	для него	8	6
20	самом деле	7	6
21	я и	8	6
22	и это	17	6
23	конечно не	2	6
24	с точки	6	6
25	что такое	20	5
26	ни в	11	5
27	все эти	5	5
28	в чем	10	5
29	еще не	12	5
30	как бы	19	5
31	ту сторону	1	5
32	отношение к	4	5
33	до сознания	1	5
34	нуждается в	2	5
35	в него	1	5
36	а потому	2	4
37	все что	3	4
38	для всех	1	4
39	и на	2	4
40	так как	17	4
41	все это	7	4
42	в его	5	4
43	жизни человека	1	4
44	мысли и	5	4
45	так и	4	4
46	на самом	1	4
47	его в	8	4
48	и даже	12	4
49	и все	6	4
50	с ними	4	4
51	только в	23	4
52	и не	57	4
53	но мы	1	4
54	можно сказать	8	4
55	с самого	1	4
56	но и	19	4
57	хотя бы	9	4
58	и может	3	4
59	и их	11	4
60	в этой	4	4
61	как мы	6	4
62	отнюдь не	8	4
63	в нем	6	4
64	с ее	10	4
65	в один	1	4
66	и ее	19	4
67	и наконец	1	4
68	но в	8	4
69	и вот	4	3
70	до сих	1	3
71	на язык	3	3
72	в основном	1	3
73	к себе	4	3
74	в том	15	3
75	мы знаем	1	3
76	с другими	8	3
77	с их	1	3
78	на этой	2	3
79	между ними	6	3
80	их в	6	3
81	отношения к	3	3
82	этом смысле	2	3
83	учение о	2	3
84	и как	12	3
85	что в	11	3
86	и она	3	3
87	том что	13	3
88	вместе с	4	3
89	на этом	4	3
90	в этих	1	3
91	сравнению с	7	3
92	и оно	4	3
93	вся культура	1	3
94	во всех	5	3
95	но оно	3	3
96	во всяком	4	3
97	и потому	8	3
98	реальности и	4	3
99	в основе	4	3
100	и притом	4	3
101	только как	2	3
102	по сравнению	8	3
103	сознательное и	1	3
104	по крайней	10	3
105	как это	4	3
106	только на	3	3
107	в одном	6	3
108	даже не	8	3
109	пр и	1	3
110	чем не	2	3
111	а в	6	3
112	то что	47	3
113	на две	2	3
114	могут быть	1	3
115	и есть	40	3
116	сих пор	1	3
117	в общем	1	3
