N	4gram	Vygotskiy_	slovoVRo
1	с одной стороны и	1	4
2	не выходит за пределы	1	3
3	одно и то же	6	3
4	с этой точки зрения	4	2
5	и то же слово	3	2
6	в то время как	5	2
7	бы они ни были	1	2
8	или во всяком случае	1	2
9	она не может быть	1	1
10	в значительной степени и	1	1
11	в этом случае в	1	1
12	одни и те же	3	1
13	в зависимости от этого	2	1
14	в том случае если	2	1
15	их глубоком отличии от	1	1
16	в том что она	1	1
17	ни при каких условиях	2	1
18	во всяком случае не	1	1
19	так как если бы	1	1
20	мышления и речи в	2	1
21	на каждом шагу в	1	1
22	тем как мы уже	1	1
23	тот факт что уже	1	1
24	в том что в	3	1
25	ни в какой степени	2	1
26	мы уже говорили что	2	1
27	оно не может быть	1	1
28	одной и той же	5	1
29	в связи с этим	2	1
30	и даже там где	1	1
31	том что он не	1	1
32	в основе его лежит	1	1
33	в том числе и	3	1
34	до сих пор достаточно	1	1
35	между тем как мы	1	1
36	в том что он	1	1
37	и более или менее	1	1
38	с самого начала в	1	1
39	все более и более	1	1
40	бы то ни было	1	1
41	же как и в	1	1
42	и с точки зрения	1	1
43	заключается в том чтобы	2	1
44	каковы бы они ни	1	1
45	одну и ту же	1	1
46	друг с другом в	1	1
47	соотносятся друг с другом	1	1
48	он имеет дело с	1	1
49	во всех этих случаях	1	1
50	может объединять в себе	1	1
51	с той или иной	1	1
52	так же как и	6	1
53	образов с одной стороны	1	1
54	как мы уже говорили	3	1
55	не только в смысле	1	1
