N	3gram	Medvedev_U	PoTuStor
1	до сих пор	2	3
2	не может быть	4	3
3	по крайней мере	2	3
4	в этом смысле	2	3
5	мы полагаем что	1	3
6	можно сказать что	1	3
7	в конечном счете	4	2
8	не могут быть	2	2
9	в самом деле	2	2
10	он может быть	1	1
11	быть не может	1	1
12	деле есть ли	1	1
13	в том что	2	1
14	друг с другом	1	1
15	и быть не	1	1
16	он прежде всего	1	1
17	самом деле есть	1	1
18	все что угодно	1	1
19	и прежде всего	1	1
20	в данном случае	1	1
21	мы имеем в	1	1
22	и в итоге	1	1
23	а это уже	1	1
24	только при таком	1	1
25	конечно нет и	1	1
26	то ни было	3	1
27	имеем в виду	1	1
28	на первый взгляд	1	1
29	на своем месте	1	1
30	то же самое	2	1
31	нет и быть	1	1
32	сводится к следующему	1	1
33	конечном счете только	1	1
34	с одной стороны	1	1
35	на первый план	1	1
36	в этом отношении	2	1
37	бы то ни	3	1
38	но даже и	2	1
39	но именно этот	1	1
