N	2gram	Voloshinov	IolandNe
1	и с	5	3
2	что в	1	2
3	он не	2	2
4	должен быть	2	2
5	бы что	1	2
6	ничего не	8	2
7	и не	14	2
8	в этом	10	2
9	говорить о	1	1
10	какую роль	3	1
11	все эти	3	1
12	для того	9	1
13	достоевского тем	1	1
14	а в	5	1
15	и о	1	1
16	и та	1	1
17	что для	1	1
18	для него	3	1
19	не остается	1	1
20	не здесь	1	1
21	тех же	1	1
22	тем что	2	1
23	того же	1	1
24	нам в	3	1
25	художественного творчества	5	1
26	не так	3	1
27	жизни и	3	1
28	с другой	1	1
29	в целом	4	1
30	более чем	1	1
31	очевидно что	2	1
32	нее и	1	1
33	другой стороны	1	1
34	я не	1	1
35	себя в	4	1
36	произведения и	1	1
37	могло бы	1	1
38	в материале	2	1
39	что при	1	1
40	как только	4	1
41	если бы	4	1
42	отношению к	2	1
43	в руки	1	1
44	доказать что	1	1
45	в художественном	1	1
46	по существу	1	1
47	и сам	2	1
48	того что	4	1
49	а с	5	1
50	ненависть к	1	1
51	автор и	1	1
52	так и	7	1
53	в основе	3	1
54	в значительной	2	1
55	допустил бы	1	1
56	от этого	1	1
57	того чтобы	7	1
58	и без	4	1
59	другое дело	1	1
60	бы в	6	1
61	и в	42	1
62	никогда не	7	1
63	все это	4	1
64	по отношению	2	1
