N	3gram	Tiupa_Disk	EvropaiC
1	в том что	18	16
2	до сих пор	1	15
3	по отношению к	13	11
4	с точки зрения	3	8
5	более или менее	2	8
6	на то что	1	7
7	на самом деле	1	7
8	друг от друга	1	6
9	в самом деле	1	5
10	к тому же	4	5
11	не может быть	5	4
12	о том что	8	4
13	тем не менее	1	4
14	с другой стороны	4	4
15	в том случае	1	4
16	в этом случае	3	4
17	том случае если	1	4
18	вместе с тем	1	3
19	заключается в том	1	3
20	не в состоянии	1	3
21	в целом ряде	1	3
22	одного и того	4	3
23	в данном случае	6	3
24	и то что	2	3
25	и того же	4	3
26	в связи с	1	3
27	мы все же	1	2
28	время от времени	1	2
29	в том и	1	2
30	в свою очередь	3	2
31	во всяком случае	2	2
32	и может быть	3	2
33	во всех этих	1	2
34	двух или нескольких	1	2
35	друг на друга	1	2
36	заключает в себе	1	2
37	что же касается	4	2
38	он не может	1	2
39	как и в	3	2
40	таким же образом	1	2
41	в то же	7	2
42	как и все	1	2
43	а с другой	4	2
44	том что он	1	2
45	но все же	1	2
46	только то что	2	2
47	с одной стороны	12	2
48	то же время	9	2
49	и в том	1	2
50	на каждом шагу	1	1
51	не только по	1	1
52	лицо к которому	1	1
53	в научной литературе	1	1
54	друг друга и	1	1
55	все то что	1	1
56	то есть в	2	1
57	а потом и	2	1
58	только по отношению	1	1
59	дальше отстоит от	1	1
60	в этом направлении	1	1
61	мысль о том	1	1
62	в каждом индивидуальном	1	1
63	том и в	1	1
64	на русском языке	1	1
65	как и вообще	1	1
66	та или иная	1	1
67	из двух или	1	1
68	по крайней мере	3	1
69	и тому же	1	1
70	и в другом	1	1
71	из них в	1	1
72	или менее значительный	1	1
73	том или ином	1	1
74	так и от	1	1
75	в общих чертах	1	1
76	к одному из	1	1
77	в том числе	3	1
78	быть и не	1	1
79	только в том	2	1
80	не в том	3	1
81	свидетельствует о том	1	1
82	заключающие в себе	1	1
83	состоит в том	3	1
84	говоря уже о	2	1
85	не говоря уже	2	1
86	но при этом	3	1
87	именно в этой	1	1
88	существенно отличалась от	1	1
89	каждый из них	2	1
90	дело в том	3	1
91	данном случае не	1	1
92	одно и то	2	1
93	в этом пункте	1	1
94	как мы видели	1	1
95	между тем как	1	1
96	а позднее и	2	1
97	но для этого	1	1
98	том числе и	3	1
99	а потому и	1	1
100	состоит именно в	1	1
101	в том или	1	1
102	одному и тому	1	1
103	а в том	2	1
104	с самого начала	2	1
105	что во всех	1	1
106	и то же	2	1
107	одно из двух	1	1
108	и по своему	1	1
109	тех случаях когда	1	1
110	точки зрения на	1	1
111	на первый взгляд	1	1
112	а не в	2	1
113	ходе своего развития	1	1
114	то же самое	2	1
115	и все прочие	1	1
116	и все же	3	1
117	перед нами два	1	1
118	это не случайно	1	1
119	можно рассматривать как	1	1
120	несмотря на все	1	1
121	в различных пропорциях	1	1
122	в котором они	1	1
123	из того что	1	1
124	что входит в	1	1
125	никогда не было	1	1
126	в равной мере	1	1
127	нет и не	1	1
128	упускать из виду	2	1
129	пока еще не	3	1
130	уже одно это	1	1
131	тот или иной	2	1
132	в тех случаях	1	1
133	в другом случае	1	1
134	и не может	3	1
135	в этом последнем	1	1
136	именно в том	1	1
137	в чистом виде	1	1
