N	3gram	Ircho_Kome	Otkroven
1	у него в	1	5
2	к человеку и	1	4
3	для того чтобы	8	3
4	а не в	1	2
5	ни у кого	2	2
6	не может быть	1	2
7	у него не	1	2
8	но и в	1	2
9	нет ничего кроме	1	2
10	и никогда не	1	2
11	и в этом	1	2
12	что у него	1	2
13	любви к человеку	1	1
14	в самом начале	1	1
15	хотя и не	2	1
16	так и не	1	1
17	в этом огромном	1	1
18	о том что	7	1
19	в том что	15	1
20	друг с другом	3	1
21	утра до вечера	1	1
22	как например в	1	1
23	и все же	2	1
24	в самом деле	13	1
25	как будто бы	1	1
26	с тобой а	1	1
27	во всяком случае	3	1
28	с утра до	1	1
29	в каждом из	2	1
30	самое главное в	1	1
31	и в самом	7	1
32	как бы в	1	1
33	и в его	1	1
34	вместо того чтобы	1	1
35	там и здесь	3	1
36	о том как	5	1
37	в этом отношении	2	1
38	по сравнению с	3	1
39	потому что в	2	1
40	на то что	1	1
41	должен был бы	1	1
42	у кого не	1	1
43	чем в других	1	1
44	том что в	1	1
45	он не только	1	1
46	и в том	1	1
47	не было и	1	1
48	после того как	3	1
49	каждом из них	1	1
50	он и не	2	1
51	и там и	3	1
52	отношение к человеку	1	1
53	и не может	1	1
