N	2gram	Berdyaev_O	Hudozhes
1	в мире	1	24
2	и в	19	23
3	не только	11	20
4	в том	5	20
5	может быть	11	19
6	в частности	1	18
7	и не	13	16
8	но и	13	14
9	а не	11	13
10	но не	1	13
11	а в	5	13
12	в себе	3	13
13	в этом	12	12
14	так и	2	12
15	и его	4	12
16	представляет собой	1	11
17	как бы	3	11
18	в его	7	11
19	но в	2	10
20	в душе	2	9
21	том что	2	9
22	не в	11	9
23	не может	4	9
24	особого рода	1	8
25	что в	4	7
26	в самом	5	7
27	в своей	2	7
28	как это	1	7
29	по своей	1	7
30	лишь в	7	7
31	отношение к	5	7
32	уже не	1	6
33	художественного творчества	1	6
34	с его	4	6
35	в ее	2	6
36	в нем	10	6
37	в виду	1	5
38	что он	3	5
39	того чтобы	4	5
40	для того	3	5
41	со стороны	1	5
42	как к	2	5
43	для него	5	5
44	того что	3	5
45	прежде всего	9	5
46	самим собой	1	5
47	то что	5	5
48	могут быть	3	5
49	например в	1	4
50	отношения к	1	4
51	еще не	3	4
52	в другом	2	4
53	сознания в	1	4
54	сказать что	2	4
55	жизни как	1	4
56	в своем	2	4
57	и то	2	4
58	это не	3	4
59	в отношении	1	4
60	его в	2	4
61	и как	1	4
62	в этих	3	4
63	речи и	1	4
64	он не	7	4
65	и что	1	4
66	в форме	1	4
67	и о	2	4
68	в силу	1	4
69	хотя и	2	4
70	и к	2	3
71	и на	2	3
72	была бы	1	3
73	о чем	1	3
74	если бы	1	3
75	и сам	1	3
76	а именно	1	3
77	в жизни	1	3
78	как и	6	3
79	к его	1	3
80	никто не	3	3
81	виду не	1	3
82	и состоит	1	3
83	к нему	3	3
84	потому что	9	3
85	отношении к	1	3
86	в одном	1	3
87	и для	2	3
88	он должен	1	3
89	человека к	2	3
90	но он	7	3
91	в русской	3	3
92	личности и	2	3
93	в которой	2	3
94	человека с	1	3
95	и прежде	1	3
96	чем и	1	3
97	не случайно	1	3
98	и ее	3	3
99	ведет к	1	2
100	один из	1	2
101	жизни а	1	2
102	с ним	3	2
