N	3gram	Berdyaev_M	slovoVRo
1	и т п	1	72
2	не может быть	22	19
3	с точки зрения	1	15
4	в отличие от	1	14
5	в отношении к	3	12
6	человек и его	2	12
7	во всех его	1	10
8	в зависимости от	1	8
9	во всяком случае	1	8
10	в значительной степени	2	7
11	не может не	2	6
12	в том что	3	5
13	по отношению к	4	5
14	хотя бы и	2	5
15	не только в	2	5
16	а вовсе не	1	5
17	в этом отношении	1	5
18	до конца и	1	5
19	может быть и	2	5
20	для того чтобы	4	4
21	до сих пор	5	4
22	и не может	2	4
23	в его романах	2	4
24	у него нет	4	4
25	не могут быть	2	4
26	оно не может	2	4
27	никогда не может	2	4
28	себя в них	1	4
29	но оно не	1	3
30	между этими двумя	1	3
31	по ту сторону	1	3
32	сама по себе	1	3
33	к тому что	1	3
34	в стороне от	1	3
35	человеке и его	5	3
36	как и в	2	3
37	выходит за пределы	1	3
38	он никогда не	3	2
39	быть до конца	1	2
40	это не значит	2	2
41	для нас в	1	2
42	в чем не	2	2
43	значит конечно что	1	2
44	в нем не	2	2
45	он в свою	1	2
46	нужно сказать что	1	2
47	а не только	3	2
48	и в том	1	2
49	и в этом	1	2
50	не меньше чем	1	2
51	сих пор не	1	2
52	но и в	4	2
53	о том что	3	2
54	в такой степени	2	2
55	а следовательно и	1	2
56	и не было	2	2
57	в то время	2	2
58	во всех своих	1	2
59	его отношение к	2	2
60	можно было бы	1	2
61	и к нему	1	2
62	оно входит в	1	2
63	во всех этих	1	2
64	не значит конечно	1	2
65	же как и	1	2
66	между тем как	2	2
67	тем что он	2	2
68	друг для друга	2	2
69	и в плане	1	2
70	и в нем	3	2
71	на протяжении всего	1	2
72	уже не только	2	2
73	то время как	2	2
74	ни в чем	2	2
75	ивана карамазова и	2	1
76	к нему не	1	1
77	у него есть	1	1
78	что он не	3	1
79	бы и не	1	1
80	и в новых	1	1
81	для этого необходимо	2	1
82	а не к	2	1
83	есть в отношении	2	1
84	менее всего может	1	1
85	есть не только	4	1
86	одни и те	1	1
87	он не может	2	1
88	она не может	1	1
89	человека и мира	2	1
90	проникает в нее	1	1
91	себя в своем	2	1
92	друг на друга	1	1
93	как бы не	2	1
94	в романах достоевского	2	1
95	разных точек зрения	1	1
96	их они были	1	1
97	с собой других	1	1
98	в том случае	1	1
99	начале xx века	1	1
100	а также в	1	1
101	в иных случаях	1	1
102	образ человека в	1	1
103	и в той	1	1
104	как в самом	1	1
105	в нем самом	1	1
106	сам же он	1	1
107	человека в этом	1	1
108	человеку как к	1	1
109	в нем нет	1	1
110	том что в	1	1
111	что они не	1	1
112	та же идея	1	1
113	в этом направлении	1	1
114	и у него	1	1
115	одну и ту	1	1
116	друг друга к	1	1
117	все время находится	1	1
118	а не в	4	1
119	от него и	1	1
120	в своей книге	2	1
121	все это не	1	1
122	он весь в	4	1
123	человеческой личности и	2	1
124	но это не	3	1
125	не видят и	1	1
126	у него до	1	1
127	исключительный интерес к	1	1
128	себя и для	1	1
129	прежде всего как	1	1
130	был прежде всего	3	1
131	потому не может	1	1
132	в которой все	1	1
133	между людьми и	1	1
134	никогда не бывает	2	1
135	и те же	2	1
136	на то что	1	1
137	он не только	2	1
138	и ту же	1	1
139	с одним из	1	1
140	мира может быть	1	1
141	выходят за пределы	1	1
142	видят и не	1	1
143	выйти за пределы	1	1
144	со всеми его	1	1
145	в одном отношении	1	1
146	имеем в виду	1	1
147	но в нем	1	1
148	не до конца	2	1
149	а иногда и	1	1
150	мы увидим что	4	1
151	вместе с человеком	1	1
152	все более и	1	1
153	же о чем	1	1
154	и никогда и	1	1
155	позже уже в	1	1
156	время находится в	1	1
157	хотя и в	1	1
158	определяющее значение в	1	1
159	более и более	1	1
160	к нему и	1	1
161	в них не	1	1
162	с которым это	1	1
163	может быть его	1	1
164	жизни и в	1	1
165	добра и зла	7	1
166	него нет и	1	1
167	как и все	1	1
168	подобно тому как	2	1
169	одной и той	2	1
170	и ничего не	1	1
171	также в значительной	1	1
172	так же как	1	1
173	он не знает	2	1
174	в котором в	1	1
175	то есть во	1	1
176	мы имеем в	1	1
177	в начале xx	1	1
178	всего может быть	1	1
179	том что он	1	1
180	точки зрения так	1	1
181	зависимости от этого	1	1
182	себя в этом	1	1
183	том случае если	1	1
184	есть по преимуществу	1	1
185	в нем и	1	1
186	и потому не	3	1
187	и в смысле	1	1
188	также и в	2	1
189	прежде всего в	2	1
190	нет и не	1	1
191	и той же	2	1
192	в нем есть	5	1
193	лежит в основе	1	1
194	друг к другу	6	1
