N	2gram	Medvedev_V	Psycholo
1	то что	7	193
2	и в	26	190
3	в том	15	163
4	что в	11	123
5	потому что	1	114
6	том что	8	113
7	и что	1	108
8	может быть	23	107
9	таким образом	32	102
10	в этом	29	100
11	то есть	1	97
12	в самом	4	82
13	как бы	5	80
14	для того	3	78
15	того чтобы	3	78
16	что он	4	76
17	не только	26	75
18	на то	2	73
19	и не	20	73
20	что она	2	71
21	самом деле	1	70
22	точки зрения	3	69
23	и т	25	69
24	не может	17	68
25	так же	3	63
26	было бы	8	56
27	если бы	3	55
28	то же	10	54
29	о том	10	54
30	и мы	1	54
31	как и	7	51
32	что и	3	50
33	а не	7	50
34	сказать что	5	46
35	по себе	2	46
36	только в	8	46
37	заключается в	2	46
38	говорит что	1	45
39	к тому	5	45
40	в искусстве	6	45
41	не в	6	45
42	искусства и	2	43
43	в этой	4	43
44	никогда не	5	42
45	и все	1	42
46	вместе с	8	41
47	как это	12	40
48	но и	10	40
49	как раз	4	39
50	при помощи	3	39
51	того что	3	39
52	же самое	2	38
53	т п	9	38
54	и это	1	37
55	мы видим	1	37
56	что искусство	1	37
57	и как	3	36
58	с тем	4	35
59	вовсе не	3	34
60	как на	3	34
61	и если	1	34
62	и его	6	34
63	тому что	7	33
64	все же	6	33
65	что все	4	33
66	когда он	4	33
67	в себе	6	32
68	все это	13	32
69	художественного произведения	6	32
70	он не	2	31
71	мы не	1	31
72	в его	15	31
73	для нас	1	31
74	в ней	2	31
75	сейчас же	1	30
76	как будто	1	30
77	никак не	3	30
78	как в	1	30
79	с одной	2	29
80	и для	2	29
81	одной стороны	2	29
82	в нем	7	29
83	искусства в	1	29
84	что они	3	28
85	и то	1	28
86	что мы	2	28
87	в своих	2	27
88	в основе	1	27
89	а в	3	27
90	с другой	11	27
91	все то	1	27
92	искусство как	2	26
93	совершенно не	1	26
94	только что	4	25
95	жизни и	3	25
96	до сих	2	24
97	тем что	1	24
98	художественное произведение	7	24
99	в целом	5	24
100	в своем	8	23
101	сих пор	2	23
102	один из	6	23
103	что если	1	23
104	целый ряд	1	23
105	что оно	3	23
106	когда говорит	1	23
107	для этого	1	23
108	могут быть	8	23
109	казалось бы	1	22
110	с этим	3	22
111	из них	11	22
112	что у	3	22
113	между тем	6	22
114	и даже	2	22
115	т д	16	22
116	в котором	3	21
117	том чтобы	2	21
118	в которых	3	21
119	в своей	4	21
120	ни в	1	21
121	в конце	3	21
122	что эта	1	21
123	но только	1	21
124	как мы	1	21
125	другой стороны	8	20
126	в то	6	20
127	мы имеем	3	20
128	она не	3	20
129	дело с	1	20
130	несмотря на	1	20
131	на этом	2	20
132	это не	7	20
133	все эти	8	20
134	в одном	5	19
135	что при	2	19
136	в какой	1	19
137	в ее	4	19
138	у него	6	19
139	он говорит	5	19
140	с этой	1	18
141	в которой	2	18
142	можно было	2	18
143	но в	2	18
144	зависимости от	5	18
145	в каком	1	18
146	вслед за	3	18
147	но не	2	18
148	действующих лиц	5	18
149	и есть	5	18
150	перед нами	5	18
151	басни и	1	18
152	видим что	1	18
153	в виду	4	17
154	во всяком	2	17
155	время как	1	17
156	что для	4	17
157	из этих	7	17
158	но это	1	17
159	одна из	4	17
160	только не	2	17
161	у нас	3	17
162	и к	3	16
163	из которых	2	16
164	к этому	9	16
165	сводится к	3	16
166	говорит о	7	16
167	то это	2	16
168	самого начала	1	16
169	в таком	1	16
170	же как	2	16
171	и тем	1	16
172	не имеет	1	16
173	формы и	2	16
174	так и	6	16
175	тому как	3	16
176	от того	2	16
177	в результате	5	15
178	в них	5	15
179	только на	1	15
180	во всех	7	15
181	мы знаем	3	15
182	как говорит	5	15
183	не могут	10	15
184	и так	1	15
185	о котором	1	15
186	и потому	2	15
187	в зависимости	6	15
188	утверждает что	3	15
189	далеко не	3	15
190	еще не	2	15
191	для него	9	15
192	в частности	12	15
193	хотя бы	20	14
194	но он	1	14
195	очевидно что	7	14
196	и той	1	14
197	главным образом	7	14
198	к искусству	1	14
199	то время	1	14
200	в художественном	10	14
201	это и	6	14
202	это только	4	14
203	того как	2	14
204	прежде всего	13	14
205	заключает в	1	14
206	что на	1	14
207	эта теория	2	14
208	в жизни	2	14
209	при таком	1	14
210	бы в	3	14
211	стоит только	1	14
212	показывает что	2	14
213	должна быть	2	14
214	всяком случае	2	14
215	этом отношении	14	14
216	или в	3	14
217	по существу	4	14
218	в области	2	14
219	прав когда	1	14
220	с ним	1	14
221	именно в	3	13
222	а с	1	13
223	отнюдь не	4	13
224	этот вопрос	3	13
225	знаем что	2	13
226	в той	1	13
227	речь идет	1	13
228	искусства не	2	13
229	и он	3	13
230	говорит он	1	13
231	указывает что	1	13
232	могло бы	2	13
233	как он	3	13
234	со стороны	1	13
235	и другие	1	12
236	в этих	1	12
237	их в	7	12
238	не менее	2	12
239	может служить	1	12
240	в конечном	7	12
241	в самой	1	12
242	тогда когда	2	12
243	сам по	1	12
244	в свою	1	12
245	и этот	2	12
246	и может	2	12
247	это в	1	12
248	конце концов	2	12
249	совершенно очевидно	1	12
250	например в	3	12
251	что по	1	12
252	что этот	1	12
253	что его	2	12
254	что не	3	12
255	художественном произведении	4	12
256	этой точки	2	12
257	что самое	1	12
258	в поэзии	1	12
259	об этом	9	12
260	что эти	1	12
261	в нашей	4	12
262	конечном счете	5	11
263	так например	2	11
264	понятно что	2	11
265	конечно не	1	11
266	не было	7	11
267	мы видели	3	11
268	утверждать что	5	11
269	подобно тому	3	11
270	поэзии и	1	11
271	сравнению с	1	11
272	и заключается	2	11
273	по сравнению	1	11
274	и поэтому	1	11
275	на этот	1	11
276	уже в	1	11
277	и других	1	11
278	он должен	1	11
279	исходя из	1	11
280	есть в	1	11
281	по поводу	4	11
282	его в	3	11
283	ли это	2	11
284	были бы	1	11
285	образом и	1	11
286	и из	1	11
287	с его	4	11
288	на это	2	11
289	в другом	2	10
290	сами по	1	10
291	только тогда	1	10
292	данном случае	1	10
293	в их	5	10
294	что ни	2	10
295	с теми	1	10
296	от него	1	10
297	отличается от	2	10
298	в данном	1	10
299	должно быть	2	10
300	в состоянии	1	10
301	тому же	1	10
302	и у	2	10
303	но как	3	10
304	все те	1	10
305	и от	3	10
306	представить себе	2	10
307	общественного человека	1	10
308	мы в	1	10
309	не является	5	10
310	ее в	4	10
311	материала и	1	10
312	это было	1	10
313	и их	3	10
314	думается что	6	9
315	но что	1	9
316	так сказать	2	9
317	вопрос о	1	9
318	на него	2	9
319	что даже	2	9
320	внимание на	2	9
321	что трагедия	1	9
322	в чем	2	9
323	героя и	1	9
324	и та	1	9
325	в него	1	9
326	с ее	1	9
327	бы не	2	9
328	его и	1	9
329	из его	4	9
330	на основании	8	9
331	ответ на	1	9
332	в виде	1	9
333	совершенно точно	1	9
334	по своему	1	9
335	по его	2	9
336	на его	1	9
337	и по	3	9
338	в самых	2	9
339	и ее	4	9
340	которые не	1	9
341	о чем	2	9
342	но все	1	9
343	мысль о	2	9
344	роль в	4	9
345	можно сказать	4	9
346	то как	1	9
347	ту же	2	9
348	если же	1	9
349	в силу	14	9
350	каждого из	1	9
351	мы хотим	1	9
352	по этому	10	9
353	и дальше	2	9
354	должен быть	4	9
355	том случае	1	9
356	именно это	1	9
357	и наконец	2	9
358	не к	1	9
359	формы в	1	8
360	это значит	1	8
361	себе и	2	8
362	в сознании	4	8
363	будто бы	2	8
364	одно и	1	8
365	в общем	2	8
366	художественного творчества	19	8
367	уже из	1	8
368	он в	2	8
369	о нем	1	8
370	бы совершенно	1	8
371	этому поводу	7	8
372	которой мы	1	8
373	и составляет	1	8
374	целым рядом	1	8
375	согласиться с	1	8
376	из того	1	8
377	чтобы понять	1	8
378	и отсюда	1	8
379	кажется что	1	8
380	содержания и	1	8
381	этом смысле	1	8
382	во время	4	8
383	в процессе	17	8
384	относится к	2	8
385	том как	3	8
386	и во	1	8
387	он может	2	8
388	бы и	6	8
389	жизнь и	1	8
390	стороны и	2	8
391	только то	2	8
392	еще раз	1	7
393	не как	1	7
394	сам собой	1	7
395	рассказывает о	4	7
396	свою очередь	1	7
397	ни одного	2	7
398	связи с	5	7
399	в каждом	2	7
400	что такое	2	7
401	должны быть	2	7
402	в особенности	2	7
403	фабулы и	1	7
404	и при	5	7
405	и дает	1	7
406	они не	2	7
407	в течение	2	7
408	только один	1	7
409	это имеет	1	7
410	к ним	2	7
411	дело и	1	7
412	того или	2	7
413	случае если	1	7
414	же в	7	7
415	к этой	1	7
416	если он	1	7
417	приходит к	1	7
418	в глаза	1	7
419	в качестве	12	7
420	и эти	1	7
421	лежит в	1	7
422	какой мере	1	7
423	бы его	1	7
424	а как	2	7
425	взгляд на	1	7
426	его мнению	1	7
427	если это	1	7
428	себя и	1	7
429	этого материала	1	7
430	признать что	1	7
431	это то	1	7
432	что автор	1	7
433	и которая	1	7
434	слова в	1	7
435	даже в	5	6
436	более или	6	6
437	вот что	12	6
438	что действие	2	6
439	области искусства	1	6
440	он был	1	6
441	утверждал что	1	6
442	к этим	2	6
443	и искусство	1	6
444	после этого	2	6
445	из него	1	6
446	эмоции и	1	6
447	что есть	1	6
448	обратимся к	1	6
449	образом в	3	6
450	всех этих	3	6
451	смотреть на	1	6
452	смысле слова	2	6
453	к его	2	6
454	приводит к	6	6
455	да и	2	6
456	в стихах	2	6
457	он же	6	6
458	каждой из	2	6
459	как если	1	6
460	от других	1	6
461	каждый из	1	6
462	только с	2	6
463	в русском	1	6
464	материал для	1	6
465	показывают что	5	6
466	от всех	1	6
467	сама по	1	6
468	и без	1	6
469	не все	1	6
470	и ни	1	6
471	к ней	1	6
472	которые в	2	6
473	слова и	1	6
474	больше того	1	6
475	еще более	1	6
476	у пушкина	2	6
477	в музыке	1	6
478	почти все	1	6
479	говорить о	2	6
480	или менее	6	6
481	это мы	3	6
482	и вместе	1	6
483	а только	1	6
484	очень часто	1	6
485	не дает	1	6
486	за пределы	1	6
487	уже не	1	6
488	о его	2	6
489	значит что	2	6
490	или иного	1	6
491	а потому	1	6
492	как не	1	6
493	и просто	2	6
494	заметить что	1	6
495	в плане	5	6
496	эту мысль	1	6
497	чувства которые	1	6
498	отношение к	1	6
499	начинает с	1	6
500	к действительности	1	5
501	а затем	2	5
502	между ними	3	5
503	что чем	1	5
504	ни одна	2	5
505	и сам	2	5
506	мы получаем	1	5
507	на эту	1	5
508	сил в	1	5
509	можно ли	2	5
510	и еще	1	5
511	во всей	2	5
512	не должна	1	5
513	от начала	1	5
514	следует понимать	5	5
515	между собой	1	5
516	в лучшем	1	5
517	реакции на	2	5
518	материала в	1	5
519	оно может	1	5
520	и насколько	1	5
521	и самый	1	5
522	значит ли	1	5
523	если в	2	5
524	он только	1	5
525	своих героев	2	5
526	нет никакого	1	5
527	смысла и	1	5
528	одновременно и	1	5
529	к таким	1	5
530	нет ни	2	5
531	том смысле	1	5
532	на вопрос	2	5
533	значение и	1	5
534	ни одной	1	5
535	и наоборот	1	5
536	нет и	3	5
537	у них	2	5
538	то или	1	5
539	зависит от	2	5
540	и всегда	1	5
541	которых он	1	5
542	с достаточной	1	5
543	таком случае	1	5
544	и смысл	1	5
545	нас к	1	5
546	на одном	1	5
547	в каждой	1	5
548	что всякий	1	5
549	мысли в	1	5
550	но она	1	5
551	учения о	1	5
552	не следует	8	5
553	человека и	3	5
554	как совершенно	1	5
555	для такого	1	5
556	по тому	1	5
557	роль и	1	5
558	по выражению	1	5
559	только для	2	5
560	силы и	1	5
561	но даже	3	5
562	задачи и	1	5
563	что тот	1	5
564	то в	1	5
565	видели что	3	5
566	хотя и	2	5
567	других видов	2	5
568	это делает	3	5
569	не значит	1	5
570	вот как	4	5
571	в романе	4	5
572	евгения онегина	1	5
573	в известном	1	5
574	знает что	1	5
575	еще и	2	5
576	в творчестве	3	5
577	видим в	1	5
578	том же	6	5
579	силу того	1	5
580	только о	2	5
581	все они	2	5
582	этой области	3	5
583	человека в	2	5
584	его не	3	5
585	или не	1	5
586	дело не	1	5
587	является в	1	4
588	в применении	1	4
589	в действие	1	4
590	его от	2	4
591	в живописи	1	4
592	в порядке	6	4
593	нам в	1	4
594	применении к	1	4
595	в противоположность	3	4
596	из себя	2	4
597	а между	1	4
598	для своей	1	4
599	искусстве и	2	4
