N	2gram	Savitsky_E	Vvedenie
1	и т	1	45
2	т е	9	40
3	т д	1	39
4	в том	11	38
5	в этом	12	35
6	и в	37	35
7	может быть	6	30
8	том что	6	30
9	не только	18	26
10	для того	6	23
11	того чтобы	6	22
12	таким образом	2	21
13	также и	7	20
14	не может	9	19
15	то что	6	19
16	потому что	3	18
17	но также	2	16
18	только в	9	16
19	со стороны	5	16
20	о том	3	16
21	так как	7	15
22	представляет собой	3	14
23	в общем	3	14
24	что в	21	13
25	в самом	4	13
26	и не	14	13
27	в нем	1	13
28	в его	2	12
29	того что	7	12
30	в их	11	12
31	точки зрения	23	12
32	как на	3	12
33	то же	15	11
34	в ее	8	11
35	по себе	4	11
36	в данном	3	11
37	этом смысле	3	11
38	как мы	5	11
39	прежде всего	9	10
40	не в	5	10
41	вопрос о	4	10
42	между тем	8	10
43	в той	5	10
44	уже и	3	10
45	но в	14	10
46	дело с	1	9
47	смысле этого	1	9
48	все же	1	9
49	но не	5	9
50	и как	2	9
51	не менее	1	9
52	в истории	2	9
53	в качестве	14	8
54	как нечто	1	8
55	именно в	4	8
56	о котором	1	8
57	можно было	3	8
58	с другой	7	8
59	представить себе	1	7
60	и то	2	7
61	в применении	3	7
62	в большей	1	7
63	к выводу	1	7
64	как и	7	7
65	но и	14	7
66	в разных	1	7
67	с течением	2	7
68	было бы	8	7
69	этот вопрос	2	7
70	как бы	6	7
71	течением времени	2	7
72	один из	1	6
73	на вопрос	1	6
74	об этом	1	6
75	не могут	2	6
76	на этот	2	6
77	тем что	3	6
78	с тем	3	6
79	в какой	2	6
80	а именно	2	6
81	вместе с	2	6
82	в которых	3	6
83	же время	14	6
84	и это	1	6
85	вовсе не	6	6
86	уже не	1	6
87	применении к	3	6
88	и даже	6	6
89	хотя бы	15	6
90	каждой из	1	6
91	и что	2	6
92	сказать что	4	6
93	могут быть	2	6
94	но если	5	6
95	и его	1	6
96	в то	16	6
97	а в	2	6
98	культуры как	2	6
99	связь между	1	5
100	смотреть на	1	5
101	уже в	1	5
102	внимание на	1	5
103	с этой	6	5
104	хотя и	2	5
105	что и	3	5
106	другой стороны	2	5
107	с их	1	5
108	в них	3	5
109	науки с	1	5
110	но с	2	5
111	дело в	3	5
112	что не	1	5
113	не есть	2	5
114	при том	1	5
115	одно из	1	5
116	от этого	5	5
117	по своему	7	5
118	данном случае	2	5
119	культуры в	4	5
120	во всяком	3	5
121	в течение	5	5
122	и тем	3	5
123	а не	2	5
124	говорить о	1	5
125	на основании	2	5
126	быть в	1	5
127	независимо от	4	5
128	она есть	1	5
129	как это	4	5
130	есть не	2	5
131	всяком случае	3	5
132	в более	1	4
133	в центре	1	4
134	этот процесс	2	4
135	с одной	8	4
136	тогда когда	2	4
137	с точки	17	4
